sextupole,sextupole_index,sextupole_s_m,scaling,observation_count,sigma_1,sigma_2,condition_number,effective_rank,response_x_norm,response_y_norm,response_x_y_cosine,parameter_rotation_x_mode1,parameter_rotation_y_mode1,parameter_rotation_x_mode2,parameter_rotation_y_mode2,relative_reconstruction_error,parameter_rotation_orthogonality_error,mode_weight_orthogonality_error
SEX_24W,206,176.5522957791949,raw,1191,3527.6311048589832,2880.8024261963601,1.224530732403144,2,3011.4334699270453,3416.7926900750963,-0.15665244483955712,-0.43091606521712389,0.90239201278479375,0.90239201278479386,0.43091606521712378,5.0037416335951644e-16,2.605120105474599e-16,1.1749496091904413e-15
SEX_24W,206,176.5522957791949,observable_rms,1191,48.423140145433173,35.343461815674601,1.3700734918942721,2,36.028030221344679,47.915987238396596,-0.13100198683487141,0.21117224297226028,-0.97744886505538731,-0.97744886505538719,-0.21117224297226034,3.3418261391496818e-16,1.5710523678716125e-16,3.4475201477728496e-16
SEX_25E,654,583.6690056369723,raw,1191,2462.8859109684468,1790.1136571245818,1.3758265578089179,2,1864.5992432822325,2406.9864099786992,-0.18705790540416656,0.30844735297421522,-0.95124141543732188,-0.95124141543732199,-0.30844735297421522,3.845351200920384e-16,3.3447589013057567e-16,9.9320759034309756e-16
SEX_25E,654,583.6690056369723,observable_rms,1191,35.527245148171325,23.802762493095312,1.4925681486960618,2,23.862510704454991,35.487141798132157,-0.052452904017107907,0.063985188132903548,-0.99795084833853254,0.99795084833853243,0.063985188132903575,2.4458155165690426e-16,4.9960193048227201e-16,5.5904946136859388e-16
SEX_25W,214,184.7580877791949,raw,1191,2172.3470554779637,1579.6786156634741,1.3751829226133858,2,1637.2063438257674,2129.3265709995981,0.17619018569282896,0.28848123969388356,0.95748554785160078,0.95748554785160067,-0.28848123969388356,3.8074289258628859e-16,2.2232724143421407e-16,4.5817721892102918e-16
SEX_25W,214,184.7580877791949,observable_rms,1191,31.134922201641643,29.753117753093399,1.0464423412704229,2,30.149855634276385,30.750895950589978,0.040854708093938166,0.53147976527504803,0.84707098823131699,-0.84707098823131699,0.53147976527504803,2.6046701386286821e-16,3.143658321347739e-16,6.500377141355412e-16
SEX_26E,646,575.4652636369723,raw,1191,2574.4123623711312,1005.5853731108499,2.5601131750822939,2,2571.9969919108157,1011.7472153386498,-0.10142600825046552,0.99889276251839787,-0.047045180288355179,0.047045180288355186,0.99889276251839765,3.5007937723158517e-16,3.1467010628250568e-16,4.0251612729152663e-16
SEX_26E,646,575.4652636369723,observable_rms,1191,20.8218660046326,13.916004262309903,1.4962532068940599,2,20.698090712176693,14.099443939886672,-0.11902037292976195,0.98923077089211675,-0.14636420983351392,0.14636420983351395,0.98923077089211664,3.1768821592460229e-16,5.0181016438521677e-16,6.8241472767872888e-16
SEX_26W,222,192.96452977919492,raw,1191,2631.7172053425516,791.68709658531748,3.3241885799245687,2,2630.49695353263,795.73216929520549,0.096033855219470832,0.99949018151058133,0.031927684913649543,0.03192768491364955,-0.99949018151058133,1.7825083366209524e-16,2.2242061814328038e-16,5.5649756069318718e-16
SEX_26W,222,192.96452977919492,observable_rms,1191,25.964555092855111,11.637923891622588,2.2310298069181709,2,25.927583870572356,11.720059228158554,0.10560790212521468,-0.99821777716321303,-0.059676371834537306,0.059676371834537306,-0.99821777716321303,1.7307599441933083e-16,4.061834517919609e-18,7.0968637762152872e-16
