sextupole,sextupole_index,sextupole_s_m,nominal_kn2_m3,nominal_k2l_m2,observation_scope,observation_name,observable,value,d_k2,d_x,d_y,d2_k2_k2,d2_k2_x,d2_k2_y,d2_x_x,d2_x_y,d2_y_y
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,orbit_y,1.7391746390416893e-5,5.274141765622108e-8,3.290363898460708e-6,0.001090694485879157,-3.4881084161736136e-10,-8.599906514605137e-6,-0.0028588811799447806,-0.00019231847042040388,-0.1367541984947677,0.00019231395390523415
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,phi_1,2.9768810074161443,-0.0004883355993258801,-0.02259810518338795,0.028772976642585518,0.00015192599909968766,0.0662362510945258,-0.06987620273128338,0.15265031606130686,0.44779409794687425,0.48963192271582967
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,phi_2,2.870100667921153,0.007079742388329853,0.3410788464349279,-0.0031302558153315846,0.0006593588409449072,-0.859122409726274,0.007631883665324188,0.779923377136857,-0.025582722165251516,0.06910240280255753
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,beta_1,26.306500389918916,-0.8107043516535075,-38.66279594788565,0.7867884715659251,0.23356458799597965,112.06139041939765,-1.98922894270141,515.7387098981264,-4.040040729861952,605.3560897020205
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,beta_2,9.229310633618647,0.6111976373371086,29.162936723790267,0.013219140861794765,0.12044831678793169,-70.37101738357933,-0.0374219971127565,285.22357731113885,-0.04398748348950428,-83.68112151559014
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,alpha_1,2.2682743055740464,-0.1319315981564041,-6.309051715801205,0.0632574490953937,0.028400943249002004,17.823207908047582,-0.15917056132392535,66.25507955811715,-0.1574585156284406,94.19824932195044
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,alpha_2,-0.9128475748488606,-0.08112587615842648,-3.867583779206423,3.5586110392004777e-5,-0.0143408525138091,9.414104250539364,0.0005975556644783957,-34.56755364342901,0.045967502165876424,10.545807549406042
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,c11,0.0013321971074677606,0.0007781496961095591,0.04112476225746565,-2.22133853377083,0.0002772207030383501,-0.09345068285056514,5.447485832773653,0.6150415936121817,-21.564993439335424,-0.027686886742438684
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,c12,-0.03494074509430072,-0.004579416633058889,-0.2891959424994887,42.82647904972866,-0.0016660221829141748,0.6633038975924022,-104.9586557587781,-4.0031500730871175,166.58636546705173,1.3091817208090317
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,c21,-0.0001364262614874833,-6.962979511539668e-5,-0.0031106952948091343,-0.12717232165187736,-2.4832516502273028e-5,0.0069691910033260075,0.3080413779880276,-0.05708354503426764,-0.9368478351877105,0.0034697900592129873
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_30w,c22,0.003851333482652378,0.0005464852252675943,0.02846708767807662,-1.3606141425439027,0.00019551008556186573,-0.06457805083327321,3.3499331554762524,0.42550873580585474,-5.054548988318238,-0.08186509213940049
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,orbit_x,0.0028455729474409063,-3.353777211622863e-5,-0.003205422474278979,5.237874127603257e-6,-1.1110044451227984e-7,0.008359306617717156,-1.370272020036728e-5,0.39934938813722426,-1.012124212738764e-5,-0.40291322345996405
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,orbit_y,9.952434022513725e-6,-1.0435269147750565e-7,-3.2434113574914855e-6,-0.004192339339513495,5.463396102824364e-10,8.456933099940883e-6,0.010968672392944303,-0.00043689329754784123,0.523794155388071,0.0004469884535234301
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,phi_1,3.113607374628659,-0.0037220042767200394,-0.17840282296067272,0.02599797321981131,0.0003201585870718174,0.4810225710480512,-0.06269375490385523,0.8657361218727353,0.4819720253011823,2.5056087420033433
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,phi_2,2.944078643502191,0.0021954126290921836,0.10812864874064698,-0.003180046110491828,0.0003472884262405299,-0.2658874862874445,0.0078009132524205094,-0.03372456175740446,-0.0236406474564267,0.7192609425965302
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,beta_1,5.4991861450744635,0.3621533462883357,17.363684728587675,0.0022291809797139973,-0.021862744456103554,-46.3612663908522,-0.013576206927688775,-64.65750615334906,-1.0914368906589318,-248.66984260431886
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,beta_2,32.85652896605006,1.845783674295616,87.99094501771957,0.002635633145736365,0.3839410249523032,-211.44060954699373,-0.020622312593985313,917.5752369243781,-1.0891836891678621,-244.24346842225611
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,alpha_1,-0.3298683206504276,-0.04302913774832821,-2.050699769396186,0.030145024263145376,0.0041522754814939875,5.549862453750225,-0.07521804670563498,8.14832940920096,-0.09059912557859512,32.69754488470784
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,alpha_2,1.8035450725888529,0.14148241236165063,6.721575303671763,0.002337644731490526,0.026162354893593878,-16.300202279525767,-0.006901636775204496,68.93607708726401,-0.04385003952135146,-26.151606869785276
SEX_44W,376,345.6822707791953,-0.383087,-0.10419966400000001,detector,det_31w,c11,-0.0003354991592945847,1.1171447800484353e-5,-0.005912088092922458,4.015856537626487,3.1327347178214555e-7,0.014336738662963458,-9.827249610508613,-0.05046281295952602,14.918274500776755,0.08503413236074397
