sextupole,observable_family,observation_count,norm_k2_x,norm_k2_y,cosine_x_y,singular_max,singular_min,condition_number
SEX_26W,alpha,198,476.01406076158895,247.6602589190321,0.4769223015612268,493.8667125899331,209.8110104026767,2.3538646119766864
SEX_26W,beta,198,2587.006090153186,600.9372573165042,0.092960209797345,2587.6432309997185,598.1877688335795,4.325804313995629
SEX_26W,coupling,396,1.667428920050842,459.0514890941919,0.3467280196927616,459.051853165128,1.5639899168997389,293.5133073460575
SEX_26W,orbit,198,0.055054261748308346,0.020359135429217457,-0.005879693813555936,0.05505441250225958,0.02035872776249807,2.7042167440184017
SEX_26W,phase,198,17.923056889075387,0.4734104020309042,0.8310524878967032,17.92737537790876,0.2632445960213083,68.10158935402279
SEX_26W,tune,3,0.5537992495482642,0.0009116203423091286,0.9232027945803337,0.5537998890471626,0.0003503472841014333,1580.716946236767
SEX_27E,alpha,198,388.7809910165594,510.33862241876346,0.001078271929136289,510.33903271123256,388.780452440015,1.31266638923924
SEX_27E,beta,198,1488.6723893690973,1166.3109077738359,-0.0034154174225683796,1488.6861886861977,1166.293294191941,1.276425232057623
SEX_27E,coupling,396,1.5276606124237384,684.1065313723115,-0.952983284698934,684.108080439674,0.46291505330021704,1477.8263864234405
SEX_27E,orbit,198,0.058444030025535915,0.12777526296794198,0.008790972954666533,0.1277765691506836,0.05844117425439907,2.186413445329864
SEX_27E,phase,198,7.024951709609971,1.0425917995604281,0.5832922827248266,7.051608864722355,0.8436566848142746,8.358386760456618
SEX_27E,tune,3,0.6032129030827411,0.0008103238248153324,0.6560850795228788,0.6032131373638562,0.0006115405654118961,986.3828689067731
SEX_27W,alpha,198,563.8876823316909,824.2845965005939,-0.17761245772171042,835.1088236920763,547.7295563553145,1.5246736532697491
SEX_27W,beta,198,1744.5783505762927,1932.3906417347557,-0.1555891301566081,2004.1996659241813,1661.5868658222355,1.206196141260664
SEX_27W,coupling,396,1.1784702150082045,956.4324447220525,-0.5590896820400393,956.4326716647861,0.9770778930041858,978.8704447340195
SEX_27W,orbit,198,0.0661640348282222,0.13286416985510474,-0.0057044485860620765,0.13286488270893204,0.06616260332527776,2.008156814140509
SEX_27W,phase,198,8.746080436890377,1.5179895952228801,0.2987626052905033,8.758161200085818,1.4466609184853414,6.054052534477561
SEX_27W,tune,3,0.6446094910365505,0.0008759838494016552,0.9994395587502418,0.6446100855728532,2.932343842527044e-05,21982.759191614416
SEX_28E,alpha,198,393.2590659817993,519.464801023017,0.5124090583087266,575.9550964406346,304.58512662771165,1.890949511610963
SEX_28E,beta,198,2203.5162234600457,1211.9604044312493,0.09712006178896797,2207.9928046452096,1203.785505642829,1.8342078337835839
SEX_28E,coupling,396,3.7853441361548064,788.0792803001088,0.3469091971435346,788.0803743848779,3.5502644911661942,221.97793329082603
SEX_28E,orbit,198,0.34900236333379103,0.18618716585745743,-0.000786849540105814,0.34900240631498947,0.1861870852904434,1.8744716142398468
SEX_28E,phase,198,13.286853246736523,0.7996560837021954,0.7551697436922233,13.300590318815642,0.5236565893240083,25.399451835382155
SEX_28E,tune,3,0.49053422086874143,0.001478636780593016,0.5014814018230817,0.4905347813177071,0.0012792683930131984,383.44946533252323
SEX_28W,alpha,198,864.7676119386026,650.5050092525494,-0.29228169053961717,903.6277766358087,595.3458079241661,1.517820004119204
SEX_28W,beta,198,4630.771961084614,1582.6137671538813,-0.06129900559094809,4631.921745082316,1579.2454650832574,2.9329967047511025
SEX_28W,coupling,396,4.417719047069389,852.2985944325482,-0.6823637679686073,852.3039254635937,3.2293888933958557,263.9211174617485
SEX_28W,orbit,198,0.36328945351668185,0.20117888614289348,0.0009252903955403934,0.36328952230148676,0.20117876193103043,1.8058045432550793
SEX_28W,phase,198,20.673583557526687,1.4856194382523973,-0.4055498885256813,20.682398950028368,1.3573856847692898,15.236936105999737
SEX_28W,tune,3,0.8772658071266971,0.0013657727018618064,-0.6262255923427184,0.8772662240515837,0.0010648131315742966,823.8687127708221
SEX_29E,alpha,198,409.1104547224013,164.90517591357556,0.22085454189442275,411.02019813294265,160.08584551113134,2.5674986868490066
SEX_29E,beta,198,1491.3180791497696,447.1095990046037,0.1363357704878329,1492.6835390909505,442.5296135265192,3.3730703967939073
SEX_29E,coupling,396,5.443484022922956,585.4319567493044,-0.4441825622320767,585.4369501771887,4.876973329751136,120.04103992241076
SEX_29E,orbit,198,0.08463358662812512,0.1709496621969352,0.009784200693600508,0.17095231881499,0.08462822036746742,2.020039155646798
SEX_29E,phase,198,6.220631131084192,0.3348817971455213,-0.3607473588154063,6.221807056328552,0.31227302299985193,19.924254092008137
SEX_29E,tune,3,0.5566029115370607,0.0011547141365679107,0.025077582623504194,0.5566029122903238,0.0011543509866147011,482.17822719816024
SEX_29W,alpha,198,432.0054214438407,476.55669282126803,0.0363652096449489,477.9609062359132,430.45131866421247,1.110371569354541
SEX_29W,beta,198,1719.3966169616174,1162.0035606628119,0.1081268610515,1727.6791993787533,1149.652810828599,1.5027834343601076
SEX_29W,coupling,396,7.117120246147083,928.8649792403555,-0.2856647047557206,928.8672044046768,6.820530860894284,136.18693666945555
SEX_29W,orbit,198,0.09195602738058681,0.18295196234713,-0.009755849286415557,0.18295490518341798,0.09195017220000971,1.989717917933368
SEX_29W,phase,198,9.897115218947564,0.8658112796982802,-0.4419512283675421,9.904555203438463,0.7760831471023796,12.762234614188666
SEX_29W,tune,3,0.5793418938920497,0.0005082666074583264,0.9713843951168469,0.5793421042700926,0.00012071980991297509,4799.064086397508
SEX_30E,alpha,198,398.24920224168136,889.7815654201669,-0.5601628082568244,921.3021789190815,318.61568757148655,2.8915782080327497
SEX_30E,beta,198,2280.2449954020217,1956.425819019306,-0.09213592489998626,2305.0459722050523,1927.143557289543,1.1960945843842663
SEX_30E,coupling,396,10.132241267759683,945.1497597275854,-0.6582879073842316,945.1732958573718,7.627019361034048,123.92433414896014
SEX_30E,orbit,198,0.13373061661007288,0.08583545471618932,-0.001871776597859584,0.13373078073832553,0.08583519900578777,1.5579946489004843
SEX_30E,phase,198,13.199137915318756,1.0899330217561156,-0.7219348555847627,13.22264770139887,0.7528502269447664,17.563450508687914
SEX_30E,tune,3,0.5876162531640854,0.001442100240353857,0.30899935434972536,0.5876164221243382,0.0013715267016416427,428.43965153649094
SEX_30W,alpha,198,548.4478736748547,499.0362771057064,0.35712007243787985,613.2097346270077,416.9005845098655,1.4708776082622566
SEX_30W,beta,198,3690.985478978948,1216.2310639162056,0.03517396686542291,3691.2635336116514,1215.3869064199373,3.0371098405895247
SEX_30W,coupling,396,4.507674935473152,817.1596494910774,0.4061576658800138,817.1617005024584,4.119116608539842,198.3827548868855
SEX_30W,orbit,198,0.13565254982686376,0.08923194455062394,0.0027489463414478647,0.13565294075403458,0.08923135025089426,1.5202385750368614
SEX_30W,phase,198,14.786016120873578,0.3626447933577515,-0.16471930692028852,14.786136853093627,0.3576883202863427,41.33804772058752
SEX_30W,tune,3,0.6731151346485285,0.001368167659392667,0.569421774600232,0.6731155854948156,0.0011246953464125052,598.4870370824284
SEX_31E,alpha,198,521.7826928820664,823.675000590109,-0.21426650986149445,835.6690653267661,502.3493788632228,1.6635216454687765
SEX_31E,beta,198,1915.5500801291532,1931.5310638660292,-0.16095453559505157,2072.7729925305916,1761.7481322816877,1.1765433177136888
SEX_31E,coupling,396,4.178545088962446,1008.207959628312,0.5983742731015435,1008.2110600446381,3.347909887009745,301.1464149488034
SEX_31E,orbit,198,0.02495973463273375,0.0646985261607601,0.0006221298673066952,0.06469852835004064,0.024959728957864045,2.5921166235122963
