sextupole,sextupole_s_m,quadrupole,quadrupole_index,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,selected,selected_rank
SEX_12W,75.40003377919489,Q00W,2,-0.84178483645302,0.0008417848364530201,0.10034217010036499,-0.011396281414121523,-0.09091242571620484,0.016859134393871322,-0.03727433846851813,0.007391830282280409,0.10763171022270224,1,1,2
SEX_13E,684.6337186369731,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08947443005046504,-0.019083354368541916,-0.06449816514917228,0.00902464935874292,-0.058309875795117705,0.007391830282280409,0.10763171022270224,1,1,2
SEX_13W,84.06882577919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08302278264342591,0.016049843011551435,-0.08015747388567185,0.01438929038775072,0.0017066574251787259,0.007391830282280409,0.10763171022270224,1,1,4
SEX_14E,676.430226636973,Q00W,2,-0.84178483645302,0.0008417848364530201,0.07424361891732315,-0.009170343068561904,0.025020402952996568,0.0008513863920001086,-0.06929122841476243,0.007391830282280409,0.10763171022270224,1,1,3
SEX_14W,92.26991777919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.030068442305021148,0.01762547977855511,0.0001087501462415652,0.005354170097486843,0.02376498940035532,0.007391830282280409,0.10763171022270224,1,1,5
SEX_15E,666.306984636973,Q00W,2,-0.84178483645302,0.0008417848364530201,0.10041992820492723,0.016283633980134105,0.0907110453220008,0.014200641383538937,-0.03726732195865168,0.007391830282280409,0.10763171022270224,1,1,4
SEX_15W,102.39410977919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.07985795146258674,-0.01876577882841901,0.07670263289428592,0.011125334144086452,0.004251000356451762,0.007391830282280409,0.10763171022270224,1,1,2
SEX_16E,658.1009426369728,Q00W,2,-0.84178483645302,0.0008417848364530201,0.07492027568002872,-0.009804095969724091,0.0718695891065062,0.01741205667396173,0.006964901595331696,0.007391830282280409,0.10763171022270224,1,1,2
SEX_16W,110.60030177919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.09840107273231331,-0.00033704482902652266,0.08659550512037018,0.018726881547612706,-0.04281565036412349,0.007391830282280409,0.10763171022270224,1,1,3
SEX_17E,649.8934006369727,Q00W,2,-0.84178483645302,0.0008417848364530201,0.04854638392291331,-0.01913178564324447,-0.03914169435048742,0.009400299392041234,0.019242876728931435,0.007391830282280409,0.10763171022270224,1,1,4
SEX_17W,118.80139277919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.0746855392819855,0.014885269637583631,-0.01267906470498037,0.015153580760415508,-0.07046963057943412,0.007391830282280409,0.10763171022270224,1,1,4
SEX_18E,641.6931586369727,Q00W,2,-0.84178483645302,0.0008417848364530201,0.07879295073347674,-0.011860569499924756,-0.04061276522637591,0.0016869430276003072,-0.06644857786525193,0.007391830282280409,0.10763171022270224,1,1,3
SEX_18W,127.00013477919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.06497872678152566,0.018957907947326547,-0.06023336332262341,0.008064593371000406,0.013028312899762362,0.007391830282280409,0.10763171022270224,1,1,4
SEX_19E,635.0328586369727,Q00W,2,-0.84178483645302,0.0008417848364530201,0.0908896248544103,0.002253045886577487,0.07334790997032248,-0.00030145967124894923,-0.05362686747760392,0.007391830282280409,0.10763171022270224,1,1,2
SEX_19W,133.66543477919487,Q00W,2,-0.84178483645302,0.0008417848364530201,0.05049730851376271,0.011697931559592867,0.04569847625111234,0.001680621794840853,0.01794328127936584,0.007391830282280409,0.10763171022270224,1,1,3
