trial,element_order,element_index,element_name,element_type,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,246,246,d14bw_rfa2_seg,Marker,88.057000000000002,0,1.0545853119085846e-27,2.6785045445514404e-22
1,247,247,d104!s4,Drift,88.110500000000002,0,2.4313983221171705e-15,4.5483964211774693e-10
1,248,248,d14bw_rfa3_aps,Marker,88.164000000000001,0,0,0
1,249,249,d104!s5,Drift,89.833001500000023,0,7.5850606480488682e-14,1.4189309251462732e-08
1,250,250,det_14w,Marker,91.50200300000003,0,3.8504104000068643e-27,6.7217100731235318e-22
1,251,251,d105,Drift,91.516203000000033,0,6.4836409126534788e-16,1.2138024292310704e-10
1,252,252,q14w,Quadrupole,91.830403000000032,0,3.8332244148608232e-15,7.4136746137806744e-10
1,253,253,d106,Drift,92.162978000000038,0,3.4055330057428362e-16,8.2683082390193827e-11
1,254,254,sex_14w,Sextupole,92.331553000000042,0.4078490260464,-3.5307545596379554e-12,7.8771511623915317e-07
1,255,255,d107,Drift,92.545880000000039,0,8.1886472367496532e-16,1.9881251862715594e-10
1,256,256,b15w,SBend,95.911850000000044,0,5.0815272333743538e-14,1.2165265009558112e-08
1,257,257,d108,Drift,99.664961500000047,0,5.538326561624267e-15,1.3080443564611308e-09
1,258,258,q15aw!s1,Quadrupole,100.22421500000002,0,1.1158906705432486e-15,2.6355153994374853e-10
1,259,259,d15w_rfa1_cvc3,Marker,100.318,0,3.3352932399535701e-27,7.595824724770918e-22
1,260,260,q15aw!s2,Quadrupole,100.5145,0,2.3380339794414501e-15,5.5219787385048309e-10
1,261,261,d15w_sp1_csp1,Marker,100.711,0,2.0481681071331605e-27,6.078123009286519e-22
1,262,262,q15aw!s3,Quadrupole,100.72071500000001,0,1.1559287588298241e-16,2.7300775291150535e-11
1,263,263,d109!s1,Drift,100.73521500000001,0,5.6933804538582142e-17,1.344665051618163e-11
1,264,264,d15w_sp2_csp1,Marker,100.73999999999999,0,6.7389769952775361e-28,2.0240042283969097e-22
1,265,265,d109!s2,Drift,100.77500000000001,0,4.1644371134777516e-16,9.8355855392489254e-11
1,266,266,d15w_sp3o_csp1,Marker,100.81,0,4.7655015389889553e-28,1.2984998032322866e-22
1,267,267,d15w_sp3i_csp1,Marker,100.81,0,4.7655015389889553e-28,1.2984998032322866e-22
1,268,268,d109!s3,Drift,101.10249700000003,0,3.4802438925419785e-15,8.2196550385622029e-10
1,269,269,det_15w,Marker,101.39499400000004,0,-2.1157312516228567e-29,6.1516223291020693e-23
1,270,270,d110,Drift,101.42869400000005,0,3.9686793402203036e-16,9.4585933504259529e-11
1,271,271,q15w,Quadrupole,101.76239400000004,0,3.1450997702687553e-15,8.3306302865913503e-10
1,272,272,d111,Drift,102.09484400000004,0,4.4760052557065283e-16,1.2447679389028601e-10
1,273,273,sex_15w,Sextupole,102.26329400000004,-0.94264120352000003,6.6961231097330398e-12,2.0526945485948361e-06
1,274,274,d112,Drift,102.66736800000004,0,3.9542266228318302e-15,1.0866346257656239e-09
1,275,275,b16w,SBend,106.22257300000004,0,5.3727329153336577e-14,1.2106977062421506e-08
1,276,276,d113,Drift,109.58827550000005,0,1.1999115664392098e-15,3.2995730615705875e-10
1,277,277,q16w,Quadrupole,109.96684700000004,0,2.8186322213204449e-15,6.4886233648959029e-10
1,278,278,d114,Drift,110.30017200000003,0,1.3603453297274584e-16,3.8548172082829669e-11
1,279,279,sex_16w,Sextupole,110.46949700000005,0.38804889035840001,2.3146562360740117e-14,6.3706338436182697e-08
1,280,280,d115,Drift,110.62437200000005,0,7.7048816494441154e-17,2.1833360782476904e-11
1,281,281,det_16w,Marker,110.64324700000004,0,7.5246500017382055e-43,2.0503102279391655e-37
1,282,282,d116,Drift,110.89156650000005,0,1.0153755230235926e-15,2.8731373552008289e-10
1,283,283,b17w,SBend,114.42701700000005,0,1.2973074267364486e-14,3.8207182107241893e-09
1,284,284,d117,Drift,117.79272000000006,0,3.3805727859880757e-16,9.0352658432065372e-11
1,285,285,q17w,Quadrupole,118.17129200000005,0,2.0140606050346713e-15,4.9429075737684818e-10
1,286,286,d118,Drift,118.50294200000005,0,4.2687481485006169e-16,1.0537190722447305e-10
1,287,287,sex_17w,Sextupole,118.67059200000006,-0.76890918149760001,-4.0993856470432319e-13,8.9613127744706266e-08
1,288,288,d119,Drift,118.83169200000006,0,3.3838532423839337e-16,8.3556928651670132e-11
