scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm,source_chunk
vertical,0.80000000000000004,600,600,5.2761364978511812e-07,2.5931091879252808e-06,1.7541814171216029e-06,1.0240029554114566e-05,2.930557380461648e-09,2.3465178470145438e-08,8.7382565082840493e-09,7.6855865007883703e-08,3.8666666666666667,9.9990922259305859e-14,chunk_2
vertical,1.1299999999999999,600,600,1.052682323012646e-06,5.1733926793734209e-06,3.49989435525053e-06,2.0429076400500408e-05,8.2589015345351725e-09,6.6133031682060291e-08,2.4626157966616783e-08,2.1657798487950686e-07,4.0999999999999996,9.9877505830529902e-14,chunk_2
vertical,1.6000000000000001,600,600,2.1105189981378657e-06,1.0370833361262196e-05,7.0168969860495688e-06,4.09517619854933e-05,2.3445552452792529e-08,1.8775937543194243e-07,6.9909217576470454e-08,6.1472712368712545e-07,4.3183333333333334,9.9754961999512175e-14,chunk_3
vertical,2.2599999999999998,600,600,4.2109857591608521e-06,2.0687190056078548e-05,1.4000259657724777e-05,8.1683040170897936e-05,6.6077365472779874e-08,5.2927748499291046e-07,1.9702704689745572e-07,1.7319506236930862e-06,4.7766666666666664,9.9753046271181032e-14,chunk_3
vertical,3.2000000000000002,600,600,8.4431075853916964e-06,4.1457701794793082e-05,2.8070331621588124e-05,0.0001636733221349302,1.8759947580783799e-07,1.5032907616021381e-06,5.5937501025873064e-07,4.9139890359621227e-06,5.1483333333333334,9.9836462398868874e-14,chunk_3
vertical,4.5300000000000002,600,600,1.6922710928346938e-05,8.301234251016873e-05,5.6260150587557113e-05,0.00032764150819332194,5.3233535552533862e-07,4.2693324236828351e-06,1.5872790865893719e-06,1.3926017495451311e-05,5.6200000000000001,9.9683632947167114e-14,chunk_3
vertical,6.4000000000000004,600,600,3.3789004464462021e-05,0.00016542211907537023,0.00011232535416621866,0.00065255202369640295,1.5019257925769577e-06,1.2065656084466793e-05,4.4782597016991226e-06,3.9190112065044455e-05,6.1433333333333335,9.9619076198516315e-14,chunk_4
vertical,9.0500000000000007,600,600,6.7608085775081611e-05,0.0003296912579352732,0.0002247206947882018,0.0012991104854914119,4.2510395553602872e-06,3.4267163467337034e-05,1.2674783311428906e-05,0.00011035664570664336,6.8216666666666663,9.999376567525573e-14,chunk_4
vertical,12.800000000000001,600,600,0.00013542566839374901,0.00065523462495875931,0.00045001568011684783,0.0025758381885013673,1.205257341666664e-05,9.7840726028926146e-05,3.5933084952481061e-05,0.00030970812224146577,7.753333333333333,9.9987174785026665e-14,chunk_4
vertical,18.100000000000001,600,600,0.00027153514542987896,0.001293365416354984,0.00090180079007176465,0.0050584122315004152,3.4226349354354297e-05,0.00028204158090815444,0.00010202993588422638,0.00086187788216199324,8.7249999999999996,9.9923338761484652e-14,chunk_4
vertical,25.600000000000001,600,600,0.0005463276870440448,0.0025220318382406215,0.0018122719943210663,0.0097461694200280634,9.7751607043991822e-05,0.00083365175860048422,0.0002913066813468339,0.0023645420108779486,10.133333333333333,9.9950074184441251e-14,chunk_5
vertical,36.200000000000003,600,600,0.001106669540801925,0.0047959200471141394,0.0036609489861068622,0.018107710682772598,0.00028270901420134894,0.0026459682855777744,0.00084167210449371827,0.0068103927970052797,12.215,9.9942429630910138e-14,chunk_5
vertical,51.200000000000003,600,600,0.015567751665554953,7.5876262558116494,0.020694858038932892,7.5876262558116885,0.0075769717445869937,1.7136372922329921,0.0096117293733175846,1.7828004507351976,15.608333333333333,9.9836850449536419e-14,chunk_5
vertical,64,600,600,0.055389256894292062,11.150357567478268,0.063403188218916176,11.150357567478313,0.02734027038756548,9.4758612824237787,0.032031521708321249,9.5606713483073786,19.646666666666668,9.9934729858122966e-14,chunk_5
