target,target_s_m,target_length_m,target_nominal_kn2_m3,state_index,direction,direction_family,radius_scale,qx,qy,qk,bump_x_command_m,bump_y_command_m,delta_k2_m3,converged,failure,closed_orbit_seconds,maximum_abs_corrector_delta,maximum_abs_corrector_total,maximum_ring_abs_x_m,maximum_ring_abs_y_m,maximum_bpm_abs_x_m,maximum_bpm_abs_y_m,entry_x,entry_px,entry_y,entry_py,entry_z,entry_pz,exit_x,exit_px,exit_y,exit_py,exit_z,exit_pz
SEX_09AW,50.513,0.272,2.2518524157,29,yk_mp,yk_protocol,1.0,0.0,-1.5,1.0,0.0,-0.0015,0.1,true,,0.0620642,0.012485699834110214,0.012485699834110214,0.00011378158479837654,0.0024568421190079136,8.082882121568777e-6,0.002365286779950031,-3.9203363436401045e-7,-8.66855489459858e-8,-0.001499978145510094,-0.00012524134608296405,-9.882314786780816e-7,-3.86855816595282e-7,-3.1625000064120705e-7,6.49427693395713e-7,-0.001534043754645812,-0.00012524098635916916,-9.903647051836997e-7,-3.86855816595282e-7
SEX_09AW,50.513,0.272,2.2518524157,30,xk_pm,xk_protocol,0.5,0.75,0.0,-0.5,0.00075,0.0,-0.05,true,,0.0492993,0.002904708000420653,0.002904708000420653,0.0007531081426095126,2.012534947356121e-18,0.0007335814002331043,1.6704815829155975e-18,0.0007502507797181387,-4.7622755837400994e-5,7.126864588001635e-20,3.175786578849285e-20,1.9851950759283258e-6,8.616722653035684e-7,0.0007372747408499881,-4.7788413440472535e-5,7.991128245289725e-20,3.179153099563782e-20,1.9848855596987027e-6,8.616722653035684e-7
SEX_09AW,50.513,0.272,2.2518524157,31,xk_pm,xk_protocol,1.0,1.5,0.0,-1.0,0.0015,0.0,-0.1,true,,0.0659483,0.005809416000841306,0.005809416000841306,0.0015066902140417244,4.322272915530928e-18,0.0014675500407357533,3.864417853959616e-18,0.0015009802391337188,-9.516640797285598e-5,2.0489596877747044e-19,8.643611210489204e-20,3.918745399837313e-6,1.6806067389922853e-6,0.001475006379384366,-9.581440489626215e-5,2.2843182051665797e-19,8.662477912839324e-20,3.917505248786378e-6,1.6806067389922853e-6
SEX_09AW,50.513,0.272,2.2518524157,32,yk_pm,yk_protocol,0.5,0.0,0.75,-0.5,0.0,0.00075,-0.05,true,,0.0523899,0.006242849917055107,0.006242849917055107,0.00011395108833678155,0.0012284199217748105,1.8755108735823953e-6,0.001182645724634335,-7.948934157415771e-8,-1.8018641283800644e-8,0.0007499973395977124,6.262275654927768e-5,-2.470554410130384e-7,-9.671466275684155e-8,-6.113368604816637e-8,1.5427632943581518e-7,0.000767030726300784,6.262272285021397e-5,-2.4758878087695765e-7,-9.671466275684155e-8
SEX_09AW,50.513,0.272,2.2518524157,33,yk_pm,yk_protocol,1.0,0.0,1.5,-1.0,0.0,0.0015,-0.1,true,,0.086162,0.012485699834110214,0.012485699834110214,0.00011381349265534473,0.002456841918805027,7.308223432011056e-6,0.002365286934285346,-2.930964204606193e-7,-6.722266287092859e-8,0.0014999789188393502,0.00012524155095299818,-9.882284972245044e-7,-3.8685975993542945e-7,-2.204684706975152e-7,6.062927235657648e-7,0.0015340445999388037,0.00012524130952069814,-9.903617308823857e-7,-3.8685975993542945e-7
SEX_09AW,50.513,0.272,2.2518524157,34,xk_pp,xk_protocol,0.5,0.75,0.0,0.5,0.00075,0.0,0.05,true,,0.0468601,0.002904708000420653,0.002904708000420653,0.0007531199169971197,2.1965990217887758e-18,0.0007335907645768612,1.9909976058442665e-18,0.0007502626944897457,-4.762041610195451e-5,1.1211001342779905e-19,4.7001899573356066e-20,1.9851915620678293e-6,8.616699772458111e-7,0.0007372862621170292,-4.779360279771912e-5,1.2490190995474827e-19,4.705707648626392e-20,1.984882027036485e-6,8.616699772458111e-7
SEX_09AW,50.513,0.272,2.2518524157,35,xk_pp,xk_protocol,1.0,1.5,0.0,1.0,0.0015,0.0,0.1,true,,0.0461476,0.005809416000841306,0.005809416000841306,0.0015067845686702298,4.165469920757082e-18,0.0014676250892754774,3.594363835692781e-18,0.001501075718128459,-9.514766850115026e-5,1.7687258130036344e-19,7.559775434972325e-20,3.918686146464908e-6,1.6805728984782373e-6,0.0014750987045717991,-9.585598300879406e-5,1.9745898915897626e-19,7.577589360783067e-20,3.917445693305743e-6,1.6805728984782373e-6
SEX_09AW,50.513,0.272,2.2518524157,36,yk_pp,yk_protocol,0.5,0.0,0.75,0.5,0.0,0.00075,0.05,true,,0.0465678,0.006242849917055107,0.006242849917055107,0.00011394710280820115,0.00122841993427374,1.9723471089026605e-6,0.001182645714983572,-9.185987768374022e-8,-2.0451179246948922e-8,0.0007499972912779504,6.26227437494169e-5,-2.4705558962755075e-7,-9.671429743344207e-8,-7.310964126411102e-8,1.596687677628285e-7,0.0007670306734842055,6.262270265482481e-5,-2.475889292680215e-7,-9.671429743344207e-8
SEX_09AW,50.513,0.272,2.2518524157,37,yk_pp,yk_protocol,1.0,0.0,1.5,1.0,0.0,0.0015,0.1,true,,0.0644325,0.012485699834110214,0.012485699834110214,0.00011378158480428733,0.002456842119008399,8.08288214431443e-6,0.0023652867799500523,-3.9203363021384965e-7,-8.668554970118244e-8,0.0014999781455091996,0.00012524134608270639,-9.882314797746098e-7,-3.8685586472923374e-7,-3.162499966965764e-7,6.49427692639617e-7,0.00153404375464485,0.00012524098635891546,-9.903647062802192e-7,-3.8685586472923374e-7
SEX_09AW,50.513,0.272,2.2518524157,38,xyk_mmm,xyk_diagnostic,0.5,-0.75,-0.75,-0.5,-0.00075,-0.00075,-0.05,true,,0.0482298,0.006242849917055107,0.006242849917055107,0.0007526887668626169,0.0012269351921618077,0.0007332356121447171,0.0011821692304918997,-0.0007498274725484097,4.768819071225536e-5,-0.0007515493072801436,-6.313751592554824e-5,-2.2827591744408797e-6,-1.00042672186773e-6,-0.0007368555515160401,4.769574799078167e-5,-0.0007686767471022889,-6.279912873003381e-5,-2.2836077437583823e-6,-1.00042672186773e-6
