trial,q_total_norm_m,all_element_total_relative_closure,all_element_total_signed_projection,family_partition_absolute_error_m,family_partition_relative_closure
81,9.1085972774069948e-06,1.2898796168407621e-14,0.99999999999999833,3.4807760176231405e-20,2.0181894119638063e-14
82,6.6743850767223561e-06,4.7007182680151785e-15,0.99999999999999889,1.8634724839594607e-20,1.1184235507832219e-14
83,4.3612699585289828e-06,1.5464592116162452e-14,1.0000000000000049,1.8634724839594607e-20,2.1245602102783272e-14
84,1.6893738122758389e-05,1.5799076160228172e-14,0.999999999999996,1.0990252490624547e-19,2.8574465583045488e-14
85,3.4484821506496656e-05,1.9396886954890785e-14,0.99999999999998579,1.3721933745519665e-19,2.0099223787078665e-14
86,8.4298351992538495e-06,6.6442464441629883e-15,0.99999999999999745,1.8740603958001395e-20,8.0447355331986376e-15
87,1.407154538791497e-05,7.8610178968915209e-15,0.99999999999999567,3.6422416731934915e-20,1.1545006572587831e-14
88,9.565036761559836e-06,6.4264704557094593e-15,0.99999999999999944,3.3881317890172014e-20,1.4800721422587092e-14
89,1.8722795126520105e-05,3.9896678545920457e-15,1.0000000000000007,3.3034284942917713e-20,7.0792141336594005e-15
90,8.195322484235664e-06,1.0346080804463598e-14,1.0000000000000022,3.790472438962994e-20,2.0238102109567411e-14
91,7.3529670524173654e-06,2.2786065386666424e-15,0.99999999999999967,8.2056316765260345e-21,5.4846783496651105e-15
92,9.7495623397987915e-06,1.3520652275878205e-14,1.0000000000000036,4.3622196783596467e-20,1.8998089046150724e-14
93,1.4276740527866768e-05,1.1302527817350217e-14,0.99999999999999312,7.2844833463869829e-20,2.4152825516019789e-14
94,1.1315410251475243e-05,6.3848979252873825e-15,1.0000000000000024,2.2022856628611809e-20,8.4180467058777996e-15
95,7.5257863683900219e-06,1.4641040742881277e-14,0.99999999999999267,3.6210658495121339e-20,2.2343897982661072e-14
96,7.4159798038072744e-06,1.1932436236637977e-14,0.99999999999999067,2.3293406049493259e-20,1.5799722052157441e-14
97,6.0540569201186996e-06,1.0107919315369837e-14,1.0000000000000009,1.2864312886424686e-20,1.0003753893940347e-14
98,1.6616808023347777e-05,1.0414052123340177e-14,0.99999999999999256,3.9916427639358903e-20,1.192739191444272e-14
99,1.0245148944438203e-05,1.976068930631878e-14,0.99999999999999256,3.8963515573697816e-20,1.6720378696469161e-14
100,9.0918325861068068e-06,1.3713370319098045e-14,0.99999999999999811,3.9810548520952116e-20,2.0208506033847816e-14
