trial,family,element_count,contribution_norm_m,projection_numerator
42,marker,222,9.8367000809348196e-21,4.3743457686551071e-27
42,normal_sextupole,76,3.8434392981805243e-06,1.4076967533586614e-11
42,octupole,2,8.8613032580249953e-10,1.0434629593776902e-15
42,other_sextupole,6,3.2126507850880586e-10,-2.262051722783379e-17
42,quadrupole,122,1.062679484191035e-07,-5.1351413652608315e-14
42,rfcavity,4,1.2185828290260088e-08,-9.4674705192841662e-15
42,sbend,98,1.9381580107136754e-07,5.1427641606917474e-15
42,wiggler,3,2.7874376638392028e-09,-8.0600208818632597e-15
43,drift,562,3.348340238317814e-07,-1.517479053462309e-13
43,kicker,82,1.5698998356423837e-07,-9.0373755330801598e-14
43,marker,222,2.6285758552033403e-20,-1.1445889376255838e-26
43,normal_sextupole,76,1.633502829656723e-05,2.6609648298043708e-10
43,octupole,2,1.9136288615917927e-10,-1.5977357787173975e-15
43,other_sextupole,6,4.9010213078030767e-10,1.7190342352360292e-15
43,quadrupole,122,1.3483545644884383e-07,-6.7023986689989778e-14
43,rfcavity,4,1.2033851143709497e-08,-4.811359587061441e-14
43,sbend,98,3.1121226629232982e-07,5.5272708911133788e-13
43,wiggler,3,8.5853638032416321e-09,-2.3475333849000558e-14
44,drift,562,1.3205764078694125e-07,3.2960936005126113e-13
44,kicker,82,3.4774848926516722e-08,4.5442080252295064e-14
44,marker,222,1.2382548871307822e-20,-4.5017180454338109e-26
44,normal_sextupole,76,9.1135068420155762e-06,8.3919529780947174e-11
44,octupole,2,7.5709304197858885e-10,3.0035925000860548e-15
44,other_sextupole,6,2.6117225935024624e-10,7.7516454117830569e-16
44,quadrupole,122,3.9856340701075306e-08,8.4374347621298561e-14
44,rfcavity,4,2.9557113799556696e-09,5.5178995644135514e-15
44,sbend,98,2.1171450136205238e-07,5.7110300696904975e-13
44,wiggler,3,1.1274734658776182e-09,-3.3180753194270615e-15
45,drift,562,4.2106420279635558e-07,3.9816869733016989e-12
45,kicker,82,1.1629306393495827e-07,7.964328201980682e-13
45,marker,222,2.8994114645667338e-20,1.4235092034624337e-25
45,normal_sextupole,76,1.632814092007232e-05,2.7677908787172067e-10
45,octupole,2,2.7721641654905449e-09,3.2698722584512621e-14
45,other_sextupole,6,1.0149728545479345e-09,7.1806218124237791e-15
45,quadrupole,122,1.2473763055527975e-07,1.0382434987898475e-12
45,rfcavity,4,7.8665511537075313e-09,3.9847790048559913e-14
45,sbend,98,6.0745460877025544e-07,5.8611934947688068e-12
45,wiggler,3,4.2018306021142976e-09,5.0142461804397912e-15
46,drift,562,4.824405298054254e-07,1.2760830497610336e-12
46,kicker,82,1.9618075286847029e-07,1.0580003186418467e-12
46,marker,222,2.5218783391581704e-20,1.1122655959567546e-25
46,normal_sextupole,76,1.4036288261182903e-05,1.9624724392875799e-10
46,octupole,2,3.2754326361777646e-09,-1.4653883956226008e-14
46,other_sextupole,6,2.0280629040418251e-09,-1.1677368478171963e-14
46,quadrupole,122,1.7871448031661249e-07,6.6522266580551419e-13
46,rfcavity,4,1.7161868007753206e-08,1.2238897522167874e-13
46,sbend,98,8.8807839987744218e-07,-9.956830871080713e-13
46,wiggler,3,2.1545471300116091e-09,2.043027609780677e-14
47,drift,562,8.3406922146269432e-07,7.7718525745979435e-12
47,kicker,82,3.7190596427483998e-07,3.4785680012438376e-12
47,marker,222,2.5358930824840177e-20,-1.5724903137423687e-25
47,normal_sextupole,76,1.0138395709257842e-05,1.1888689661210844e-10
47,octupole,2,3.9131606421824463e-10,3.8305134512502709e-17
47,other_sextupole,6,7.3161096019878893e-10,7.1255294618740169e-15
47,quadrupole,122,3.2494717796625584e-07,3.0501987810565475e-12
47,rfcavity,4,3.2935295966333953e-08,3.0065961556373258e-13
47,sbend,98,8.1831993832946244e-07,7.0842252237469232e-12
47,wiggler,3,8.1262191614949673e-09,5.908709627621857e-14
48,drift,562,9.3107006547008032e-07,8.8932342177926134e-12
48,kicker,82,4.9586665026860212e-07,6.9751050697433372e-12
48,marker,222,6.6863443875495094e-20,-9.3337957738135092e-26
48,normal_sextupole,76,2.8829320030951858e-05,8.4845333032811365e-10
48,octupole,2,3.7782477363530555e-09,-9.5165447077432446e-14
48,other_sextupole,6,1.2411825243056603e-09,5.6970974915565282e-15
48,quadrupole,122,4.0326119279502503e-07,5.0347850259874611e-12
48,rfcavity,4,3.4564001386874974e-08,6.8865557940535663e-13
48,sbend,98,9.0701050554326613e-07,3.0481555100603484e-12
48,wiggler,3,2.1341967598465206e-08,2.6134848495994703e-13
49,drift,562,2.2000171223555809e-07,7.7080984297486506e-13
49,kicker,82,6.7192591148611769e-08,1.0333491851130543e-13
49,marker,222,1.3401578924558668e-20,-4.4070685819015302e-27
49,normal_sextupole,76,8.6502754368595168e-06,7.7284743092833002e-11
49,octupole,2,1.4550319636469048e-09,4.3315127617229475e-16
49,other_sextupole,6,4.6998538371559082e-10,2.8684858126553572e-15
49,quadrupole,122,6.4670317183932418e-08,1.8877500989355849e-13
49,rfcavity,4,9.2994340624123348e-10,3.571131917464819e-16
49,sbend,98,4.1552455712773222e-07,1.9311137008280922e-12
49,wiggler,3,3.3499238891727231e-09,1.088612575397952e-15
50,drift,562,3.5508810802956119e-07,8.7719977213908883e-13
50,kicker,82,1.5134697159754563e-07,3.9013231452767651e-13
50,marker,222,1.232548373301553e-20,-2.5732528898144286e-26
50,normal_sextupole,76,6.8443299367688654e-06,4.7974329966166577e-11
50,octupole,2,1.0121305629820299e-09,-1.0011690585930059e-15
50,other_sextupole,6,9.3364633101636774e-10,-2.1815665448949487e-17
50,quadrupole,122,1.3607392355309583e-07,3.3928215780697053e-13
50,rfcavity,4,1.2428400091403475e-08,5.5664826345366726e-14
50,sbend,98,5.6106208309533028e-07,9.1684146672916707e-13
50,wiggler,3,3.2808021769879131e-10,-1.3233387966296686e-15
51,drift,562,1.9365491590778339e-08,-5.7023376247491418e-14
51,kicker,82,6.68138015154328e-09,-2.0932860310184704e-14
51,marker,222,1.7947043037023632e-20,2.6841376679170432e-26
51,normal_sextupole,76,8.3252522214114953e-06,6.9170839143892648e-11
51,octupole,2,3.4129321200824058e-11,-4.773485686028435e-17
51,other_sextupole,6,6.9303742861841455e-11,-3.2809380039947589e-16
51,quadrupole,122,6.6585279782205267e-09,-2.1589386813729726e-14
51,rfcavity,4,3.7274953723212706e-10,3.3412997111808059e-16
51,sbend,98,5.9092922536047296e-08,-2.9689748932331132e-14
51,wiggler,3,5.2983470522584067e-10,-1.9836085207666759e-15
52,drift,562,1.1632878892740206e-06,-6.6719196767019584e-12
52,kicker,82,5.9991814773256305e-07,-2.7500777539327412e-12
52,marker,222,3.0549087016113049e-20,3.0023996876153148e-26
52,normal_sextupole,76,1.93031875490769e-05,3.3450253703862183e-10
52,octupole,2,2.8833817907838317e-09,6.3799871134078691e-15
52,other_sextupole,6,2.0346007169652959e-09,-1.8674544119056819e-14
52,quadrupole,122,4.9634163455851601e-07,-2.6501979683211965e-12
52,rfcavity,4,2.6639046683082744e-09,-6.8800520426108273e-15
52,sbend,98,1.4369094949153181e-06,-1.2769241133061548e-11
52,wiggler,3,2.0019550935503827e-08,2.8504582967160402e-14
53,drift,562,2.2378576531212592e-08,1.0357365893761931e-13
53,kicker,82,1.10871553053459e-08,7.9423698506675042e-14
53,marker,222,3.1841112045971435e-20,-1.0970634844351278e-25
53,normal_sextupole,76,1.5139032062025834e-05,2.2971028888791189e-10
53,octupole,2,2.7788095094978751e-10,-3.7837986404687127e-15
53,other_sextupole,6,7.4280676931129728e-11,1.3345513196561743e-16
53,quadrupole,122,9.258810848946763e-09,5.5135497932333823e-14
53,rfcavity,4,8.9934559238619707e-10,9.8898936440313171e-15
53,sbend,98,4.9310773194292855e-08,3.4421640092380793e-13
53,wiggler,3,5.3246617693647806e-09,-6.0888753084689277e-14
54,drift,562,8.0161237012345194e-07,4.1396557524450002e-12
54,kicker,82,3.3271906124868296e-07,4.9629266502725197e-13
54,marker,222,1.9233382797798643e-20,1.2354607731705433e-25
54,normal_sextupole,76,1.0923519185507358e-05,1.2699837159208112e-10
54,octupole,2,9.7664255634861562e-09,8.7865481002129377e-14
54,other_sextupole,6,2.7839945106839734e-09,1.7255875344332262e-14
54,quadrupole,122,2.9144278469790984e-07,8.9820639767395035e-13
54,rfcavity,4,8.5114347807110304e-09,-7.6472070455579512e-14
54,sbend,98,1.2546428615177622e-06,8.8789594157507366e-12
54,wiggler,3,1.4110684598949085e-08,-5.1512609896500436e-14
55,drift,562,1.5794368545160514e-07,4.5108515130728972e-13
55,kicker,82,6.5124278257423871e-08,1.6303953477442112e-13
55,marker,222,4.0540993511417641e-21,1.076374675227174e-26
55,normal_sextupole,76,3.9567786896272127e-06,1.6790059563823466e-11
55,octupole,2,3.8245563905866563e-10,6.0845749517332999e-16
55,other_sextupole,6,2.4390523534251994e-10,6.4874291931056104e-16
55,quadrupole,122,5.8345897958287643e-08,1.5678218306674799e-13
55,rfcavity,4,5.0607538949278252e-09,1.6935581612672702e-14
55,sbend,98,2.0337752452707369e-07,5.8044336150721506e-13
55,wiggler,3,1.5840692876623455e-10,-4.5881614354239344e-16
56,drift,562,1.9363294927105859e-07,-5.9308761713194646e-14
56,kicker,82,7.8969789333973154e-08,4.3052125859604192e-13
56,marker,222,4.8149163624899367e-20,3.7082430763049914e-25
56,normal_sextupole,76,1.7742789769244842e-05,3.1284308196297187e-10
56,octupole,2,1.5845780053328306e-09,-2.1654390806534103e-14
56,other_sextupole,6,7.5475219233916217e-10,-8.8102584430341736e-15
56,quadrupole,122,7.1944345690901117e-08,1.8006613975550131e-13
56,rfcavity,4,6.3055605285760942e-09,5.3752860039568544e-14
56,sbend,98,2.6746475410434988e-07,-2.161569369059323e-12
56,wiggler,3,4.3625002799932442e-09,-3.7084803414025585e-14
57,drift,562,3.8791923534837328e-08,-3.2050487237955446e-13
57,kicker,82,1.1367055731660515e-08,-5.8609219838300229e-14
57,marker,222,2.2241032501919914e-20,9.4227711063746028e-27
57,normal_sextupole,76,1.066509676948326e-05,1.1289872607482171e-10
57,octupole,2,6.1519976916136822e-10,-5.1657535682722882e-15
57,other_sextupole,6,3.9470725579152741e-11,3.2765954101932175e-16
57,quadrupole,122,1.0255501056874092e-08,-7.2573414449272054e-14
57,rfcavity,4,5.1816572979683781e-10,-3.6887841750437171e-15
57,sbend,98,5.4525410415095118e-08,-3.6676262234114949e-13
57,wiggler,3,3.4686723692267675e-09,-7.7758026372994445e-15
58,drift,562,4.0462184471513298e-07,-5.1614118342574166e-12
58,kicker,82,1.5902719923830273e-07,-1.8707070098042221e-12
58,marker,222,4.2808929352049098e-20,2.0048428651628546e-25
58,normal_sextupole,76,1.8864268997959718e-05,3.3495675936980179e-10
58,octupole,2,8.9378721032807901e-10,-8.1179064471975094e-15
58,other_sextupole,6,1.1535870602206884e-09,-1.6966074218126013e-14
58,quadrupole,122,1.4963071206139479e-07,-1.8623207155986756e-12
