element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
179,179,d073,Drift,50.346999999999994,0,7.9535035052271256e-06,8.5021175962404828e-05
180,180,sex_09aw,Sextupole,50.512999999999991,0.61250385707040012,0.014576348870028125,0.38456048580027274
181,181,d074,Drift,50.74199999999999,0,2.3898860627068719e-05,0.00026239803191969714
182,182,hkick_9aw,Kicker,50.866999999999997,0,8.2232638715744548e-06,9.0287494854068555e-05
183,183,d075,Drift,50.925499999999992,0,6.8098903938935554e-06,7.4769331676068299e-05
184,184,det_i10w,Marker,50.951999999999991,0,6.9091854925690982e-33,1.7824757581075266e-31
185,185,d076,Drift,51.206299999999992,0,6.4935447987280221e-05,0.00071556868339885419
186,186,det_10w,Marker,51.460599999999992,0,-2.4544970195771083e-50,2.0726862695672324e-49
187,187,d077,Drift,51.502799999999993,0,1.0699476842686971e-05,0.00011838655382637812
188,188,q10w,Quadrupole,51.844999999999999,0,2.0759520236292185e-05,0.00022136613002304606
189,189,d078,Drift,52.183999999999997,0,8.3135226656094858e-07,1.4587718125836357e-05
190,190,sex_10w,Sextupole,52.358999999999995,-0.24066952067328001,-0.0076898810088627638,0.22655083202308651
191,191,d079,Drift,53.219000000000001,0,1.7364912243053078e-05,0.00027285259162122556
192,192,det_i10aw1,Marker,53.942999999999998,0,-3.2898738845534318e-32,3.9238215530603609e-31
193,193,d080,Drift,53.950699999999998,0,1.8749701444683751e-07,2.9219556516780104e-06
194,194,sk_q10aw,Quadrupole,54.034399999999998,0,1.8506198833723717e-06,2.884008175709773e-05
195,195,d081,Drift,54.161700000000003,0,1.2491684212612954e-06,1.9467055186036562e-05
196,196,det_i10aw2,Marker,54.213000000000001,0,-1.2236421680104319e-17,1.5001545162273836e-16
197,197,d082,Drift,54.4129425,0,4.9395136790182308e-06,7.637900987029029e-05
198,198,fdbk_10w1_v,Kicker,55.252135000000003,0,1.5792460929152943e-05,0.00024419661682513233
199,199,d083,Drift,56.039134999999995,0,3.6501151385766787e-06,5.6441220392531892e-05
200,200,fdbk_10w2_h,Kicker,56.825634999999998,0,1.5780108593680446e-05,0.0002440056143872829
201,201,d084,Drift,57.524985000000001,0,1.4971030618842736e-06,2.3149495470671484e-05
202,202,det_i10aw3,Marker,57.585585000000002,0,-6.3930545172538904e-17,1.6228952627147771e-16
203,203,d085,Drift,57.626585000000006,0,1.0217033848779419e-06,1.5735385511708454e-05
204,204,det_i10aw4,Marker,57.667585000000003,0,-6.8462881932459488e-17,2.0532491611762404e-16
205,205,d086,Drift,57.861285000000002,0,4.8678993212826108e-06,7.4680840254611722e-05
206,206,q10aw,Quadrupole,58.354985000000006,0,2.1636539100906109e-06,3.6481523663572837e-05
207,207,d087,Drift,58.752985000000002,0,1.3945619068661901e-06,2.1820943949372343e-05
208,208,det_10aw,Marker,58.850985000000001,0,-2.0725660300685229e-17,9.7015371856937419e-17
209,209,d088,Drift,58.909685000000003,0,8.1070687640052406e-07,1.298999269585466e-05
210,210,sex_10aw,Sextupole,59.104385000000001,-0.11116394997904001,-0.0025646955475826581,0.072181965862290656
211,211,d089,Drift,59.384204500000003,0,1.9862939968612048e-06,3.1826477930528056e-05
212,212,b11w,SBend,62.815155000000004,0,2.65644344516388e-05,0.00077421328452645637
213,213,d090,Drift,66.220270499999998,0,1.6053092572396194e-06,2.5821904920262983e-05
214,214,det_11w,Marker,66.338255000000004,0,-2.5507496848855098e-18,7.9472415450860986e-17
215,215,d091,Drift,66.433454999999995,0,1.2279358948580481e-06,2.0597394586730158e-05
216,216,q11w,Quadrupole,66.828654999999998,0,1.9370736125030161e-06,2.3469458769215063e-05
217,217,d092,Drift,67.430561999999995,0,7.2947297105863469e-06,8.1446822840201499e-05
218,218,b12w,SBend,71.019599999999997,0,8.1167302246862186e-05,0.00092760491878768326
219,219,d093,Drift,74.5293815,0,5.4355531617163772e-06,6.0651809280603712e-05
220,220,sk_sex_12w,Sextupole,74.816032000000007,0,1.5624281209854765e-06,1.7434121162800038e-05
221,221,d094,Drift,75.041032000000001,0,3.9304832418668446e-06,4.3857711050162933e-05
222,222,det_i12w1,Marker,75.202032000000003,0,-3.862216630541617e-17,1.114581507315673e-16
223,223,d095,Drift,75.415532000000013,0,5.2465217473643087e-06,5.8427065618087774e-05
224,224,det_12w2,Marker,75.629032000000009,0,-3.8589022411922896e-17,1.101672187014386e-16
225,225,d096,Drift,75.781532000000013,0,3.7698958941826379e-06,4.1913336113852113e-05
226,226,det_12w3,Marker,75.934032000000016,0,1.1752189648191437e-18,8.4300739776751931e-18
227,227,d097,Drift,76.08653200000002,0,3.790732028463497e-06,4.2084614062107531e-05
228,228,det_12w,Marker,76.239032000000023,0,2.3817232015646503e-18,7.3127718898014522e-17
229,229,d098,Drift,76.281732000000034,0,1.0668067022567285e-06,1.1829315342031269e-05
230,230,q12w,Quadrupole,76.624432000000027,0,1.5637710699844991e-06,4.4212666544064696e-05
231,231,d099,Drift,76.955657000000016,0,-2.0423748944498048e-08,1.1413248846054616e-05
232,232,sex_12w,Sextupole,77.122882000000033,0.45238137688960001,0.0042120884038924951,0.16349453693359484
233,233,d100,Drift,77.560193000000027,0,-1.9708247299797923e-07,0.00011013410482175117
234,234,b13w,SBend,81.149147000000028,0,-3.4379212756610151e-05,0.0012850377058723514
235,235,d101,Drift,84.531417500000032,0,-6.8288291750512609e-08,3.3923026737155208e-05
236,236,q13w,Quadrupole,84.92604500000003,0,1.7651517694394135e-06,4.2708295278653415e-05
237,237,d102,Drift,85.257445000000018,0,7.398388707062518e-07,1.6151556987063674e-05
238,238,sex_13w,Sextupole,85.424845000000033,-0.64146307443520001,0.045060602860159053,0.31559221609618815
239,239,d103,Drift,85.570645000000027,0,2.03476342977887e-07,5.0990376467155093e-06
240,240,det_13w,Marker,85.580445000000026,0,-2.3043136080836298e-35,1.8406967913185092e-33
241,241,d104!s1,Drift,85.980222500000011,0,8.6510648225676092e-06,0.00020963025624299412
242,242,d14bw_rfa4_seg,Marker,86.379999999999995,0,-4.2180826205015603e-17,2.4116095057461662e-16
243,243,d104!s2,Drift,87.170999999999992,0,1.711700201889093e-05,0.0004147745500639438
244,244,d14bw_rfa1_aps,Marker,87.962000000000003,0,-3.5020126544364798e-17,1.9030143813264201e-16
245,245,d104!s3,Drift,88.009500000000003,0,1.02788570906127e-06,2.4907447696665903e-05
246,246,d14bw_rfa2_seg,Marker,88.057000000000002,0,9.7894336710830019e-18,1.1986333773023756e-16
247,247,d104!s4,Drift,88.110500000000002,0,1.1577239039467238e-06,2.8053651616185069e-05
248,248,d14bw_rfa3_aps,Marker,88.164000000000001,0,2.8198760330635954e-33,5.5626084376872365e-32
249,249,d104!s5,Drift,89.833001500000023,0,3.6116690322533801e-05,0.00087516984351283442
250,250,det_14w,Marker,91.50200300000003,0,6.13039863550395e-33,1.4016183675452028e-31
251,251,d105,Drift,91.516203000000033,0,3.1361320193895622e-07,7.4729700047637555e-06
252,252,q14w,Quadrupole,91.830403000000032,0,3.8251876688631393e-06,6.4633153329193515e-05
253,253,d106,Drift,92.162978000000038,0,1.1158706999397433e-07,5.6846010785460183e-06
254,254,sex_14w,Sextupole,92.331553000000042,0.4078490260464,-0.034363379223902563,0.12867017384541318
255,255,d107,Drift,92.545880000000039,0,2.683125228578298e-07,1.3668695277941559e-05
256,256,b15w,SBend,95.911850000000044,0,4.8215490394934891e-05,0.00057820764024860464
257,257,d108,Drift,99.664961500000047,0,1.6292575693607445e-06,8.0031167925733248e-05
258,258,q15aw!s1,Quadrupole,100.22421500000002,0,3.2827123886711012e-07,1.612509350025195e-05
259,259,d15w_rfa1_cvc3,Marker,100.318,0,5.8764972708175461e-33,3.5008687328875277e-31
