training_case,evaluation_case,model,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,SEX_12W,4,30.97203592458944,32.58477701162785,44.955919545834774,41.53244155211158,55.29827754548601,57.01900704465781,58.395590643995256,58.739736543829615
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_09AW,1,61.43407025754708,57.45813986817483,84.11648367305882,83.76401491303821,89.91791481047746,90.68715229765736,91.3025422874013,91.45638978483727
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_10W,2,9.636692576672017,22.65065754935379,24.61540434840312,22.198102823911483,30.70832678352848,31.772104778480603,32.6231271744423,32.83588277343273
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_10AW,3,38.54047616184933,23.44516137053449,45.11146078850118,44.98963148880429,47.640150287719635,47.97146513758405,48.236517017475585,48.30277998744847
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,SEX_12W,4,6.3229262409539375,33.524458415751695,34.11552005052845,26.613848793250515,43.6891504557666,45.823563163581106,47.531093329832714,47.95797587139562
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_target_local_ridge,SEX_09AW,1,1339.517174318631,94.87769735609476,1342.8730534753329,1342.8619343328944,1347.2337033940792,1347.7801745267273,1348.2173514328458,1348.3266456593753
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_target_local_ridge,SEX_10W,2,1382.1795955297625,127.83166636642316,1388.0783008263022,1388.0749454103818,1390.5166037058839,1390.8218109928216,1391.0659768223718,1391.1270182797593
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_target_local_ridge,SEX_10AW,3,1445.0566135340282,126.0275889522934,1450.5418192853188,1450.5404925401167,1452.110001413746,1452.3061900229495,1452.4631409103126,1452.5023786321533
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_target_local_ridge,SEX_12W,4,1382.672390035023,116.25392155069349,1387.5510485892323,1387.545343289263,1390.7285750920298,1391.1264790673758,1391.4448022476524,1391.5243830427216
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_ridge,SEX_09AW,1,50.920637541833116,56.582598285354955,76.1216247618809,75.73585873192631,81.85894075463607,82.62432600747478,83.23663420974576,83.3897112603135
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_ridge,SEX_10W,2,2.8623422988957286,21.916614254043754,22.102737020482365,19.603540219234112,27.771073787482376,28.792015483513406,29.608768840338232,29.81295717954444
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_ridge,SEX_10AW,3,49.14585565604637,22.647716518426947,54.113160983849156,54.057652150427415,56.01796814901371,56.263007648837004,56.45903924869563,56.50804714866029
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_ridge,SEX_12W,4,13.505845559078596,32.948908695935984,35.609527496427255,28.11947629982935,45.59784695418305,47.78264328597726,49.53048035141263,49.96743961777147
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_random_feature,SEX_09AW,1,126.30328156072946,40.440852309927635,132.61968733397876,132.56407455703328,135.63628344572373,136.02030955681002,136.32753044567906,136.40433566789633
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_random_feature,SEX_10W,2,176.67229880063374,11.42980640732274,177.0416381476665,177.02738498197897,178.8245568849851,179.04920337286086,179.22892056316147,179.27384986073662
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_random_feature,SEX_10AW,3,226.92628372191717,9.971077732507963,227.14524127744292,227.14387033393555,227.77521414925405,227.85413212616885,227.9172665077007,227.93305010308367
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_random_feature,SEX_12W,4,185.3052090011448,24.70326672981525,186.94456897723012,186.8037305088975,192.60790214200676,193.33342359614542,193.91384075945635,194.05894505028408
