lord_id,lord_name,lord_key,variable,step,observation_index,dx,dpx,dy,dpy,dz,dpz
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,361,-2.650373631934294e-06,3.0699409737954854e-07,1.2876061052883442e-06,3.591182332129077e-07,7.914295561679656e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,371,-8.46445868040932e-08,2.951832351988338e-07,3.954992407032877e-06,1.6880368535810743e-08,8.974203149808742e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,379,2.0838725922796286e-06,-1.0236646019777876e-07,4.576667131915308e-06,7.913910787544359e-07,8.192909476116995e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,389,1.3331129375859958e-06,1.2077408571928988e-08,1.0213436718109828e-05,-7.683259967039189e-07,6.927097122771736e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,399,1.2828078425897171e-06,-2.584985308489232e-07,3.4654386750617924e-06,-1.6621893623872466e-07,5.880064595767311e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,407,-9.68562886740753e-07,-4.893444553781762e-07,1.922096892455552e-06,-2.7635550746136876e-07,5.711918076110184e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,415,-4.588007133227417e-06,1.216021067071112e-07,-3.600937916988303e-07,-3.041150569727273e-07,7.839445490605713e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,463,2.5957687860614885e-06,1.2300237036051188e-07,-4.866251687631745e-06,3.5974307071391567e-07,1.0803885610901736e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,471,3.1662042323903072e-06,-5.985015647685422e-07,-2.1677100786035228e-06,3.4433067156022443e-09,8.511417204311355e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,479,-2.060279579482304e-06,-1.0015155042905535e-06,-1.917759273866587e-06,2.7229371516346475e-07,7.972702664889569e-07,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,487,-8.990505519093986e-06,9.967537572093876e-07,3.369527715453937e-07,3.0447731263886536e-07,1.238679470138334e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,495,-9.664994476401775e-07,6.424333125209809e-07,2.5539801959493375e-06,-3.5265741716089733e-07,1.6252222458990918e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,503,3.851280145922981e-06,-2.9062197174625423e-08,-3.7350300673491543e-07,-5.10396540840969e-07,1.5128299297352955e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,511,4.007529079907372e-06,3.5780400287044843e-07,-4.060349404356317e-06,2.376672508970501e-07,1.2343854088498764e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,527,-1.5181869384697441e-06,-1.0310473082947302e-06,-7.563348809877177e-06,7.315800523699772e-07,1.022057372267952e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,537,-7.0793473147447855e-06,4.676424492870007e-07,-3.401480134449658e-06,-4.829282788688114e-08,1.0215658775886594e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,551,-2.992656148500389e-06,7.483852926883387e-07,-1.1438266332903547e-06,8.478047211209032e-08,1.7459139321719577e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,627,3.751877782520903e-06,-6.136070972617876e-08,-4.780734763143793e-07,-4.6832159542519944e-08,1.2483349105497042e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,641,-1.1288011217424915e-05,-1.1828635133217364e-06,-1.3635421295754915e-06,1.148594529220854e-08,1.9318498875250945e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,651,-4.026074468439517e-06,1.2689770971215444e-06,-3.0803168454525756e-06,-3.089797091278138e-07,1.930646399857499e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,667,3.028819562235323e-06,2.8950347007910063e-07,-3.158044881045643e-06,-3.6143737964589376e-07,2.0087739094276164e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,675,1.0255907680620582e-05,9.120172223174924e-07,-1.201858956106916e-06,2.7098695227871505e-07,1.5200041314180528e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,683,2.317637996991119e-06,-1.2235754573170637e-06,-6.59646657826321e-07,-5.1261321820346775e-08,1.0200903805197056e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,691,-5.4748903563928836e-06,-9.8556486577547e-07,-2.8890092358332953e-07,7.79139724065665e-08,1.1390658014608992e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,699,-4.4500642362678075e-06,1.4072328271739175e-07,-8.168886140441645e-08,-3.454402818073342e-08,1.5255785039652685e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,709,-9.576093726033734e-06,-6.550743271937186e-07,-2.4230629539295453e-07,-2.0013307525969248e-08,2.0361683405166215e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,717,-4.104425021427341e-07,1.1992116012916236e-06,-8.013635367266903e-07,-1.5741780983933012e-07,2.4351318243873164e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,725,9.204380624436986e-06,1.1366773889726024e-06,-1.0628651585155996e-06,3.464606366691348e-08,2.0950784706543716e-06,0.0
