sample_index,beamline_index,s_m,element_name,orbit_x_m,orbit_px,orbit_y_m,orbit_py,orbit_z_m,orbit_pz,tune_1,tune_2,chromaticity_1,chromaticity_2,phi_1_turn,phi_2_turn,accumulated_chromaticity_1,accumulated_chromaticity_2,beta_1_m,beta_2_m,dbeta_1_ddelta_m,dbeta_2_ddelta_m,alpha_1,alpha_2,dalpha_1_ddelta,dalpha_2_ddelta
579,342,309.9312567791946,"""sex_40w""",-0.009926037242378725,0.0012016454332531069,2.08597102218338e-5,4.060476795029394e-6,0.0022337567172768867,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.027911038930859,3.8502359610472054,-0.08147465228138787,-1.2844970213735563,27.176346201307098,8.773039807361995,-63.97954111112078,351.54290110180546,2.120640440634788,-0.8012576002848402,-21.08047979299737,-9.720530580365516
580,343,310.2032567791946,"""d171""",-0.009600796509497345,0.001189958614699691,2.1957212300760864e-5,4.009232518722504e-6,0.0022335622622332426,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.029538099596209,3.8550503641364706,-0.07949523324647101,-1.478958912193598,26.054980848382716,9.216836648552801,-55.438214057352006,357.01856266349137,2.0032753569490227,-0.830109592301068,-6.437201615264328,-12.103211183218152
581,344,310.2509567791946,"""det_40w""",-0.009544035443388822,0.001189958614699691,2.214845282730395e-5,4.009232518722504e-6,0.0022335284901781258,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.029830544384116,3.8558705104110245,-0.07916782976976491,-1.5114591281925296,25.86430575275017,9.296446131062773,-54.63508850784649,358.0819784133335,1.9940976124279322,-0.8388511235257641,-6.400330188506629,-11.859853456264169
582,345,310.2509567791946,"""d172""",-0.009544035443388822,0.001189958614699691,2.214845282730395e-5,4.009232518722504e-6,0.0022335284901781258,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.029830544384116,3.8558705104110245,-0.07916782976976491,-1.5114591281925296,25.86430575275017,9.296446131062773,-54.63508850784649,358.0819784133335,1.9940976124279322,-0.8388511235257641,-6.400330188506629,-11.859853456264169
583,346,310.73939677919464,"""b41w""",-0.008962811646113202,0.001189958614699691,2.410672374522228e-5,4.009232518722504e-6,0.002233182669997804,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.032953359631343,3.863872856948599,-0.07595288694155396,-1.8186067022759864,23.962210527195314,10.159624778022474,-46.66405344439311,367.5871472534964,1.9001190477761982,-0.9283629371818808,-6.022772962550291,-9.367911147113539
584,347,317.3136587791946,"""d173""",-0.0011350872621541108,0.001192055810865791,5.0429251275051636e-5,3.993372276259504e-6,0.002606360741648217,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.115831130018293,3.9250607661545027,-0.17335967151422285,-3.3123649739367655,7.272598355588989,30.239844449672905,15.432859913828015,249.53356801700113,0.6378883345030449,-2.121906289555057,-0.9674914308640957,24.30317812206397
585,348,317.47079977919464,"""q41w""",-0.0009477662868860315,0.001192055810865791,5.105677423377463e-5,3.993372276259504e-6,0.002606249091827054,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.119317544614869,3.9258787863952302,-0.1844678217036064,-3.319748361301093,7.076898103787892,30.911215110241503,15.913569525262407,241.09829184030605,0.6074889678219337,-2.150499915946112,-0.8459051994814192,25.10367994445347
586,349,318.07079977919466,"""d174""",-0.0002616197933607688,0.0011105879757095241,5.1356904576660946e-5,-2.999732650687279e-6,0.002605856590740673,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.133115740093699,3.9289236304078012,-0.23205507523567093,-3.3440534103226827,6.970997631642817,30.96967212873536,18.15798558538843,191.71433329444827,-0.4262262856262324,2.0557291385432324,-2.81911353701394,54.8602840327497
587,350,318.13619977919467,"""sex_41w""",-0.00018898729495635827,0.0011105879757095241,5.116072194031869e-5,-2.999732650687279e-6,0.0026058162580443016,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.134602900922497,3.9292611899129777,-0.23743295604183326,-3.346451852459023,7.0274731662482495,30.701504348051838,18.469132285850645,184.8327007886562,-0.4373124012193633,2.0446931137770195,-2.801700248398321,54.46331983036694
588,351,318.40819977919466,"""d175""",0.00011309316772429304,0.0011105895818009533,5.03450985358361e-5,-2.998766041991523e-6,0.0026056485131122496,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,4.140657618070455,3.930697192003625,-0.26001882398730153,-3.355923914103672,7.27782401522561,29.602019252649065,21.0379919588533,151.2882717834615,-0.4832834493359833,1.998235964292495,-7.631846345692758,72.75505758440744
