sextupole,sextupole_s_m,quadrupole,quadrupole_inventory_index,quadrupole_ring_index,quadrupole_s_m,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,closed_orbit_seconds,twiss_seconds,selected,selected_rank
SEX_17E,649.7629910000012,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.0013305973910427418,-0.00061763992162704,-0.000448234509984685,-0.0009649272982122852,-0.0005069629941976279,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_16E,657.9705490000013,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.003727077697537126,0.00010186384642981896,-0.0037113525194433215,-2.099878963923278e-6,0.0003264812202856558,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_15E,666.1766680000013,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.004859167993046089,0.0009649540601206232,-0.002418674080493646,-0.0003072298859572723,0.004090965990572786,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_14E,676.1065810000013,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.005469793431259416,-0.0003959651935631363,0.004908470776759556,-0.0010261856332774242,0.0021484202163188693,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_13E,683.0127840000011,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.0035143471433495763,-0.0010614470379710743,0.0033125048396104076,-0.00048593351267169586,0.00012307046100481014,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_12E,691.3164100000012,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.004938982577996839,-0.00020923653062312399,0.004775774102294314,0.00035831899910202664,-0.0011888474245026431,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_11E,701.3768190000012,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.005140238707587508,0.00022441775363855337,0.0038530131181211233,-0.0006839869859485133,-0.0033253785284494035,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_10AE,709.5820270000013,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.004692732870924991,-0.0010354070542690549,0.0022289203403595896,-0.00028730946545519253,-0.003987360206605484,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_09AE,716.0246000000013,Q13E,95,944,683.5109340000012,-0.26698034744,0.00026698034744,0.004408517788638261,-0.0010546280706098473,0.0006202850505148084,-9.158293299988971e-5,-0.004234341477480615,0.0005956869686722377,0.004953193179860316,1,0.053723099999999996,2.3277224,0,
SEX_09AW,50.513,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.007217920902707767,-0.00684046559499808,-7.74675204039095e-5,0.0016805809893208521,0.0015735497840898111,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_10W,52.359,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.006903251502384054,-0.006250233318780852,6.993284575854295e-5,0.0024714287460908613,0.001573726188397859,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_10AW,59.10438500000001,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.005729018840541017,-0.003995918206176443,0.0007959625751343395,0.003750979345361716,0.001466592000004388,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_12W,77.12288200000002,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.005463046583338712,-0.004969198178864737,0.0014863388240186173,-0.0016336899777040334,0.0005232603442460551,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
SEX_13W,85.42484500000002,Q12E,96,950,691.8125600000012,0.32853736954,0.00032853736954,0.0048411290989180756,-0.0022571613279661097,0.0008959111698527681,0.004185697913338674,0.00013794870760873546,0.00038743910542726745,0.007109440872483663,1,0.053697,2.4107492,0,
