trial,element_order,element_name,s_m,k2l_m2,source_exposure_h,source_exposure_v,total_projection_numerator,total_contribution_norm_m
2,23,sex_30w,227.30979777919487,0.28505872000000004,2.1939050859191485e-10,9.6660250411393232e-09,1.2274177021645322e-13,3.5273186365911116e-07
2,24,sex_31w,235.74123977919484,-0.50427440000000001,3.6129081347841663e-10,1.4319321927449461e-07,2.0414491952651349e-12,2.5245861092050225e-06
2,25,sex_32w,243.94043177919482,0.30627744000000001,4.9925447949693544e-10,3.9377102371198433e-08,-1.9369527296895475e-12,1.315059274964643e-06
2,26,sex_33w,252.37312377919483,-0.49414784,2.2993878576960295e-10,1.1837229953484237e-07,4.6891813912419115e-12,3.2976361808762699e-06
2,27,sex_34w,258.31562377919488,0.17423313600000001,9.5921771976570528e-11,1.4049373150538582e-08,-7.4619763679100831e-13,6.1307877290064672e-07
2,28,sex_35w,266.24257577919491,-0.16527236800000006,1.7455797533930879e-11,1.4128826767444829e-08,2.0127013135208457e-13,3.317202807755625e-07
2,29,sex_36w,277.21423877919494,0.16991948800000006,1.5287765745023333e-11,2.1653424636366293e-09,5.1718167627416054e-14,7.3931523151154505e-08
2,30,sex_37w,285.22943077919501,-0.037644799999999999,8.3006645399802975e-13,2.77971936761908e-10,-8.8085689780607587e-15,5.7568273879985534e-09
2,31,sex_38w,293.43187277919503,0.20518374400000003,3.6807138801880905e-10,6.7063257388556767e-10,2.0692600271248945e-14,1.3093193631136235e-08
2,32,sex_39w,301.86131477919503,-0.45719936,2.9492109899639366e-09,2.6341115543082759e-08,-5.6443002772768771e-13,5.390935327693129e-07
2,33,sex_40w,310.06725677919508,0.24519304000000003,8.1245821635613862e-09,1.6182251905475844e-08,8.2619034386203646e-14,3.1398757811445143e-07
2,34,sex_41w,318.27219977919515,-0.49659312,2.9169742230796562e-09,1.1974110034557034e-07,2.0352904256629349e-12,2.3597909358882776e-06
2,35,sex_42w,326.47714177919516,0.11078288,1.7012874130309061e-10,3.8190444030038074e-09,-2.0348736862842908e-13,1.3444740057922425e-07
2,36,sex_43w,334.67708377919519,-0.022612475200000003,6.3229635893007439e-11,1.4777964919383686e-10,3.2851639602079631e-15,2.0538325704441681e-09
2,37,sex_44w,345.68227077919528,-0.10419966400000001,3.4479000971027731e-09,1.0244269107005821e-11,-4.2636972493568052e-14,8.0720313407749837e-08
2,38,sex_45w,352.02348077919538,0.039331744000000002,5.488962594607431e-09,9.8721840890034214e-11,1.2909074164588731e-14,2.3039072073753515e-07
2,39,sex_45e,416.40351263697164,0.039202544000000006,6.2353627565572815e-09,5.4739690269072892e-10,-1.2901152285619319e-13,2.3951200362463901e-07
2,40,sex_44e,422.74312263697163,-0.104066112,4.0215267149763722e-09,3.3509635111844022e-09,2.6964427526891649e-15,1.214273865746646e-08
2,41,sex_43e,433.74671063697161,-0.0224741904,3.6138058935672143e-12,1.3237199909913139e-10,2.0942764673445613e-15,3.0724516233798185e-09
2,42,sex_42e,441.95415263697163,0.110769824,3.746079547383027e-09,1.0840211324078351e-12,1.2961051067119215e-13,1.3275256411622709e-07
2,43,sex_41e,450.15579463697162,-0.49661216000000002,1.8533802221024624e-08,2.9761117151502618e-09,-2.6558841095982905e-13,3.0323209275661982e-07
2,44,sex_40e,458.35913663697164,0.24519358400000002,4.3810406661979711e-08,1.4462004044000983e-09,5.854054637138792e-13,1.544030015350997e-06
2,45,sex_39e,466.56317863697171,-0.45728368000000003,2.7047774977198025e-08,1.0777875763782042e-08,3.788249390561404e-14,3.5074025861756009e-07
2,46,sex_38e,474.99622063697171,0.205352384,1.7045327834579171e-08,8.7115473223271631e-10,-3.6712832369651549e-13,6.1511248229031388e-07
2,47,sex_37e,483.19826263697172,-0.037763935999999998,1.5097977822772289e-11,5.0910989961936785e-11,-6.2788204101654942e-16,7.7895780107387016e-10
2,48,sex_36e,491.21360463697175,0.16982945599999999,1.1100714440875467e-08,2.578026003011949e-10,-2.0904758337846236e-13,3.484608871664654e-07
2,49,sex_35e,502.18641763697173,-0.165141808,1.1643613621091085e-08,6.807078222520038e-09,5.7878793031299759e-15,1.1510949803932466e-07
2,50,sex_34e,510.10486963697173,0.17428128000000001,3.6702358206103698e-08,2.8096216807852902e-09,3.9663142538119396e-13,1.5030018358530615e-06
2,51,sex_33e,516.05336963697164,-0.49391936000000003,3.9297438826999055e-08,1.6362236086613172e-08,-2.7609391433983267e-13,6.6307947768469531e-07
2,52,sex_32e,524.4857116369717,0.30635088000000005,1.4723115402506201e-08,2.6913548296910869e-09,2.5146935512359818e-13,4.0027386406946624e-07
2,53,sex_31e,532.68725363697183,-0.50422272000000001,8.8585242478730877e-11,2.8077766834506399e-09,2.8485346544784431e-14,4.9648674076586891e-08
2,54,sex_30e,541.11599563697189,0.28501520000000002,2.6081541628450488e-08,7.1758365477795922e-17,1.579670614671972e-13,9.5967966357122073e-07
2,55,sex_29e,550.40073763697194,-0.145252624,8.5742336527448107e-09,1.2603281566041996e-09,3.4559951666548788e-14,1.5003739844507439e-07
2,56,sex_28e,558.82987963697201,0.14307091200000002,2.4974384146566835e-08,9.9334931967243209e-10,-4.7883222843046862e-13,9.3872369203488725e-07
