matrix,mode,singular_value,energy_fraction,cumulative_energy_fraction
periodic_kick_152x152,78,4.2251467888439205,2.5571126228180065e-05,0.9994710439002046
periodic_kick_152x152,79,3.956313180915149,2.2420617964313597e-05,0.9994934645181689
periodic_kick_152x152,80,3.261874504728193,1.5240553829857461e-05,0.9995087050719987
periodic_kick_152x152,81,2.947454421784617,1.24440127908488e-05,0.9995211490847896
periodic_kick_152x152,82,2.870472152061961,1.1802470633674708e-05,0.9995329515554233
periodic_kick_152x152,83,2.710021697805206,1.051990429507164e-05,0.9995434714597184
periodic_kick_152x152,84,2.692396388522594,1.0383511575203947e-05,0.9995538549712937
periodic_kick_152x152,85,2.653770900781136,1.008772206139247e-05,0.999563942693355
periodic_kick_152x152,86,2.6407514518343507,9.988983762255709e-06,0.9995739316771173
periodic_kick_152x152,87,2.64050792025789,9.987141467865006e-06,0.9995839188185851
periodic_kick_152x152,88,2.5868012664760376,9.585005854983457e-06,0.9995935038244401
periodic_kick_152x152,89,2.5861543359789887,9.580212245746928e-06,0.9996030840366859
periodic_kick_152x152,90,2.581726030569335,9.547431693208202e-06,0.9996126314683791
periodic_kick_152x152,91,2.552863223962377,9.335150988974747e-06,0.9996219666193681
periodic_kick_152x152,92,2.526191692102145,9.14110837293574e-06,0.999631107727741
periodic_kick_152x152,93,2.5130591257892196,9.046314158889242e-06,0.9996401540418999
periodic_kick_152x152,94,2.4909472078667516,8.887821001556537e-06,0.9996490418629014
periodic_kick_152x152,95,2.489868517651643,8.880125029778478e-06,0.9996579219879311
periodic_kick_152x152,96,2.4617387786725655,8.68060883685954e-06,0.999666602596768
periodic_kick_152x152,97,2.446128401040373,8.57086693990444e-06,0.9996751734637079
periodic_kick_152x152,98,2.4321123327764123,8.472927935476813e-06,0.9996836463916434
periodic_kick_152x152,99,2.4073483472962756,8.301262144463017e-06,0.9996919476537879
periodic_kick_152x152,100,2.3806255258640503,8.117988365723427e-06,0.9997000656421536
periodic_kick_152x152,101,2.3607396710312085,7.982932352654722e-06,0.9997080485745062
periodic_kick_152x152,102,2.3407012366839095,7.847986040498883e-06,0.9997158965605467
periodic_kick_152x152,103,2.3152983374701757,7.678566901704338e-06,0.9997235751274485
periodic_kick_152x152,104,2.311602648505835,7.65407334397715e-06,0.9997312292007925
periodic_kick_152x152,105,2.3025097080922117,7.593975517763314e-06,0.9997388231763102
