target,target_index,rmse_2d_um,median_2d_um,p90_2d_um,max_2d_um,bias_x_um,bias_y_um
SEX_40E,45,6.975641444735496,6.362720278998559,9.591622688844582,10.433157335969005,2.0448328240975515,-1.8563658313762423
SEX_39E,46,8.04380207307503,7.722593153041379,11.479307447608402,11.90023042311656,1.1211684670150586,-0.2611545301567563
SEX_38E,47,3.346169146924012,2.878675706403067,5.0775559677821365,5.152022645030413,-0.7176384596213448,1.7673745416615825
SEX_37E,48,4.6384412791398955,3.2076976390102985,7.244208534380055,7.982925452374135,0.09723215703028584,1.5612971742025052
SEX_36E,49,4.211930835679923,4.063694603843366,5.541376411200511,6.207578235283306,1.5946559924695178,0.29658947991612195
SEX_35E,50,1.486794327337382,1.4824885863568915,2.0191170610284934,2.173814954274697,0.5792700057192877,0.5124314287850359
SEX_34E,51,3.4210360346577735,2.8770002922024536,5.316260468054283,5.4297570644983875,0.4601660433049704,-1.3069959626047751
SEX_33E,52,4.046420704884204,2.7641595427467642,6.40214221738649,7.300194996387433,-0.4036056675117148,-0.49864856765692306
SEX_32E,53,3.183877414957628,2.776785293050578,4.500486407052787,4.710482957587563,-0.7318714157991052,0.6474545929426146
SEX_31E,54,3.0718155280780834,2.834774388714079,4.2460710854374515,4.310437950449588,0.06856112085825111,0.35504849090238433
SEX_30E,55,3.620242632439413,3.5657451889697525,5.023725930055138,5.490507425105304,-0.2935758234435413,0.8987921499573276
SEX_29E,56,3.154707962447951,2.716124576987811,4.255488181009542,6.266783071485526,-1.0458626853838293,0.17108395516284575
SEX_28E,57,12.24218634729384,10.092673869859347,19.390121696117134,20.0869956940843,1.0154966128452743,-1.2717093703743096
SEX_27E,58,4.080492982598411,2.352119388955211,5.9794512942396025,8.871095975677505,1.659394413045493,-0.34299244271539414
SEX_26E,59,4.279604330765902,3.8942713443278887,6.16752673898272,6.564370378142817,1.0655816341117825,-0.3643088453951297
SEX_25E,60,3.535714764652825,2.314442020598759,4.887309708576252,7.7007293493177515,-0.4070630314818984,-1.1412321373052294
SEX_24E,61,3.8373532178237313,1.9958257026325614,5.932223990675011,6.488619514206267,-1.451171259937638,0.6981990606942031
SEX_23E,62,4.496480587978254,3.365348003072201,6.054257524557899,9.167066601743251,-0.05070001266559493,-0.41399335959179767
SEX_22E,63,4.811009645083755,4.018111958620123,7.269049433012145,8.221595666174599,1.0623063733151268,0.9784933700312987
SEX_21E,64,6.02585625271435,3.9613563621536203,10.252300475192854,11.296663551314195,-0.8827496714605946,1.8126415022253728
SEX_20E,65,5.435501254538044,4.772336711719927,7.636973866850358,7.9136921902354755,2.1478851617053025,-0.1673798640356729
SEX_19E,66,3.7987879913404377,3.5424528755022173,4.937267618980607,5.474377694215551,1.4924433539666768,0.541340365100208
SEX_18E,67,7.823032614828266,8.164945344330318,9.922052590319717,10.67855939537007,-3.2097480873067177,-1.4191912197854706
SEX_17E,68,8.661543049525818,6.992740721480713,11.912544672370064,13.230979016363706,-1.809976312071039,-0.042857352913187416
SEX_16E,69,5.0377809855821125,3.805614691803341,7.575264422971589,9.507608464703459,1.731837069493963,-0.7874840351297422
SEX_15E,70,5.430192004613684,4.966801343650102,7.1909944732806945,7.782032485477017,-0.2966365216884291,0.9162678211047688
SEX_14E,71,3.3783666611790912,2.365742913435434,5.036241825260389,6.227953807621241,1.228966358845303,1.2302045670114203
SEX_13E,72,17.574011957715832,16.89979151205043,24.762202958677776,25.27362654066845,-3.111232699116725,-10.898262271999016
SEX_12E,73,7.673762717427433,7.734067846490203,9.483745722009262,9.539600556089445,-0.8810272805844858,0.3616062582452187
SEX_11E,74,3.53768746037556,2.993604750907475,5.192777358623406,5.239912316624721,-1.155163296648526,0.18206670169441003
SEX_10AE,75,2.3557245363604125,1.9821467245193602,3.335518015577004,3.486130684882207,-0.11717674933442868,0.7178656816751681
SEX_09AE,76,7.237362683307646,6.347898016635617,10.108118566333221,12.261761871665488,-3.427523775165156,2.2317675092730904
