rho,trial,fd_x_qhh_rmse_m,gtpsa_x_qhh_rmse_m,relative_difference_x_qhh_rmse_m,fd_x_qhv_rmse_m,gtpsa_x_qhv_rmse_m,relative_difference_x_qhv_rmse_m,fd_x_qvv_rmse_m,gtpsa_x_qvv_rmse_m,relative_difference_x_qvv_rmse_m,fd_y_qhh_rmse_m,gtpsa_y_qhh_rmse_m,relative_difference_y_qhh_rmse_m,fd_y_qhv_rmse_m,gtpsa_y_qhv_rmse_m,relative_difference_y_qhv_rmse_m,fd_y_qvv_rmse_m,gtpsa_y_qvv_rmse_m,relative_difference_y_qvv_rmse_m
0.80000000000000004,4,4.5283733360584309e-08,4.5283750490456511e-08,3.782785660799226e-07,2.6565468657503557e-09,2.656536088358677e-09,4.0569340375025927e-06,9.1260982088491702e-08,9.1260694221523019e-08,3.1543368274736908e-06,2.4305908236380424e-09,2.430587203316966e-09,1.489484134292301e-06,1.4859328793180501e-07,1.4859240609922115e-07,5.9345736905716218e-06,3.4027828863032024e-10,3.4027952554122463e-10,3.6349848037978766e-06
1.1299999999999999,4,9.0348102171881311e-08,9.0348157814474837e-08,6.1586860066742239e-07,5.3002431731752839e-09,5.3002045800393636e-09,7.2814426948132697e-06,1.8208050075817791e-07,1.8207934445541044e-07,6.3505433355068389e-06,4.849414463913976e-09,4.8494012498678635e-09,2.7248819867972274e-06,2.9646857802711986e-07,2.9646506773139909e-07,1.1840503664180988e-05,6.7890660183652008e-10,6.7891082213060862e-10,6.2162716382883418e-06
0.10000000000000001,5,9.6572810114996008e-10,9.6574824752641064e-10,2.086089879236601e-05,6.1638545827412171e-11,6.1633814533112699e-11,7.6764586701523626e-05,6.795943194145756e-09,6.7959413474464087e-09,2.7173562172962128e-07,4.0195158331499859e-11,4.0198959922481992e-11,9.4569386607595976e-05,9.6731441173979554e-09,9.6731448509954894e-09,7.5838576311233924e-08,2.9006317975437152e-11,2.9005711128833562e-11,2.0921624741219618e-05
0.14000000000000001,5,1.8928643378780198e-09,1.8928665651517647e-09,1.1766670645758425e-06,1.2080610479684952e-10,1.2080227648490088e-10,3.1690726864062263e-05,1.3320058124363028e-08,1.3320045040994959e-08,9.8223151863384966e-07,7.8790237467490618e-11,7.8789961448064703e-11,3.5032308791817467e-06,1.8959361251870105e-08,1.8959363907951161e-08,1.400933633236055e-07,5.6851192298300437e-11,5.6851193812513783e-11,2.6634679830271102e-08
0.20000000000000001,5,3.8629790097398635e-09,3.8629929901056425e-09,3.6190502584134266e-06,2.4654164693736194e-10,2.4653525813245079e-10,2.591436599997974e-05,2.7183802203437571e-08,2.7183765389785635e-08,1.3542513852790531e-06,1.6079637076523124e-10,1.6079583968992797e-10,3.3027925616287352e-06,3.8692568355261959e-08,3.8692579403981958e-08,2.8555139431885241e-07,1.1602282909603342e-10,1.1602284451533425e-10,1.3289883463719235e-07
0.28000000000000003,5,7.5714492160485079e-09,7.5714662606070588e-09,2.2511569046386003e-06,4.8321558492823618e-10,4.8320910593960353e-10,1.3408250285456314e-05,5.3280337411994003e-08,5.3280180163979837e-08,2.9513416373913336e-06,3.1516012952739525e-10,3.1515984579225881e-10,9.0028961566281694e-07,7.5837412291981513e-08,7.5837455631804644e-08,5.7148308536250734e-07,2.2740487517438419e-10,2.2740477525005513e-10,4.3941174475525033e-07
0.40000000000000002,5,1.5451952976442055e-08,1.545197196042257e-08,1.2285797931757884e-06,9.8614296291950132e-10,9.8614103252980318e-10,1.9575188887417516e-06,1.0873572669978455e-07,1.0873506155914254e-07,6.11707606064177e-06,6.4318253031104829e-10,6.4318335875971187e-10,1.2880443069544157e-06,1.5477014528500266e-07,1.5477031761592783e-07,1.113462373327194e-06,4.6409181888600101e-10,4.64091378061337e-10,9.4986609287142954e-07
0.56999999999999995,5,3.1377156736222026e-08,3.1377160562133066e-08,1.2193299111898645e-07,2.0024969341593994e-09,2.0024826341808308e-09,7.1411248839300098e-06,2.2080290354081112e-07,2.2080013437853376e-07,1.2541488188664182e-05,1.3060608514470247e-09,1.3060642078814396e-09,2.5698846922169651e-06,3.1427976566685318e-07,3.1428047620884334e-07,2.2608531039872305e-06,9.4239715060016223e-10,9.4239555457580206e-10,1.6935822250284781e-06
0.80000000000000004,5,6.1807879494191676e-08,6.1807887841690281e-08,1.350555551377857e-07,3.9446290691140743e-09,3.9445641301192127e-09,1.6462907616520144e-05,4.3495099556079571e-07,4.3494024623657016e-07,2.4714485078270382e-05,2.5727216803549827e-09,2.5727334350388475e-09,4.5689474489102696e-06,6.1907851327843139e-07,6.1908127046371132e-07,4.4536725814110767e-06,1.856371844724648e-09,1.856365512245348e-09,3.4112243834922173e-06
1.1299999999999999,5,1.233163730236594e-07,1.2331639372664734e-07,1.6788512314627618e-07,7.870300519921282e-09,7.8700217777331572e-09,3.5418223226966688e-05,8.6781658783865897e-07,8.6777375065543149e-07,4.9364460719312558e-05,5.1329553514368799e-09,5.1330051925017231e-09,9.7099190384575594e-06,1.2351528911882437e-06,1.2351638660236136e-06,8.8853274223993523e-06,3.703764494896374e-09,3.7037392540407558e-09,6.8149656028449191e-06
0.10000000000000001,6,1.3420468978009616e-09,1.3420586219177466e-09,8.7359200212834089e-06,1.5366305866503054e-11,1.536736393589856e-11,6.8851717179342804e-05,5.0275709211317706e-09,5.0275725880891598e-09,3.3156306746284325e-07,2.4066224055076405e-11,2.4066476416388715e-11,1.0486009997659365e-05,3.6704934954572656e-09,3.6704936038571896e-09,2.9532791969088056e-08,7.4188281648028505e-11,7.4188264319225178e-11,2.3357876729565318e-07
0.14000000000000001,6,2.6304336811691522e-09,2.630434898958783e-09,4.6296132675804849e-07,3.0120091652772653e-11,3.0120033314361172e-11,1.9368641087349246e-06,9.8540422778529161e-09,9.8540422726547526e-09,5.2751584562886567e-10,4.7170255349154192e-11,4.7170293776121879e-11,8.1464338274699087e-07,7.1941675107091172e-09,7.1941674635600903e-09,6.5537850137383438e-09,1.4540903570224194e-10,1.4540899806568137e-10,2.5883240430966273e-07
0.20000000000000001,6,5.3682346035346205e-09,5.3682344876709863e-09,2.1583191739621699e-08,6.1468913104864033e-11,6.1469455743594242e-11,8.8277783436367014e-06,2.0110292938472963e-08,2.0110290352356639e-08,1.2859666758575534e-07,9.626594032960997e-11,9.6265905665554861e-11,3.6008652149279956e-07,1.4681974304460186e-08,1.4681974415428759e-08,7.5581504897620424e-09,2.9675285348339256e-10,2.9675305727690071e-10,6.8674442656881453e-07
0.28000000000000003,6,1.0521740438271895e-08,1.0521739595835132e-08,8.0066300365565788e-08,1.2048123773348635e-10,1.2048013325744469e-10,9.1672876830077772e-06,3.9416172506325778e-08,3.9416169090619011e-08,8.6657502409512082e-08,1.88681166350153e-10,1.8868117510448752e-10,4.6397498384452011e-08,2.8776670222295966e-08,2.8776669854240361e-08,1.2790069417873718e-08,5.8163550210226907e-10,5.8163599226272547e-10,8.427271745966176e-07
0.40000000000000002,6,2.1472936455162497e-08,2.1472937950683945e-08,6.9646801532585552e-08,2.4588000244766681e-10,2.4587782297437697e-10,8.8640498906189122e-06,8.0441174770111908e-08,8.0441161409426558e-08,1.6609264605871449e-07,3.8506360563603855e-10,3.8506362266221944e-10,4.4216539522507454e-08,5.8727894602177475e-08,5.8727897661715034e-08,5.2096834409463588e-08,1.1870096900587886e-09,1.1870122291076028e-09,2.1390249838540221e-06
