lambda2,rho,trial,active_rms_rad,max_closure_norm,y_even_rmse_m,y_odd_nl_rmse_m,y_odd_over_rho3_rmse_m
0,2.2599999999999998,13,1.13e-05,5.7374567397836518e-14,4.6139612355497131e-09,1.5919277079690779e-08,1.3791071954279121e-09
0,0.40000000000000002,14,2.0000000000000003e-06,2.1054064941126991e-14,1.7203482702527644e-10,3.5977323109712106e-11,5.6214567358925157e-10
0,0.56999999999999995,14,2.8499999999999998e-06,7.1539128574568818e-14,3.4933828941401718e-10,1.0410527285936242e-10,5.6214475093206789e-10
0,0.80000000000000004,14,4.0000000000000007e-06,2.6487009730800643e-14,6.8814038453742904e-10,2.8781882981887071e-10,5.6214615198998178e-10
0,1.1299999999999999,14,5.6500000000000001e-06,4.403265656238959e-14,1.3729525068443309e-09,8.1112012792810897e-10,5.6214693628728128e-10
0,1.6000000000000001,14,8.0000000000000013e-06,4.0768405738837136e-14,2.7525927166609052e-09,2.3025635926214582e-09,5.6214931460484808e-10
0,2.2599999999999998,14,1.13e-05,6.5327568519658796e-14,5.4919370371684752e-09,6.4890433113475639e-09,5.621540649945532e-10
0,0.40000000000000002,15,2.0000000000000003e-06,4.7569030804456689e-14,2.5960600444224337e-10,3.7822035567202706e-10,5.9096930573754213e-09
0,0.56999999999999995,15,2.8499999999999998e-06,4.6443729899281672e-14,5.2716549806160322e-10,1.0944461222949325e-09,5.9097596685346244e-09
0,0.80000000000000004,15,4.0000000000000007e-06,2.0528876800916233e-14,1.0384444321131262e-09,3.0258342039876133e-09,5.9098324296633056e-09
0,1.1299999999999999,15,5.6500000000000001e-06,3.2779464272089166e-14,2.0719157889297504e-09,8.527538100439038e-09,5.9100116643385084e-09
0,1.6000000000000001,15,8.0000000000000013e-06,2.3613900637603152e-14,4.1541188394986784e-09,2.4208894564040912e-08,5.910374649424049e-09
0,2.2599999999999998,15,1.13e-05,7.2076010018207821e-15,8.2890245826864565e-09,6.8232829401843258e-08,5.9110966862017251e-09
0,0.40000000000000002,16,2.0000000000000003e-06,3.2730633125248805e-14,1.8870724824749335e-10,2.0175060776127988e-11,3.1523532462699975e-10
0,0.56999999999999995,16,2.8499999999999998e-06,8.5125592841840233e-14,3.8319396741791793e-10,5.8379221228378369e-11,3.1523449173769192e-10
0,0.80000000000000004,16,4.0000000000000007e-06,9.2928176748379355e-14,7.5482995375185319e-10,1.6139992490529998e-10,3.1523422833066394e-10
0,1.1299999999999999,16,5.6500000000000001e-06,4.3644029429132126e-14,1.5060073620757354e-09,4.5485104848966582e-10,3.1523459296794294e-10
0,1.6000000000000001,16,8.0000000000000013e-06,3.7104949026215943e-14,3.0193424139114209e-09,1.2912045583013134e-09,3.1523548786653153e-10
0,2.2599999999999998,16,1.13e-05,5.0593536692525946e-14,6.0241225242360057e-09,3.6388430010585273e-09,3.1523759154833374e-10
0,0.40000000000000002,17,2.0000000000000003e-06,1.5420968919282709e-14,3.7295742370716843e-10,8.7569405153043835e-10,1.3682719555163096e-08
0,0.56999999999999995,17,2.8499999999999998e-06,8.0547996185604622e-14,7.5734290736943571e-10,2.5339777934451219e-09,1.3682902666111151e-08
0,0.80000000000000004,17,4.0000000000000007e-06,1.7321619470941921e-14,1.4918717811069327e-09,7.0058300410661926e-09,1.3683261798957403e-08
0,1.1299999999999999,17,5.6500000000000001e-06,3.3618965700520951e-14,2.97663925914347e-09,1.9744580557628591e-08,1.3683984759569531e-08
0,1.6000000000000001,17,8.0000000000000013e-06,8.0904692426618946e-14,5.9682252915622374e-09,5.6055595323815252e-08,1.368544807710333e-08
0,2.2599999999999998,17,1.13e-05,9.4304847827599294e-15,1.1909507914167375e-08,1.5800710738502503e-07,1.3688356426777613e-08
0,0.40000000000000002,18,2.0000000000000003e-06,8.8628681059332994e-14,3.8946840363276958e-11,3.2822151763456619e-11,5.1284612130400952e-10
0,0.56999999999999995,18,2.8499999999999998e-06,3.2906343779574811e-14,7.9086130514995331e-11,9.4976104528076179e-11,5.128493222102142e-10
0,0.80000000000000004,18,4.0000000000000007e-06,4.5999903478153161e-14,1.5578705736121658e-10,2.6257952082231924e-10,5.1285062660609217e-10
0,1.1299999999999999,18,5.6500000000000001e-06,2.9718164479011255e-14,3.1082137174031353e-10,7.3999887170658813e-10,5.1285633812156264e-10
0,1.6000000000000001,18,8.0000000000000013e-06,1.6144521618586706e-14,6.2315842690817639e-10,2.1007017662673622e-09,5.1286664215511758e-10
0,2.2599999999999998,18,1.13e-05,9.8786002711308332e-14,1.2433323312169764e-09,5.9203607170447714e-09,5.1288836946129682e-10
0,0.40000000000000002,19,2.0000000000000003e-06,2.0299989041076172e-14,9.1981916146659106e-11,1.8091711150876255e-10,2.8268298673244143e-09
0,0.56999999999999995,19,2.8499999999999998e-06,8.5771103382822491e-14,1.8678053498459397e-10,5.2351261789934927e-10,2.8268488436352853e-09
0,0.80000000000000004,19,4.0000000000000007e-06,8.1963280761139564e-14,3.6792806998455186e-10,1.4473625389138225e-09,2.8268799588160588e-09
0,1.1299999999999999,19,5.6500000000000001e-06,5.8968271218733536e-14,7.3407657995112684e-10,4.0789788706290056e-09,2.8269369682167244e-09
0,1.6000000000000001,19,8.0000000000000013e-06,8.1107444929673675e-14,1.4717417019250243e-09,1.1579596682040771e-08,2.8270499712013596e-09
0,2.2599999999999998,19,1.13e-05,2.4116844146788636e-14,2.9364354797108929e-09,3.2635789857236125e-08,2.8272799320772843e-09
0,0.40000000000000002,20,2.0000000000000003e-06,1.6117782724415942e-14,2.7815939112960888e-10,5.4281046461793201e-10,8.4814135096551857e-09
0,0.56999999999999995,20,2.8499999999999998e-06,9.2036553594253843e-14,5.6484205643010423e-10,1.5707172825214432e-09,8.4815154056656748e-09
0,0.80000000000000004,20,4.0000000000000007e-06,9.7826645611592162e-14,1.1126596896314569e-09,4.3426362127350736e-09,8.4817113529981882e-09
0,1.1299999999999999,20,5.6500000000000001e-06,1.9201624670569569e-14,2.2199913395001009e-09,1.223882995080335e-08,8.4821230834933849e-09
0,1.6000000000000001,20,8.0000000000000013e-06,7.2490777440860617e-14,4.4510108060052491e-09,3.4746179666118363e-08,8.482954020048427e-09
0,2.2599999999999998,20,1.13e-05,1.3021888321048108e-14,8.8814523536885933e-09,9.7939298571461018e-08,8.4846058460393439e-09
0,0.40000000000000002,21,2.0000000000000003e-06,5.8165543591594442e-14,2.3114547330483667e-10,4.2350534114863498e-10,6.6172709554474204e-09
0,0.56999999999999995,21,2.8499999999999998e-06,8.3788243245320958e-14,4.6937419167960104e-10,1.2254815947227834e-09,6.6173213605416167e-09
0,0.80000000000000004,21,4.0000000000000007e-06,5.9112710296305917e-14,9.246003680424965e-10,3.3881190377285922e-09,6.6174199955636547e-09
0,1.1299999999999999,21,5.6500000000000001e-06,9.9883289381573781e-14,1.8447742459804948e-09,9.5485644533633736e-09,6.6176341439225238e-09
0,1.6000000000000001,21,8.0000000000000013e-06,6.718342615958372e-14,3.6987188316243592e-09,2.7107606603992653e-08,6.6180680185528921e-09
0,2.2599999999999998,21,1.13e-05,2.3905137842920758e-14,7.3803659170547525e-09,7.6403476445826348e-08,6.6189302186700071e-09
