lambda2,trial,detector,c3_y_m,c5_y_m
0,55,DET_45E,-1.4599392897303401e-09,-2.9846233682964902e-14
0,55,DET_44E,-7.7546767774367845e-09,-2.1204026736631861e-13
0,55,DET_43E,-1.230136154425319e-08,-3.5378526328663174e-13
0,55,DET_42E,-9.23436826602554e-09,-2.6916959976662129e-13
0,55,DET_41E,-1.416462292842586e-08,-4.2073227559277797e-13
0,55,DET_40E,-5.179347519729598e-09,-1.5540688502159272e-13
0,55,DET_39E,6.4449840590374965e-10,1.4084361889522083e-14
0,55,DET_38E,5.2044537340277012e-09,1.4944493699280734e-13
0,55,DET_37E,1.5488213587039987e-08,4.5216122655378317e-13
0,55,DET_36E,1.0372885517222077e-08,2.9994080890374252e-13
0,55,DET_35E,1.4088209913105323e-08,4.0391556192016232e-13
0,55,DET_33E,6.5477319625089659e-09,1.7829204425432144e-13
0,55,DET_32E,5.2194268916575904e-10,4.8249341152755721e-15
0,55,DET_31E,-5.8032659261907065e-09,-1.8531264659841662e-13
0,55,DET_30E,-6.3628949612016551e-09,-1.9141789953029594e-13
0,55,DET_29E,-1.4377159208572883e-08,-4.2032858365316923e-13
0,55,DET_28E,-6.697347758505509e-09,-1.8834581072629816e-13
0,55,DET_27E,-4.7779435082763151e-09,-1.177571069667887e-13
0,55,DET_26E,3.0568934336023877e-09,9.8018553689750248e-14
0,55,DET_25E,1.5380151708697056e-08,4.5197340283958935e-13
0,55,DET_24E,5.0746412881431465e-09,1.3669193860190952e-13
0,55,DET_23E,-4.6374035131873426e-09,-1.8167467251559188e-13
0,55,DET_22E,-6.0192232300306366e-09,-1.9629697264081567e-13
0,55,DET_21E,-1.3950325170138822e-08,-4.1927724344587297e-13
0,55,DET_20E,-4.4712253233522201e-09,-1.1692653754324117e-13
0,55,DET_19E,2.9184000221320914e-09,1.4160530742951553e-13
0,55,DET_18E,4.620210131326957e-09,1.5987484542548699e-13
0,55,DET_17E,1.1113539545896928e-08,3.2441916612028325e-13
0,55,DET_16E,4.0556156697237395e-09,9.3779853254965436e-14
0,55,DET_15E,-1.2422325018857313e-10,-8.4367829037647677e-14
0,55,DET_14E,-4.2036308433634594e-09,-1.7015570990613351e-13
0,55,DET_13E,-1.3138955675102899e-08,-4.551472541667978e-13
0,55,DET_12E,-9.0851174036003079e-09,-2.9080143918213322e-13
0,55,DET_11E,-1.4541179460031983e-08,-4.2882072689293381e-13
0,55,DET_10E,-7.3012440854487461e-09,-1.9240721760441238e-13
0,55,DET_09E,-6.4740579122929288e-09,-1.2432700813260941e-13
0,55,DET_08E,-3.8903832149803846e-10,4.861400812958209e-14
0,55,DET_07E,4.9055604144090097e-09,2.0458805013744529e-13
0,55,DET_06E,3.4890375758948124e-09,6.1464294723282956e-14
0,55,DET_05E,5.4687736723483057e-09,-2.7950111070860849e-15
0,55,DET_04E,1.6739043270817546e-09,-7.5234312911567769e-14
0,55,DET_03E,1.2039638532698767e-10,-2.1289458784795699e-13
0,55,DET_02E,-2.767771666809837e-09,-3.3114500668201376e-13
0,55,DET_01E,-4.6325446664253193e-09,-4.2493094731607612e-13
0,55,DET_00E,-2.7957880600848617e-09,-2.4583012464671309e-13
0,56,DET_00W,-2.1334794001734025e-09,-1.1257948753427928e-13
0,56,DET_01W,-3.6427117323577805e-09,-1.9541292347916543e-13
0,56,DET_02W,-2.6692549800519588e-09,-1.547348261270567e-13
0,56,DET_03W,-1.3265805692706025e-09,-1.0463961779129717e-13
0,56,DET_04W,6.6140909041441508e-11,-3.446746225007583e-14
0,56,DET_05W,1.1888434849496366e-09,-1.0762768309400544e-14
0,56,DET_06W,1.1937192806583692e-09,2.9639450351169142e-14
0,56,DET_07W,2.2401965276687087e-09,8.629404385683406e-14
0,56,DET_08W,-2.3056346923116101e-10,5.4797244019956461e-16
0,56,DET_09W,-3.0944062641041205e-09,-1.0223469624599311e-13
0,56,DET_10W,-3.441326810928398e-09,-1.2161234009944308e-13
0,56,DET_11W,-6.9832881604669776e-09,-2.5339229897422587e-13
0,56,DET_12W,-4.3109180898455176e-09,-1.6042255459237105e-13
0,56,DET_13W,-6.1862294081269605e-09,-2.3565690913524431e-13
0,56,DET_14W,-1.9241304900751063e-09,-7.8017234771156555e-14
0,56,DET_15W,1.0945336701511833e-10,-1.0946633987156371e-14
0,56,DET_16W,1.982588616458989e-09,6.6881803758456109e-14
0,56,DET_17W,5.3048281461819758e-09,1.9096897285621584e-13
0,56,DET_18W,2.0904601033001523e-09,8.0877313157833248e-14
0,56,DET_19W,1.1345176037866463e-09,5.3352489753070016e-14
0,56,DET_20W,-2.1579479695670469e-09,-7.5093023287559708e-14
0,56,DET_21W,-6.5256786171484617e-09,-2.3856923840357994e-13
0,56,DET_22W,-2.6763840596223545e-09,-1.0222895235560977e-13
0,56,DET_23W,-1.8019284476546616e-09,-7.7755070997162359e-14
0,56,DET_24W,2.4456444802604642e-09,8.5908617434790091e-14
0,56,DET_25W,7.1488604864359405e-09,2.6049261440110609e-13
0,56,DET_26W,1.2513756776471998e-09,4.9007990829060632e-14
0,56,DET_27W,-2.6663971787254785e-09,-8.7969444694856581e-14
0,56,DET_28W,-3.1292969155478706e-09,-1.1255634782301594e-13
0,56,DET_29W,-6.3532574944930096e-09,-2.3549953374986708e-13
0,56,DET_30W,-2.5700391158348004e-09,-9.9139810032196636e-14
0,56,DET_31W,-1.9228392475596147e-09,-8.1899829545481926e-14
0,56,DET_32W,6.7685574360622646e-10,1.801217984503575e-14
0,56,DET_33W,3.5024967425372105e-09,1.2057099824995397e-13
0,56,DET_34W,3.383860596111824e-09,1.1862856389048548e-13
0,56,DET_35W,6.518769695672716e-09,2.3753874337395785e-13
0,56,DET_36W,4.4679612209270176e-09,1.6718616201166405e-13
0,56,DET_37W,6.4120717169066224e-09,2.439706235902082e-13
0,56,DET_38W,1.9024598739623627e-09,7.5355605830123161e-14
0,56,DET_39W,-4.1475076458969881e-10,-7.5214599319646894e-15
0,56,DET_40W,-2.6432671419226939e-09,-9.4675429858610096e-14
0,56,DET_41W,-6.6027103994387745e-09,-2.4266892753629298e-13
0,56,DET_42W,-3.9969789895901074e-09,-1.4986183082662169e-13
0,56,DET_43W,-4.9495591203024456e-09,-1.8987889071834866e-13
0,56,DET_44W,-2.5928057943330147e-09,-1.0493211026444603e-13
0,56,DET_45W,-1.3484776544266819e-10,-9.0762645329677685e-15
0,56,DET_46W,3.8703065313589375e-09,1.4086902381047389e-13
0,56,DET_47W,7.2473314478319961e-09,2.7308393965868284e-13
0,56,DET_48W,1.6856449188171044e-09,6.5036769234310938e-14
0,56,DET_49W,-1.1578713463479811e-10,-4.6842236623364316e-16
0,56,DET_49E,-1.7686729723024414e-09,-6.4017135585834431e-14
0,56,DET_48E,-2.0748762885218696e-09,-7.9405706911946218e-14
0,56,DET_47E,-5.5739244400201766e-09,-2.1988889549756278e-13
0,56,DET_46E,-9.840327966524309e-10,-4.186895375286767e-14
0,56,DET_45E,1.8608081182702218e-09,7.2138067011884306e-14
0,56,DET_44E,5.1441044601640238e-09,2.0091306958168184e-13
0,56,DET_43E,5.8107764594222619e-09,2.3016491167756084e-13
0,56,DET_42E,3.4641570322310024e-09,1.3894653735013306e-13
0,56,DET_41E,3.8988549675977637e-09,1.6034089205742876e-13
0,56,DET_40E,6.777555452802446e-10,2.9237284423662312e-14
0,56,DET_39E,-2.5387325920543714e-09,-9.9202614698063475e-14
0,56,DET_38E,-3.078844980539598e-09,-1.2406308227524936e-13
0,56,DET_37E,-6.7429569710151479e-09,-2.7463822933978851e-13
0,56,DET_36E,-3.7777294138823519e-09,-1.554415628454008e-13
0,56,DET_35E,-3.3885770447023199e-09,-1.4419762107039898e-13
0,56,DET_33E,4.6110348570873115e-10,1.3160909615008093e-14
0,56,DET_32E,1.8081762313750439e-09,7.1799317561774619e-14
0,56,DET_31E,4.7892375377385781e-09,1.954212052573606e-13
