index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,length_relative,length_relative_percent,local_R_max,bmad_local_R_max_scale,local_R_max_relative,local_R_max_relative_percent,local_R_fro,bmad_local_R_fro_scale,local_R_fro_relative,local_R_fro_relative_percent,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_orbit_out_max_scale,orbit_out_max_relative,orbit_out_max_relative_percent,bmad_affine_residual,cumulative_R_max,bmad_cumulative_R_max_scale,cumulative_R_max_relative,cumulative_R_max_relative_percent
"28","Q03W","Quadrupole","Quadrupole","0.5999999999999996","0.6","3.3306690738754696e-16","5.551115123125786e-16","5.551115123125786e-14","6.488566217655034e-8","1.0233004","6.340822516687215e-8","6.340822516687215e-6","1.0977551283448943e-7","2.5951715266577353","4.2299906463549605e-8","4.2299906463549605e-6","1","2","2.3483289965375853e-11","1.7733080628912212e-11","0.00799341179","2.218462040338874e-9","2.2184620403388742e-7","2.01318795991091e-10","0.0010608793138007222","13.703323730543001","7.741766411284253e-5","0.007741766411284253"
"29","D014","Drift","Drift","0.23537999999999926","0.23538","7.494005416219807e-16","3.1837902184636886e-15","3.1837902184636886e-13","4.799040185892256e-8","1.0","4.799040185892256e-8","4.799040185892256e-6","7.991993147484757e-8","2.4720047510336625","3.233000723054001e-8","3.2330007230540013e-6","5","4","1.2434386435134498e-17","4.739989108680509e-12","0.00800634155","5.92029340626932e-10","5.92029340626932e-8","6.323358015588448e-12","0.0011034683879254104","13.694806953353899","8.057568037898977e-5","0.008057568037898977"
"30","B04W","SBend","SBend","3.237903000000001","3.237903","8.881784197001252e-16","2.743066792612765e-16","2.743066792612765e-14","5.600000000050009e-6","3.2387296","1.7290730291438992e-6","0.00017290730291438992","6.994656329581454e-6","5.195863704701554","1.3461970380886312e-6","0.00013461970380886312","3","3","1.22674327121799e-10","1.2412260185529103e-10","0.0081420795","1.5244582401251552e-8","1.5244582401251552e-6","3.7071906829055923e-10","0.001682842441423027","13.57754296625658","0.0001239430761224833","0.012394307612248329"
"31","D015","Drift","Drift","0.22719999999999985","0.2272","1.6653345369377348e-16","7.329817504127359e-16","7.329817504127359e-14","4.7272392166858894e-8","1.0","4.7272392166858894e-8","4.727239216685889e-6","9.064758216804302e-8","2.470473574051052","3.669239093272317e-8","3.6692390932723166e-6","1","6","1.8082630532672814e-17","5.532681951470053e-12","0.00814862677","6.789710840407104e-10","6.789710840407104e-8","6.941236214280666e-12","0.0017229348312466364","13.569319653782289","0.0001269728236349999","0.01269728236349999"
"32","SK_Q04W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","5.9464753779865426e-15","5.946475377986543e-13","2.32660997921827e-8","1.0","2.32660997921827e-8","2.32660997921827e-6","3.9261844203626285e-8","2.4616357529192006","1.5949493809986516e-8","1.5949493809986516e-6","5","2","4.139050213680662e-15","5.290924047219843e-12","0.008153603499999999","6.489062225333675e-10","6.489062225333676e-8","5.291000093837848e-12","0.0017534099884763954","13.563068922865432","0.00012927826279201398","0.012927826279201398"
"33","D016","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","7.107701822184096e-16","7.107701822184096e-14","3.44773084172163e-8","1.0","3.44773084172163e-8","3.44773084172163e-6","4.899101973855789e-8","2.4890133627930124","1.968290748089166e-8","1.968290748089166e-6","3","6","4.375821729077483e-16","2.6918609248376916e-12","0.008162606000000001","3.29779597941845e-10","3.29779597941845e-8","2.6922781461624547e-12","0.0018085370244840249","13.551761868213282","0.0001334540144721765","0.01334540144721765"
"34","Q04W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","2.4054832200211667e-15","2.405483220021167e-13","1.2188934058743328e-6","1.0765838","1.1321862783689785e-6","0.00011321862783689785","1.3337842220822067e-6","2.6226829855194587","5.085571643413976e-7","5.085571643413976e-5","1","2","1.28550747303946e-9","6.44748226162617e-10","0.00756990218","8.517259679604168e-8","8.517259679604168e-6","3.2225710598285384e-10","0.0017775978919938318","14.567339199232354","0.00012202625803396579","0.012202625803396578"
"35","D017","Drift","Drift","0.1623999999999981","0.1624","1.887379141862766e-15","1.1621792745460518e-14","1.162179274546052e-12","4.878192803415782e-8","1.0","4.878192803415782e-8","4.878192803415782e-6","9.78617332298275e-8","2.4602333525433457","3.977741913329473e-8","3.977741913329473e-6","3","6","3.7950554388378467e-13","4.088013507217011e-12","0.00724842562","5.63986404983902e-10","5.6398640498390195e-8","9.001759060378589e-11","0.0017318501053109614","15.129895887940528","0.00011446543440469766","0.011446543440469767"
"36","DET_04W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.00724842562","0.0","0.0","0.0","0.0017318501053109614","15.129895887940528","0.00011446543440469766","0.011446543440469767"
"37","D018","Drift","Drift","0.33275000000000077","0.33275","7.771561172376096e-16","2.335555573967266e-15","2.335555573967266e-13","4.804435693728237e-8","1.0","4.804435693728237e-8","4.804435693728237e-6","7.839027705766894e-8","2.4942830211565767","3.1427980061909766e-8","3.1427980061909767e-6","3","4","3.582539747046354e-13","5.6078417971295366e-12","0.00658973519","8.509965325525526e-10","8.509965325525526e-8","8.450568023121718e-11","0.0016381555613067533","16.282548512087942","0.00010060805653922106","0.010060805653922105"
"38","B05W","SBend","SBend","3.2379029999999993","3.237903","8.881784197001252e-16","2.7430667926127665e-16","2.7430667926127666e-14","0.00020359999999997047","3.2382547","6.287337435192188e-5","0.0062873374351921875","0.00028718315004671376","5.195288574706346","5.52776127672458e-5","0.00552776127672458","4","4","4.042309182924743e-9","4.050694442745567e-9","0.0019906419","2.0348684726999704e-6","0.00020348684726999704","3.2022653699868365e-10","0.001882160222100554","27.503201065034986","6.84342239890526e-5","0.0068434223989052596"
