girder,parameter,step,observation_index,dx,dpx,dy,dpy,dz,dpz
GIRDER_4CD,z_offset,1e-05,53,0.012979840031060256,-0.0017480730839314117,0.0,0.0,-0.00018119203286163488,0.0
GIRDER_4CD,z_offset,1e-05,1177,0.01881583576967211,0.0009651301964877045,7.705622175063105e-19,6.592148714144623e-19,-0.00017799434791591096,-1.8829664620633995e-06
GIRDER_4CD,x_pitch,1e-06,33,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4CD,x_pitch,1e-06,34,-0.19267249423469437,-1.0175142288163326,0.0,0.0,-7.444625512977249e-15,0.0
GIRDER_4CD,x_pitch,1e-06,36,-0.3778600838793637,-1.0175142288163326,0.0,0.0,1.0722245972157366e-13,0.0
GIRDER_4CD,x_pitch,1e-06,37,-0.3778600838793637,-1.0175142288163326,0.0,0.0,1.0722245972157366e-13,0.0
GIRDER_4CD,x_pitch,1e-06,38,-0.5732228158122001,-1.0175142288163326,0.0,0.0,2.1945432523276845e-13,0.0
GIRDER_4CD,x_pitch,1e-06,40,-0.8459166291351187,-1.0175142288163326,0.0,0.0,3.3062739955989537e-13,0.0
GIRDER_4CD,x_pitch,1e-06,42,-6.347025496581156,-4.335663822191618,0.0,0.0,0.23090848873407432,0.0
GIRDER_4CD,x_pitch,1e-06,44,-7.468878510583779,-4.335663822191616,0.0,0.0,0.2309084887344197,0.0
GIRDER_4CD,x_pitch,1e-06,46,-8.29668249816488,1.8836903062827008,0.0,0.0,0.230908488735458,0.0
GIRDER_4CD,x_pitch,1e-06,48,-8.251473930814015,1.8836903062827008,0.0,0.0,0.23090848873546024,0.0
GIRDER_4CD,x_pitch,1e-06,50,-8.10077870631113,1.8836903062827008,0.0,0.0,0.23090848873546777,0.0
GIRDER_4CD,x_pitch,1e-06,52,-7.91033761634561,1.8836903062827008,0.0,0.0,0.2309084887353492,0.0
GIRDER_4CD,x_pitch,1e-06,53,-7.91033761634561,1.8836903062827008,0.0,0.0,0.2309084887353492,0.0
GIRDER_4CD,x_pitch,1e-06,1177,-20.75120324812273,-0.49986938610520976,3.742163687545223e-15,-5.722536418889044e-16,0.22653613526299987,0.00239827955098423
GIRDER_4CD,y_pitch,1e-06,33,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,34,0.0,0.0,0.19892484363272828,1.0853244009101293,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,36,0.0,0.0,0.3964538845984887,1.0853244009101293,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,37,0.0,0.0,0.3964538845984887,1.0853244009101293,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,38,0.0,0.0,0.6048361695733551,1.0853244009101293,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,40,0.0,0.0,0.8957031090174411,1.0853244009101293,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,42,0.0,0.0,1.8024671930275158,-0.6401886529468941,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,44,0.0,0.0,1.636818379077473,-0.6401886529468943,0.0,0.0
