trial,q_hh_norm_m,q_hv_norm_m,q_vv_norm_m,q_total_norm_m,hh_relative_closure,hv_relative_closure,vv_relative_closure,total_relative_closure,total_signed_projection
51,2.1004989811948325e-06,3.4821783064443146e-08,4.8115331956277571e-06,5.1006165697166519e-06,0.32357974477513213,0.26940929727315494,0.14241372569803251,0.26688206517231583,0.92445787177286431
52,1.8519471878220588e-06,2.4357659421464158e-08,1.0922573465146379e-06,2.1333198277548643e-06,0.61536750805738494,0.52762727726005154,0.14267775001786867,0.57665141991060143,0.91676204580011211
53,3.0793559394812168e-06,1.7331205290241485e-08,4.5589971906324584e-06,6.348537503426418e-06,0.35304271274471849,0.14194148902290421,0.086488123102114137,0.23300315995129176,0.93970579271250321
54,7.2509286581919702e-07,6.4549383964457671e-08,5.1208525929055684e-06,4.9916008148796145e-06,0.99412502958868498,0.68977529202109045,0.36343746776930991,0.45949771645549409,0.79677676304676459
55,7.1294332887922595e-07,3.582560868396818e-08,1.904162200079515e-06,1.5514203850091272e-06,0.24354918428513428,0.35724944391203844,0.3178148558088324,0.48405245208437719,0.78901156866536371
56,2.1602682518216207e-06,7.1749101245782411e-08,5.5246737813922833e-06,4.8124621642515964e-06,0.30185613609441841,0.35610056762869574,0.10596314777323773,0.24905532502380037,0.95826364422145716
57,1.6648724365068553e-06,9.8956608916932619e-08,1.2459140274424835e-05,1.225950408442922e-05,0.43672027842724986,0.16239959555993477,0.10389680084439891,0.16209460002439946,0.96477158431548737
58,3.111678630784649e-06,6.493460109450655e-08,3.0406544959208381e-06,4.5555181065986457e-06,0.20529090661654115,0.30095731883207311,0.48348368506713085,0.45366411064831602,0.81577383024814698
59,1.5155836319541205e-06,2.5696353035184552e-08,3.0084809926856458e-06,3.5671672184561859e-06,0.16551042003163541,0.46549142338520172,0.26256091672678572,0.27543560075764201,0.94575616360960002
60,7.7686395014600393e-07,5.1043975289075675e-08,2.154680467882349e-06,2.3998896668634574e-06,0.7128632402228432,0.58952260839534643,0.31564296010647558,0.48172267583810868,0.91212489392683538
61,1.8622214319888947e-06,4.5247179649804081e-08,8.5597460409909969e-06,9.2589098943982301e-06,0.30191911987850928,0.4483209542252547,0.18124145487756343,0.22610210168168515,0.94089667599104254
62,2.1890558636160047e-06,6.5143626152123383e-08,6.5665118017171435e-06,6.8228548117096171e-06,0.34811278430296982,0.2048184897272296,0.122464746062121,0.223732193533319,0.94234304283224046
63,1.9611647081023833e-06,1.269754628823175e-07,7.9729889792485005e-06,7.5453134788725206e-06,0.70131509512133894,0.14049980447830487,0.10777281155599083,0.2791547643216718,1.0262545845198576
64,1.83150809539738e-06,6.3911728555847865e-08,7.9772331494279934e-06,7.8857557621555011e-06,0.44684364914987668,0.31933383439528079,0.1226724184152317,0.22326552690911983,0.94434299510762798
65,1.5504871421496336e-06,2.212738719857639e-08,2.6593067073226869e-06,3.5497484639146865e-06,0.55305461411733314,0.29751966069668373,0.15793878941879305,0.35963391723880633,0.83680451962859437
66,1.7246600426664007e-06,6.6888833893714257e-08,7.0812460753407669e-06,6.0298955973505315e-06,0.31250614084024564,0.37412638477062798,0.20000698183549562,0.32598981423760837,0.96265426822183986
67,1.4641328407729993e-06,4.0473758717454857e-08,5.6364526084332686e-06,6.2520716658337547e-06,0.23918624558510843,0.32980330639948263,0.28828293469174632,0.31338034222512873,0.95855616364532714
68,2.8779465571946031e-06,3.6609753239737805e-08,5.6427056994054906e-06,5.6076665982624725e-06,0.31935733544413009,0.16430788031973403,0.14337655575882391,0.30911625477210464,0.90092471090885973
69,1.1483883486750914e-06,6.5132118200595542e-08,6.8181635485311944e-06,7.0943114117722611e-06,0.48519209608072389,0.30921811277066102,0.4273968160241513,0.48108292357834181,0.77215630273898428
70,1.248955014046787e-06,4.1270972451375623e-08,9.8826853555991951e-06,1.0142703734710321e-05,0.65911830768354218,0.28214490112703344,0.098566833797540762,0.16527502498895086,0.9300222985503126
71,1.8999493170745921e-06,2.8665318732918952e-08,1.8083741582253347e-06,2.4454407926622558e-06,0.50494209802849888,0.35003948467759577,0.14849507309540083,0.4971025824663769,0.8422394067221739
72,1.1958551447679482e-06,1.2736676026518321e-07,1.1551849390441007e-05,1.1882766371732031e-05,0.38359319090466848,0.18379689012338168,0.1046396854571999,0.13802074638067613,0.96943998205470183
73,2.3679584533592511e-07,3.0563513730077836e-08,6.9313346032382427e-06,6.9576921273360944e-06,0.77362136287699734,0.66066268829160635,0.27494682215177585,0.29046277898653222,0.9320152200372871
74,1.7272617468801806e-06,4.0381427203542226e-08,8.8174789020406319e-06,8.1651898530627945e-06,0.48960170772799255,0.33586172536936193,0.11259553040749587,0.21332192032306196,1.0058677230562376
75,8.6482519676221741e-07,1.8037392246340985e-08,6.7165012884855477e-06,6.9977983926881705e-06,0.36663432084020409,0.64500922390336823,0.18118310081715619,0.22026625447875475,0.9646335081351014
76,1.2675620692923717e-06,3.1831950730131535e-08,7.8183365315865083e-06,8.09910514346842e-06,0.25845838200682247,0.71796337350475503,0.30844177861087718,0.33250573160969399,0.92627009532977223
77,7.265616985335355e-07,6.0579733432119299e-08,3.2043189833029467e-06,3.5619384067050934e-06,0.27894810418674498,0.10850688543939682,0.54051380771863944,0.54024592735792043,0.75727687953349521
78,7.8105564468140588e-07,3.0023280717919153e-08,1.758347523094922e-06,2.1547418485513851e-06,0.42066910750332981,0.31849074639713215,0.19146553442679459,0.31224605719161791,0.87272730128226994
79,1.4168329096623107e-06,3.3909017240931995e-08,3.3576900837827933e-06,3.5124219231965375e-06,0.71607834660761471,0.88111536154458681,0.39053155941259654,0.59450409375492941,0.90926237710094604
80,1.8011894553556052e-06,6.8869128351258641e-08,4.060293879537568e-06,3.9143965391138366e-06,0.67192950071455593,0.29796493740165514,0.17855336460937846,0.47738634136896291,0.89756384142291579
81,7.8993368016198662e-07,4.6431795940007452e-08,2.1633705706310426e-06,2.4146701963810562e-06,0.40566874290795263,0.31160354762666931,0.10089371497087354,0.22824142624145391,0.94185345629430428
82,1.8857056258678276e-06,4.1061715352875301e-08,2.4426929229114319e-06,3.0244247309828567e-06,0.64682209970567783,0.20872907556198433,0.13617755667396805,0.48969816659732102,0.69165564089984277
83,2.8348680479514077e-06,4.9156541981709688e-08,8.2717820697446997e-06,9.2036027966581783e-06,0.47569807727717295,0.61094845465074854,0.20139580181185676,0.28166872015682426,0.87374874270681535
84,9.8295205927467733e-07,3.8152832717036389e-08,1.8101816428584723e-06,2.2195941236184156e-06,0.38791116524595698,0.48229388279175084,0.14469671504666357,0.23766024623651225,0.86197777881248183
85,2.205139934336475e-06,3.381437790163981e-08,7.3589886274454518e-06,8.0910425053004854e-06,0.51517087409622342,0.43675305295808653,0.11802647998414154,0.22960827053208521,0.88890839875467187
86,8.7538508304459746e-07,6.7588985117518856e-08,5.9789996567490095e-06,5.8088981657816873e-06,0.36928060872462887,0.41105067195430112,0.45576509359194833,0.52035507784226165,0.84894181244789957
87,3.965149287405207e-07,6.4661790415914333e-08,6.7491994330769263e-06,6.7864987350905202e-06,0.25434210882025021,0.11892725081675472,0.24231215617585608,0.25435941576186066,0.93322679381250861
88,1.634613277866776e-06,4.2504740708597382e-08,4.0162886910467449e-06,4.1216433528439237e-06,0.74127186572407211,0.3549870198280019,0.15649625248363791,0.44710282010844704,0.77373519531213364
89,3.1859115988539632e-06,5.7363585243662911e-08,6.1909353822612268e-06,7.7197999153112117e-06,0.78659123606186798,0.9101627900667818,0.4046708671692153,0.62120003974348093,0.64315798964697124
90,3.0660275436008068e-06,5.8060597172598653e-08,2.121563318681019e-06,3.327824133344957e-06,0.48283248247428334,0.23690572987840103,0.16313495979901751,0.52028062107601369,0.76897230978662579
91,1.7989500351599465e-06,3.1165505600189375e-08,7.6178404382311482e-06,7.5920146258534004e-06,0.64023853053955793,0.59686360155324514,0.1569119792652669,0.30675421330691582,0.93498128876870679
92,3.1430877768627396e-06,5.6484730999202501e-08,6.6502361907579874e-06,6.9658957204904391e-06,0.67313081974489031,0.6942395648100953,0.1697808411907849,0.44028747137065649,0.7719347711097283
93,1.2866871892082974e-06,8.4279496415193563e-08,3.7123042165947324e-06,3.9900657997574281e-06,0.80577763194407659,0.090076290207311463,0.13689302884762447,0.38085081042222924,0.83086818508816052
94,2.442761496336418e-06,3.5961147710717378e-08,9.954848334175707e-06,9.0812101110000351e-06,0.25666077013978539,0.14445261808384197,0.095194616710346569,0.17333097267892292,0.96826832550017894
95,7.4666197690335821e-07,1.4996648951560465e-08,2.6878428740726744e-06,2.9427656653692596e-06,0.2570609923821644,0.68856303040179057,0.30674538272174079,0.32075988427573299,0.96854103506729616
96,2.9904849660813917e-06,4.4390456128173848e-08,4.145029905498653e-06,5.0885308935075428e-06,0.45091365887950574,0.25982801612173467,0.37367249479046255,0.54705303746654899,0.66205379332636249
97,8.9535380237518251e-07,3.7394738515957508e-08,3.1860250457584996e-06,3.1682920178017382e-06,0.45606410942321007,0.77713446060626568,0.40541403348344929,0.49466633280717903,0.83672957603615794
98,3.3298439690041958e-06,2.7217615492727257e-08,5.7590948753056254e-06,6.6064375025724417e-06,0.54785351272959815,0.72424185823421328,0.16692606088059142,0.41741688475710642,0.8084956175496858
99,2.3621451227600132e-06,3.4167249841458876e-08,1.5140627409924412e-06,3.1356008754661565e-06,0.5701342748418482,0.49401505545183105,0.22834236063779612,0.5408920768280352,0.7193615773850538
100,1.9315972891312965e-06,5.8047986424063948e-08,6.8709587733735917e-06,7.2913421527498583e-06,0.31131982601163782,0.60058596872872383,0.25197382901369064,0.3147068213457293,0.94184068336478843
