trial,family,element_count,contribution_norm_m,projection_numerator
30,rfcavity,4,5.3426408329681187e-09,8.8461136478887832e-15
30,sbend,98,1.5635998829895771e-06,7.3559208224733147e-12
30,wiggler,3,8.1546862370997446e-10,5.126820993687164e-15
31,drift,562,9.4558327355554582e-07,-3.9658352904766088e-13
31,kicker,82,3.6734408810147234e-07,-1.8420497331754837e-13
31,marker,222,2.0543765652040677e-20,-3.0285183190468948e-26
31,normal_sextupole,76,1.2045389370346742e-05,1.3142442036282449e-10
31,octupole,2,1.5397212320538378e-09,-1.5427830876042835e-15
31,other_sextupole,6,1.493295157176154e-09,-1.7071214571150459e-15
31,quadrupole,122,3.3961171929948242e-07,-9.4339224294294803e-14
31,rfcavity,4,1.1171369491363918e-08,-2.0454615744891571e-14
31,sbend,98,1.5983490900235901e-06,-2.3554352987603467e-12
31,wiggler,3,1.3106364202291731e-08,1.4486292984281847e-14
32,drift,562,1.2623221850963897e-06,4.3433352680286519e-12
32,kicker,82,4.9979060176809177e-07,1.6414231910384356e-12
32,marker,222,1.5178593057560478e-20,2.9351368911120094e-26
32,normal_sextupole,76,1.2192332552097286e-05,1.4689331195848305e-10
32,octupole,2,3.4011457398106315e-09,1.916971622819912e-14
32,other_sextupole,6,3.0532539026367565e-09,1.4873438570837797e-14
32,quadrupole,122,4.624146695584202e-07,1.4188450833399901e-12
32,rfcavity,4,4.1666173105477323e-08,1.8778143598677996e-13
32,sbend,98,2.178408934119907e-06,1.0223173271817596e-11
32,wiggler,3,1.6747270451074758e-08,8.15426228742831e-15
33,drift,562,3.6586711697210869e-07,3.8009870580551197e-13
33,kicker,82,1.5475904287474573e-07,1.5206064187278062e-13
33,marker,222,1.2063595972922985e-20,1.4518533733615169e-27
33,normal_sextupole,76,5.1708277365535025e-06,2.59644400293867e-11
33,octupole,2,1.3593697181165892e-10,1.1548519756879878e-16
33,other_sextupole,6,1.2785653120103132e-09,1.2108891303341879e-15
33,quadrupole,122,1.3436638840048912e-07,1.4097228507498679e-13
33,rfcavity,4,4.9192981938033344e-09,4.9552152455438448e-15
33,sbend,98,9.0640031817938591e-07,1.0063491024196579e-12
33,wiggler,3,3.1099861856361352e-09,4.2987114737077122e-15
34,drift,562,7.0307442611997562e-07,4.2753683921510113e-12
34,kicker,82,1.1213193568621033e-07,4.2234714511513334e-13
34,marker,222,2.8869122790560474e-20,5.3038753099854381e-26
34,normal_sextupole,76,2.2678230163327574e-05,5.2515258408747444e-10
34,octupole,2,6.9642296027553766e-09,4.6770218128874083e-14
34,other_sextupole,6,2.2151528929564647e-09,1.2067692701519321e-14
34,quadrupole,122,1.8728451371915967e-07,1.0583177784656971e-12
34,rfcavity,4,1.9632024856511717e-09,-1.20397291103621e-14
34,sbend,98,1.6348603824384267e-06,1.2053947532149118e-11
34,wiggler,3,2.638514314449339e-09,-1.10455350123515e-14
35,drift,562,4.0219482822635618e-07,-1.0872487621463158e-12
35,kicker,82,1.4442403137979039e-07,-1.3909109202753127e-13
35,marker,222,1.6127948232259876e-20,4.1804120948628841e-26
35,normal_sextupole,76,9.2917870095388353e-06,7.9117247539163769e-11
35,octupole,2,1.647710825718538e-09,-8.8309311217590666e-15
35,other_sextupole,6,6.1592197458237004e-10,-3.0387376703857536e-15
35,quadrupole,122,1.2407546120778196e-07,-2.427673921647657e-13
35,rfcavity,4,1.0585412198246002e-08,-2.3806590830206153e-14
35,sbend,98,9.3534504407447907e-07,-3.1540848215618038e-12
35,wiggler,3,5.2874094986221085e-09,-1.240878776767055e-14
36,drift,562,1.0622286630419638e-06,4.074447765871419e-13
36,kicker,82,4.2071297192978605e-07,1.4989668667554953e-13
36,marker,222,1.8631503187552824e-20,3.0077343427739665e-26
36,normal_sextupole,76,1.635469429787619e-05,2.5514761233003972e-10
36,octupole,2,1.5336787583840887e-09,3.7656943385597885e-16
36,other_sextupole,6,1.7855520946593003e-09,6.8193656929833457e-16
36,quadrupole,122,4.035326658231851e-07,1.5299645062974584e-13
36,rfcavity,4,1.3338829002760765e-08,4.5728812337139872e-15
36,sbend,98,1.7812040665724218e-06,5.1994224030972977e-13
36,wiggler,3,6.793609888645937e-09,7.0137676984507269e-15
37,drift,562,7.0890459456868325e-07,1.3398205145954051e-12
37,kicker,82,2.4292981127841552e-07,4.5923604953851492e-13
37,marker,222,2.2808960278526027e-20,4.3754267923369752e-26
37,normal_sextupole,76,9.0756081765775994e-06,8.1598239696566137e-11
37,octupole,2,2.7481108527250127e-09,5.1855104183113328e-15
37,other_sextupole,6,1.1776367087454165e-09,2.22783977383168e-15
37,quadrupole,122,2.3695642173905826e-07,4.4789429823362803e-13
37,rfcavity,4,8.8441379188136082e-09,1.6678985610282784e-14
37,sbend,98,9.9324946199796261e-07,1.8006348657472883e-12
37,wiggler,3,9.9669956765963137e-09,2.050712596079637e-14
38,drift,562,4.072721788167839e-07,1.9827254541091433e-13
38,kicker,82,9.2302400079298864e-08,4.4113579036177281e-14
38,marker,222,6.1722988178681917e-21,2.2517989766663391e-26
38,normal_sextupole,76,1.2901260398957775e-05,1.649923743140271e-10
38,octupole,2,1.8918029463339315e-09,9.197236612482947e-16
38,other_sextupole,6,1.2405624785349229e-09,5.7065999270382735e-16
38,quadrupole,122,1.1887493256607696e-07,5.7485019654457811e-14
38,rfcavity,4,1.0358628306481495e-09,3.8981393528815067e-16
38,sbend,98,8.1161643117286194e-07,3.1677345344403347e-13
38,wiggler,3,2.265613370906211e-09,-8.0782932853386682e-15
39,drift,562,6.271435030379846e-07,8.5293135349507563e-13
39,kicker,82,2.1710462211020236e-07,6.2708068647832812e-13
39,marker,222,4.6318887964442044e-20,4.2086375816964715e-26
39,normal_sextupole,76,1.9755864731819702e-05,3.8840195729163088e-10
39,octupole,2,1.8809095303309393e-09,-1.2482108826219621e-14
39,other_sextupole,6,1.1724517935792113e-09,-1.567326931435241e-15
39,quadrupole,122,2.1063447277757399e-07,4.8920164234305849e-13
39,rfcavity,4,1.1732380204102951e-08,2.4235022440478983e-14
39,sbend,98,1.3542835677943705e-06,1.9277400253176378e-12
39,wiggler,3,3.4072425219229612e-09,7.1316228617994217e-15
40,drift,562,1.1319808721691419e-06,8.5973643830150943e-13
40,kicker,82,2.8670576829852644e-07,1.1427317221778987e-13
40,marker,222,2.886092648178523e-20,-9.2609138480689334e-27
40,normal_sextupole,76,1.2771567046866063e-05,1.5170782309175985e-10
40,octupole,2,5.8028039410736255e-09,3.7512900336689182e-15
40,other_sextupole,6,1.7688668930294002e-09,1.7514773746707777e-15
40,quadrupole,122,3.3123099926756406e-07,2.1882326022924973e-13
40,rfcavity,4,2.012110935088954e-08,2.8172800830711562e-14
40,sbend,98,1.990628863663208e-06,1.4174692733420077e-12
40,wiggler,3,6.0745873931027321e-09,-1.6703415456921743e-15
41,drift,562,5.6230701313394961e-07,5.9588958572162082e-13
41,kicker,82,1.993781616582486e-07,1.7373526213545808e-13
41,marker,222,1.725765111847355e-20,9.2564478614623329e-26
41,normal_sextupole,76,9.6328659147915543e-06,9.0792836442483686e-11
41,octupole,2,1.7752750141398706e-09,3.5340083160365628e-15
41,other_sextupole,6,1.7827920394733289e-09,9.9688501305636903e-16
41,quadrupole,122,1.9373957152862709e-07,2.1469443160480411e-13
41,rfcavity,4,5.0305686482204883e-09,1.1062677156912919e-14
41,sbend,98,1.1454888586943262e-06,1.4464290898758031e-12
41,wiggler,3,5.4386987039626946e-09,5.8238163200698346e-15
42,drift,562,4.6899208903999618e-07,9.7895069929038302e-13
42,kicker,82,2.2825308942214767e-07,3.8816371607456661e-13
42,marker,222,1.1846555944769194e-20,3.230985265024971e-27
42,normal_sextupole,76,5.1963357933401467e-06,2.794627644668271e-11
42,octupole,2,6.9154734918361879e-10,1.5890578423796686e-15
42,other_sextupole,6,6.4025336923438598e-10,1.6874741113445967e-15
42,quadrupole,122,1.8515141328580634e-07,3.6259194994984479e-13
42,rfcavity,4,1.5856627822675156e-08,2.8356462748448272e-14
42,sbend,98,6.7518948750878092e-07,1.6405274171746547e-12
42,wiggler,3,4.5029720185598443e-09,8.8685765299202052e-15
43,drift,562,1.3247275869519586e-06,3.8782286943254374e-12
43,kicker,82,5.8095885340440673e-07,1.8296304374913344e-12
43,marker,222,4.4663998603298227e-20,-1.3072896951042282e-25
43,normal_sextupole,76,1.5809869432273017e-05,2.4276790332351361e-10
43,octupole,2,1.0566268280621965e-09,-5.7087918125636953e-16
43,other_sextupole,6,2.5973140587926462e-09,6.1735514830956874e-15
43,quadrupole,122,5.0740945449989163e-07,1.5244571608903971e-12
43,rfcavity,4,3.2175068749956735e-08,1.0379827779640715e-13
43,sbend,98,2.0145206657992559e-06,5.5585402019977264e-12
43,wiggler,3,1.9688209476093196e-08,-1.8211703907957677e-14
44,drift,562,6.7987615141882183e-07,-5.4765699036638276e-13
44,kicker,82,1.2086628996046157e-07,-1.052452722645553e-13
44,marker,222,1.5314372128448169e-20,-9.5766344141741533e-27
44,normal_sextupole,76,1.1893459904087772e-05,1.3394411241738156e-10
44,octupole,2,3.5203315226202023e-09,-3.2749128386691491e-15
44,other_sextupole,6,2.3081387693069587e-09,-2.2078596014906296e-15
44,quadrupole,122,1.8704470616467793e-07,-1.4636398364985702e-13
44,rfcavity,4,9.384962887412173e-09,-1.0571205689417573e-14
44,sbend,98,1.3830884479307254e-06,-9.843713462373171e-13
44,wiggler,3,3.2952149117688546e-09,-6.128957976850071e-15
45,drift,562,1.0445068678936216e-06,1.6231292773013382e-12
45,kicker,82,1.6044174958023892e-07,2.9529937301361664e-13
45,marker,222,2.5779556593371172e-20,-5.6860949863549496e-27
45,normal_sextupole,76,1.0890943759912034e-05,1.1097874118181708e-10
45,octupole,2,7.2547619371488869e-09,1.0495256289085357e-14
45,other_sextupole,6,3.4193347263000151e-09,3.8819930566334738e-15
45,quadrupole,122,2.6439914381502783e-07,4.0047407968581917e-13
45,rfcavity,4,8.5481276793511772e-09,2.5258094173875073e-14
45,sbend,98,2.1879203383586191e-06,3.5065003564010373e-12
45,wiggler,3,1.5635125640830584e-09,6.358855630229793e-15
46,drift,562,4.9727157690063606e-07,2.8075052387358689e-13
46,kicker,82,1.2443951682835228e-07,-1.0739061193371682e-13
46,marker,222,1.0022405936351798e-20,-5.2351015572380954e-26
46,normal_sextupole,76,1.0334877983262968e-05,1.0363268308119395e-10
46,octupole,2,2.5901742855145948e-09,2.8302180874265472e-15
46,other_sextupole,6,2.3812590295009811e-09,3.0648327414060279e-15
46,quadrupole,122,1.5214255814876741e-07,6.5692931034289882e-14
46,rfcavity,4,8.7964635905414498e-09,6.8657455902689219e-15
46,sbend,98,1.3228503735938816e-06,9.8031391593267002e-13
46,wiggler,3,1.7419085066285341e-09,-3.9607898874956658e-15
47,drift,562,1.0397375623550352e-06,3.7476997453367775e-12
47,kicker,82,4.1402920479397012e-07,1.5212671479864037e-12
47,marker,222,2.0508522330778815e-20,-7.0878834991762932e-26
47,normal_sextupole,76,1.3188882063717627e-05,1.777220130149051e-10
47,octupole,2,9.6798860081863382e-10,4.7764272744409649e-15
47,other_sextupole,6,2.6495017349228468e-09,1.5574210326565099e-14
47,quadrupole,122,3.7423084961856401e-07,1.2283371136430767e-12
47,rfcavity,4,4.6836237383529864e-08,2.2216721097969621e-13
47,sbend,98,1.8164448092071865e-06,1.0522765775620595e-11
47,wiggler,3,9.274805110041762e-09,-4.187458083156645e-14
48,drift,562,1.5238880281127074e-06,3.040344309370798e-12
48,kicker,82,6.4017192000177943e-07,1.9951991736169889e-12
48,marker,222,4.5061773557589246e-20,2.4259289447924082e-25
48,normal_sextupole,76,2.0812654017494794e-05,4.1343799701683646e-10
48,octupole,2,4.0813577654846219e-09,-1.3997614148864248e-14
48,other_sextupole,6,2.5421569639335453e-09,-6.4585124799322759e-16
48,quadrupole,122,5.5504084697905809e-07,1.5374138958605108e-12
48,rfcavity,4,2.9954558642848109e-08,1.0752149692452341e-13
48,sbend,98,2.3077580170381832e-06,-1.0009191179759652e-12
48,wiggler,3,2.0978671891979199e-08,9.7798001393457766e-14
49,drift,562,5.4657593851512832e-07,-2.8954466982650148e-12
49,kicker,82,1.3158400541586519e-07,-6.3504448979303882e-13
