trial,q_total_norm_m,all_element_total_relative_closure,all_element_total_signed_projection,family_partition_absolute_error_m,family_partition_relative_closure
61,9.6442714503956403e-06,2.738409241636372e-15,1.0000000000000009,1.5034834813763831e-20,5.3780958010729829e-15
62,8.8793603433344805e-06,3.257094091633323e-15,0.99999999999999867,1.8274487682827764e-20,9.0854174609833692e-15
63,4.6497608969787478e-06,8.6147737126270104e-15,0.99999999999999911,7.411538288475128e-21,7.1213630075042915e-15
64,9.7953146441958165e-06,1.1689455168089471e-14,1.0000000000000038,3.3457801416544863e-20,1.7382449952415211e-14
65,1.8028493608583936e-05,1.7313283867965633e-14,0.99999999999999045,9.6985272460617389e-20,2.44914732831242e-14
66,1.0475443517308973e-05,9.6352265796710229e-15,0.99999999999999578,3.5734202462290796e-20,1.5839584193472862e-14
67,6.7079273596262161e-06,1.1266613611836432e-14,0.99999999999999312,2.8375603733019061e-20,1.6020085897512104e-14
68,1.7910938836666808e-05,1.5133598872974512e-14,0.99999999999999334,8.3009228830921433e-20,2.0303459867179598e-14
69,7.6129076122123872e-06,4.7579844089964475e-15,1.0000000000000004,1.3129010682441655e-20,9.3628138973992523e-15
70,6.1454609774782527e-06,2.7451682570233078e-15,0.99999999999999878,1.5881867761018131e-20,9.4626923787001145e-15
71,9.6742946271490185e-06,7.6353676422199387e-15,0.99999999999999956,3.0440246541951418e-20,1.3943033673806494e-14
72,3.6722937427984317e-05,1.6393271723476726e-14,0.99999999999999689,1.0527031347594851e-19,1.6286710437440331e-14
73,7.0558804108232164e-06,4.3328462101676141e-15,1.0000000000000029,7.8350547621022781e-21,4.6920587787262943e-15
74,2.5212804783505542e-05,7.300337864295179e-15,0.99999999999999856,8.6926756211972572e-20,1.2770543512080058e-14
75,5.2944871896720062e-06,1.6221603608108043e-14,0.9999999999999919,2.6893296075324036e-20,1.7407983316802449e-14
76,5.5603026903291479e-06,4.3220640092800232e-15,1.0000000000000018,8.5762085909497909e-21,7.4481300840776486e-15
77,3.1340642284389859e-06,1.3966441497855188e-14,0.99999999999999989,1.2652554649611111e-20,2.0318723768371983e-14
78,2.3111841535273574e-05,9.3057667633268082e-15,0.99999999999999767,6.5645053412208276e-20,1.2677837389405042e-14
79,6.8636589187258042e-06,5.0370154823539704e-15,1.0000000000000016,9.6879393342210601e-21,5.5871448867553735e-15
80,2.0327823152063541e-05,1.5448177446840563e-14,1.0000000000000007,8.3220987067735008e-20,1.9556626310332644e-14
81,7.1088961760113701e-06,4.3705135357626197e-15,0.99999999999999856,1.0905549195899117e-20,6.0100688585437388e-15
82,9.760128700454392e-06,5.1675277777548137e-15,0.99999999999999822,3.1657856403629475e-20,1.2508038538310045e-14
83,6.7214901432293378e-06,7.1825823827703497e-15,0.99999999999999589,1.4823076576950256e-20,8.8574921060244249e-15
84,1.9905340607253651e-05,6.8553156565435684e-15,1.0000000000000013,3.2610768469290563e-20,7.0790882146248461e-15
85,2.1053376045958305e-05,1.5575683008883119e-14,0.99999999999999933,1.0206747014414319e-19,2.1484878751273071e-14
86,2.086440098956744e-05,1.6389828180609634e-14,0.99999999999999423,1.0503208545953324e-19,2.4385238965117792e-14
87,2.5391379108411576e-05,3.0357255039777469e-15,1.0000000000000009,7.8350547621022781e-20,1.3089766309513833e-14
88,2.1112649944853024e-05,1.0610682197684739e-14,1.0000000000000038,6.3421591925665738e-20,1.26556528563127e-14
89,2.1442771880411092e-05,4.1900984993728574e-15,0.99999999999999833,4.997494388800372e-20,8.2609600770554852e-15
90,1.1517200150769327e-05,7.8480243513245654e-15,1.000000000000004,3.7692966152816365e-20,1.3442762057609159e-14
91,1.6401554304206174e-05,1.1483395878703242e-14,0.999999999999995,6.2680438096818225e-20,1.7512445141555417e-14
92,8.0807112700234789e-06,7.7799705108160088e-15,1.0000000000000007,1.4823076576950256e-20,9.8067521185940233e-15
93,1.9461861014809894e-05,2.9000951405923778e-15,0.99999999999999944,3.748120791600279e-20,8.9691791553187145e-15
94,1.0191622688683728e-05,1.1336348057072383e-14,0.99999999999999822,2.1729621101461761e-20,1.1109865632531003e-14
95,6.4969770849231407e-06,5.4868937517211939e-15,1.0000000000000022,1.3764285392882381e-20,1.0374154501934578e-14
96,1.0746766068049333e-05,3.9406433713406717e-15,1.0000000000000004,2.0540548970916783e-20,7.9108737537481401e-15
97,9.004759721637436e-06,6.5038740515150505e-15,1.0000000000000002,2.4511015911171316e-20,9.9238848321830635e-15
98,6.9471942994224584e-06,3.7333414761680906e-15,0.99999999999999911,1.9481757786848908e-20,1.0744683129963952e-14
99,1.6756049914989985e-05,1.4750455295037873e-14,0.99999999999999645,8.618560238312506e-20,2.3116481519014747e-14
100,1.5784479926772399e-05,8.6123706474784359e-15,0.99999999999999567,4.6057416506952581e-20,1.1772290492158216e-14
