element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
217,217,d092,Drift,67.430561999999995,0,1.4136761067408174e-05,0.00012511839238224032
218,218,b12w,SBend,71.019599999999997,0,2.6384010249561284e-05,0.001445414280064936
219,219,d093,Drift,74.5293815,0,1.0141400928167883e-05,9.1380491958888689e-05
220,220,sk_sex_12w,Sextupole,74.816032000000007,0,2.9151053304171979e-06,2.626695868801894e-05
221,221,d094,Drift,75.041032000000001,0,7.3333118472168862e-06,6.6077817949577615e-05
222,222,det_i12w1,Marker,75.202032000000003,0,-5.574829951890071e-18,5.6163265023552824e-17
223,223,d095,Drift,75.415532000000013,0,9.7050860838972528e-06,8.7638033868480669e-05
224,224,det_12w2,Marker,75.629032000000009,0,-1.3705627039063548e-18,1.1615444607140094e-17
225,225,d096,Drift,75.781532000000013,0,6.9182914529579039e-06,6.2608091791223894e-05
226,226,det_12w3,Marker,75.934032000000016,0,3.0922298943196552e-21,1.9985038137026152e-19
227,227,d097,Drift,76.08653200000002,0,6.9044015475643401e-06,6.2617686112503455e-05
228,228,det_12w,Marker,76.239032000000023,0,-5.9105690877309913e-18,4.0113293882689694e-17
229,229,d098,Drift,76.281732000000034,0,1.9293496962477717e-06,1.7535665990938861e-05
230,230,q12w,Quadrupole,76.624432000000027,0,7.245602264189385e-06,6.2501822898702444e-05
231,231,d099,Drift,76.955657000000016,0,1.2400330099992666e-06,1.5154908411315755e-05
232,232,sex_12w,Sextupole,77.122882000000033,0.45238137688960001,-0.0038871834547591017,0.15226673780756517
233,233,d100,Drift,77.560193000000027,0,1.1965911489878703e-05,0.00014623989137942979
234,234,b13w,SBend,81.149147000000028,0,-0.00013202004400202262,0.001860510452197654
235,235,d101,Drift,84.531417500000032,0,3.6994395753489854e-06,4.5714804101710289e-05
236,236,q13w,Quadrupole,84.92604500000003,0,3.8466411412328881e-06,0.00010300870250979487
237,237,d102,Drift,85.257445000000018,0,1.485440545471899e-06,1.9778074090336564e-05
238,238,sex_13w,Sextupole,85.424845000000033,-0.64146307443520001,0.049841833745419457,0.34569037096316063
239,239,d103,Drift,85.570645000000027,0,4.9994212758512179e-07,6.3590069202206793e-06
240,240,det_13w,Marker,85.580445000000026,0,-1.3266823996892119e-20,3.5956755420710603e-19
241,241,d104!s1,Drift,85.980222500000011,0,2.0257355755400337e-05,0.00025917503148850001
242,242,d14bw_rfa4_seg,Marker,86.379999999999995,0,-5.7971649473108488e-19,5.0900158278429717e-18
243,243,d104!s2,Drift,87.170999999999992,0,4.008121618280731e-05,0.00051280387192229071
244,244,d14bw_rfa1_aps,Marker,87.962000000000003,0,-5.4914129714138706e-22,1.4712867805370118e-20
245,245,d104!s3,Drift,88.009500000000003,0,2.4068998339824878e-06,3.0794164243118465e-05
246,246,d14bw_rfa2_seg,Marker,88.057000000000002,0,7.1710063951389514e-18,8.0237993665383749e-17
247,247,d104!s4,Drift,88.110500000000002,0,2.7109292867028204e-06,3.4683953410679466e-05
248,248,d14bw_rfa3_aps,Marker,88.164000000000001,0,-5.6869061560321471e-21,1.1575247409723359e-19
249,249,d104!s5,Drift,89.833001500000023,0,8.4570935437355314e-05,0.0010820106592213769
250,250,det_14w,Marker,91.50200300000003,0,6.8238460766631765e-18,3.9264201168950894e-17
251,251,d105,Drift,91.516203000000033,0,7.1276799251007182e-07,9.1913112347040913e-06
252,252,q14w,Quadrupole,91.830403000000032,0,8.4315372012040759e-06,7.6616958955638055e-05
253,253,d106,Drift,92.162978000000038,0,7.4522738212963499e-07,9.2282328558658221e-06
254,254,sex_14w,Sextupole,92.331553000000042,0.4078490260464,-0.020099231558677502,0.13013439372641453
255,255,d107,Drift,92.545880000000039,0,1.7919086772349224e-06,2.2189402759845549e-05
256,256,b15w,SBend,95.911850000000044,0,0.00015366485021130327,0.001117183617139134
257,257,d108,Drift,99.664961500000047,0,1.053592072293207e-05,0.00013644372374754386
258,258,q15aw!s1,Quadrupole,100.22421500000002,0,2.1228317813067202e-06,2.7491386918039998e-05
259,259,d15w_rfa1_cvc3,Marker,100.318,0,-9.1036490250950203e-18,9.4820109775238698e-17
260,260,q15aw!s2,Quadrupole,100.5145,0,4.4477949035239448e-06,5.7600442814902196e-05
261,261,d15w_sp1_csp1,Marker,100.711,0,-5.1073098391527725e-20,5.6433007704926897e-17
262,262,q15aw!s3,Quadrupole,100.72071500000001,0,2.1989988544360032e-07,2.8477776180612828e-06
263,263,d109!s1,Drift,100.73521500000001,0,1.0830889878792169e-07,1.4026367372412787e-06
264,264,d15w_sp2_csp1,Marker,100.73999999999999,0,-1.3711290186003065e-19,2.7760582530883467e-17
265,265,d109!s2,Drift,100.77500000000001,0,7.9222809986858822e-07,1.0259620857617671e-05
266,266,d15w_sp3o_csp1,Marker,100.81,0,1.2825149422387539e-18,8.9199526337578449e-18
267,267,d15w_sp3i_csp1,Marker,100.81,0,1.2825149422387539e-18,8.9199526337578449e-18
268,268,d109!s3,Drift,101.10249700000003,0,6.6206955007631642e-06,8.5740237771155103e-05
269,269,det_15w,Marker,101.39499400000004,0,-5.6752278505041027e-19,5.9709801220912687e-18
