trial,element_order,element_index,element_name,s_m,k2l_m2,projection_numerator,contribution_norm_m
50,66,710,sex_18e,641.55715863697276,0.078795680000000007,7.0667273315938706e-15,4.8819148518239562e-08
50,67,718,sex_17e,649.75740063697276,-0.12589873600000001,-3.3741374495898774e-13,2.8771184010584331e-07
50,68,726,sex_16e,657.96494263697286,0.11064116800000003,2.6015533286741932e-13,1.7605764980612679e-07
50,69,734,sex_15e,666.170984636973,-0.34512176,3.0844115054529614e-14,3.1075848482147212e-08
50,70,742,sex_14e,676.29422663697301,-0.003429376,3.6579717729140571e-15,7.790961971535502e-09
50,71,750,sex_13e,684.4977186369731,0.32600287999999999,1.3906520566349834e-13,5.2998804982283116e-07
50,72,758,sex_12e,693.16336063697315,0.123680304,-9.9761778578959285e-14,1.2034263630057227e-07
50,73,766,sex_11e,701.36620363697318,-0.19755985600000003,-1.4151532234551133e-14,1.6443611762003217e-08
50,74,774,sex_10e,709.57139563697331,-0.052495728000000005,-2.1511810097958489e-13,1.4549433884208321e-07
50,75,780,sex_09e,716.08206563697331,-0.24212868800000004,-1.4796998379771666e-12,1.0620468141305773e-06
50,76,796,sex_08e,725.51569563697319,0.043414736000000002,7.4925541823748781e-14,8.0521330934799566e-08
51,1,72,sex_08w,42.907498779194889,0.043392432000000002,6.6570811275853828e-16,1.2287162819077716e-09
51,2,84,sex_09w,52.349828779194887,-0.24198398400000001,1.2898946519667021e-14,1.1085909969758027e-08
51,3,92,sex_10w,58.855398779194886,-0.052531632000000002,7.4276284715894607e-15,5.7625869608490816e-09
51,4,102,sex_11w,67.328070779194888,-0.19752585600000003,5.4564893620652352e-14,4.7140476712296042e-08
51,5,108,sex_12w,75.264033779194889,0.12366072000000002,-2.4743438875292258e-14,4.039176246164797e-08
51,6,116,sex_13w,83.932825779194886,0.32583968000000002,1.1094736866114539e-14,1.4124319314395952e-07
51,7,124,sex_14w,92.133917779194888,-0.0034363392000000001,9.8253554780832779e-17,2.131995073091524e-10
51,8,132,sex_15w,102.25810977919488,-0.34508368000000006,2.0051635070199445e-12,1.1073634026077828e-06
51,9,140,sex_16w,110.46430177919488,0.11048177600000003,-3.8413686805438808e-13,1.9736299193837347e-07
51,10,150,sex_17w,118.66539277919489,-0.125842432,1.1730460308929981e-13,9.550023320398352e-08
51,11,158,sex_18w,126.86413477919488,0.078568559999999996,2.4609708568396107e-16,4.3417669977033255e-10
51,12,164,sex_19w,133.52943477919487,-0.21847203200000001,-2.4571989296058114e-13,1.3050551222131435e-07
51,13,172,sex_20w,141.73732677919489,0.033388272000000004,2.2791781886997888e-14,1.2367450827608523e-08
51,14,180,sex_21w,149.93926877919489,-0.23265928000000002,-6.1132679001299984e-14,9.3373590206421249e-08
51,15,188,sex_22w,158.14596077919489,0.26101228800000004,1.1941094677773676e-14,1.4733011564276515e-08
51,16,196,sex_23w,166.3497027791949,-0.52340416000000001,-1.9054864860546851e-13,8.7592175445494829e-08
51,17,206,sex_24w,176.55229577919491,0.13662179200000002,-1.3935153803084894e-14,7.4888117000610704e-09
51,18,214,sex_25w,184.75808777919491,-0.39794144000000004,1.7826075024448729e-14,3.0826190724035976e-08
51,19,222,sex_26w,192.96452977919492,0.23971496000000006,-1.339681379072311e-13,7.2075496326039592e-08
51,20,232,sex_27w,201.39422177919491,-0.40337600000000007,1.3718435958160585e-12,4.8952056535107249e-07
51,21,240,sex_28w,209.59741377919488,0.14284324800000006,-1.0306868644168083e-13,8.5702621059427234e-08
51,22,250,sex_29w,218.02560577919488,-0.14515660800000002,-1.4859411994138423e-15,3.1316271226391002e-09
51,23,260,sex_30w,227.30979777919487,0.28505872000000004,-2.8968790199231353e-13,1.1948159853237713e-07
51,24,268,sex_31w,235.74123977919484,-0.50427440000000001,9.2337306504567548e-13,2.7936514373228508e-07
51,25,276,sex_32w,243.94043177919482,0.30627744000000001,4.6554319968792863e-13,1.3912750267971847e-07
51,26,284,sex_33w,252.37312377919483,-0.49414784,-7.0217442291351542e-13,2.5426509476733536e-07
51,27,292,sex_34w,258.31562377919482,0.17423313600000001,-7.2945950549872355e-14,4.1797188491013069e-08
51,28,298,sex_35w,266.24257577919485,-0.16527236800000006,5.3643850454227056e-14,1.833455869425489e-07
51,29,310,sex_36w,277.21423877919489,0.16991948800000006,6.3482970638519987e-13,2.9521963027397974e-07
51,30,318,sex_37w,285.22943077919496,-0.037644799999999999,-2.7183261181399672e-13,8.5029485268242416e-08
51,31,326,sex_38w,293.43187277919498,0.20518374400000003,4.5706164373013879e-13,1.0926817700971973e-07
51,32,334,sex_39w,301.86131477919497,-0.45719936,2.6612354878241044e-12,6.2662389137547416e-07
51,33,342,sex_40w,310.06725677919502,0.24519304000000003,-6.526068360091805e-13,2.9708097258925053e-07
51,34,350,sex_41w,318.27219977919509,-0.49659312,2.4224840652716447e-14,4.3075740793518371e-07
51,35,358,sex_42w,326.47714177919511,0.11078288,-3.0121277941125432e-13,1.3241279035139724e-07
51,36,366,sex_43w,334.67708377919513,-0.022612475200000003,1.2962319514921014e-13,3.3257152905514306e-08
51,37,376,sex_44w,345.68227077919522,-0.10419966400000001,-2.7370679623476681e-12,5.6734286050177024e-07
51,38,388,sex_45w,352.02348077919532,0.039331744000000002,6.1215933529301115e-13,1.3514117667304238e-07
51,39,480,sex_45e,416.40351263697158,0.039202544000000006,-1.1074419949289191e-12,3.170430986950962e-07
51,40,492,sex_44e,422.74312263697158,-0.104066112,1.0371281316540603e-12,1.4605316124777805e-06
51,41,502,sex_43e,433.74671063697156,-0.0224741904,-1.1324087870806937e-13,5.0688092089719966e-08
51,42,510,sex_42e,441.95415263697157,0.110769824,1.4536635072667893e-13,3.2295703743950574e-08
51,43,518,sex_41e,450.15579463697156,-0.49661216000000002,-2.3705691337842491e-11,3.9824106622526861e-06
51,44,526,sex_40e,458.35913663697158,0.24519358400000002,1.0834627299793889e-11,1.7752436362668959e-06
51,45,534,sex_39e,466.56317863697166,-0.45728368000000003,-1.3602021525560673e-11,3.9449958437169979e-06
51,46,544,sex_38e,474.99622063697166,0.205352384,-2.3976760124546059e-13,3.1582421886343265e-07
51,47,552,sex_37e,483.19826263697166,-0.037763935999999998,-5.4855883991169114e-14,1.4077464028199121e-08
51,48,560,sex_36e,491.2136046369717,0.16982945599999999,-3.4923747698884099e-12,6.0207073645370045e-07
51,49,572,sex_35e,502.18641763697167,-0.165141808,2.7393333002678695e-11,3.5572644422765882e-06
51,50,578,sex_34e,510.10486963697167,0.17428128000000001,-2.5999879108728942e-11,3.336998317953434e-06
51,51,584,sex_33e,516.05336963697175,-0.49391936000000003,8.4273928897409658e-11,1.1812648176443325e-05
51,52,592,sex_32e,524.48571163697181,0.30635088000000005,-9.416746877239073e-12,1.8293388831498523e-06
51,53,600,sex_31e,532.68725363697195,-0.50422272000000001,-7.6902646307920364e-12,3.354702804425982e-06
51,54,608,sex_30e,541.115995636972,0.28501520000000002,-2.101541151231494e-12,1.5107223841650176e-06
51,55,618,sex_29e,550.40073763697205,-0.145252624,-3.5734706648475936e-12,6.0085787351371014e-07
51,56,628,sex_28e,558.82987963697212,0.14307091200000002,6.0640984047599206e-12,7.76550703976276e-07
51,57,636,sex_27e,567.03492163697229,-0.40346848000000007,-4.1703404023748392e-12,6.5888650651509071e-07
51,58,646,sex_26e,575.4652636369724,0.23959555200000002,2.5980462490573863e-13,1.590183107299945e-07
51,59,654,sex_25e,583.66900563697243,-0.39789247999999999,6.9318529717929593e-11,9.2163878648637343e-06
51,60,662,sex_24e,591.87254763697251,0.13653937599999999,-9.9115828316215579e-12,1.292401894966177e-06
51,61,672,sex_23e,602.07849063697267,-0.52328991999999996,2.0712493887690261e-12,1.4894166629322593e-06
51,62,680,sex_22e,610.28253263697275,0.26098780799999999,4.9398489267159759e-13,1.560741210006941e-07
51,63,688,sex_21e,618.48397463697268,-0.23266553600000003,-1.7826065080187468e-11,2.8371029885534163e-06
51,64,696,sex_20e,626.6882166369727,0.033397248000000004,1.7593889031858052e-12,2.660151982761204e-07
51,65,704,sex_19e,634.89685863697275,-0.21855716800000005,-3.3543922974361399e-12,2.236942892355121e-06
51,66,710,sex_18e,641.55715863697276,0.078795680000000007,-2.1173837412872743e-13,8.033956939935224e-08
51,67,718,sex_17e,649.75740063697276,-0.12589873600000001,-1.8901195150156523e-12,2.977108573662936e-07
51,68,726,sex_16e,657.96494263697286,0.11064116800000003,-1.0184162792900372e-12,1.8263145124303814e-07
51,69,734,sex_15e,666.170984636973,-0.34512176,7.6325399079319169e-12,2.7660728127409638e-06
51,70,742,sex_14e,676.29422663697301,-0.003429376,-5.0029925466030032e-15,1.2379949334452229e-08
51,71,750,sex_13e,684.4977186369731,0.32600287999999999,3.7944042738302999e-13,1.2242024820700395e-07
51,72,758,sex_12e,693.16336063697315,0.123680304,2.8270316574657279e-13,6.4111811934757888e-08
51,73,766,sex_11e,701.36620363697318,-0.19755985600000003,-4.2642629986431172e-12,8.695620223680106e-07
51,74,774,sex_10e,709.57139563697331,-0.052495728000000005,-9.5450121669706204e-13,2.2098280140843715e-07
51,75,780,sex_09e,716.08206563697331,-0.24212868800000004,-3.662728705829562e-12,1.2170667518946021e-06
51,76,796,sex_08e,725.51569563697319,0.043414736000000002,9.4757193454758624e-15,1.2682951993166816e-08
52,1,72,sex_08w,42.907498779194889,0.043392432000000002,-2.6571375596162077e-14,6.3576049608097439e-08
52,2,84,sex_09w,52.349828779194887,-0.24198398400000001,-5.2651300216594933e-14,9.765432758527383e-08
52,3,92,sex_10w,58.855398779194886,-0.052531632000000002,-2.6957633463000558e-14,5.0877057579371106e-08
52,4,102,sex_11w,67.328070779194888,-0.19752585600000003,-1.5296017466846505e-13,3.5034200242050099e-07
52,5,108,sex_12w,75.264033779194889,0.12366072000000002,1.348119952127549e-14,5.2302840972208519e-08
52,6,116,sex_13w,83.932825779194886,0.32583968000000002,-3.2235223467458452e-17,7.6867996717267769e-10
52,7,124,sex_14w,92.133917779194888,-0.0034363392000000001,8.6350943533028914e-17,3.1472181255399197e-10
52,8,132,sex_15w,102.25810977919488,-0.34508368000000006,2.3005104567482935e-14,4.31696405044225e-08
52,9,140,sex_16w,110.46430177919488,0.11048177600000003,4.8352667086383369e-15,7.0894063084972677e-09
52,10,150,sex_17w,118.66539277919489,-0.125842432,-6.4141477563506932e-14,1.1520086780157133e-07
52,11,158,sex_18w,126.86413477919488,0.078568559999999996,-1.9289285933702384e-15,4.5167465821992161e-08
52,12,164,sex_19w,133.52943477919487,-0.21847203200000001,5.7096550992286253e-14,1.2955872402693407e-07
52,13,172,sex_20w,141.73732677919489,0.033388272000000004,5.6595543213326891e-14,7.8952145595982627e-08
52,14,180,sex_21w,149.93926877919489,-0.23265928000000002,-5.7070633582438432e-13,1.1705431812451278e-06
52,15,188,sex_22w,158.14596077919489,0.26101228800000004,-4.9395674452303531e-16,2.877631079265849e-08
52,16,196,sex_23w,166.3497027791949,-0.52340416000000001,-3.4945892225939901e-13,8.3542122994400605e-07
52,17,206,sex_24w,176.55229577919491,0.13662179200000002,-1.1307006037613706e-13,1.3599342629029429e-07
52,18,214,sex_25w,184.75808777919491,-0.39794144000000004,1.2572141312637182e-12,1.9819942153509348e-06
52,19,222,sex_26w,192.96452977919492,0.23971496000000006,8.1590128919204198e-15,2.9195469210504603e-08
52,20,232,sex_27w,201.39422177919491,-0.40337600000000007,-1.5610160356225457e-13,1.6132018337172302e-07
52,21,240,sex_28w,209.59741377919488,0.14284324800000006,1.860376989308357e-13,2.4446083765395938e-07
52,22,250,sex_29w,218.02560577919488,-0.14515660800000002,-2.0858600471578599e-13,6.7558069765911414e-07
52,23,260,sex_30w,227.30979777919487,0.28505872000000004,-2.7515636395179824e-13,7.6566423671615196e-07
52,24,268,sex_31w,235.74123977919484,-0.50427440000000001,5.8898553586439549e-13,7.446858893725289e-07
52,25,276,sex_32w,243.94043177919482,0.30627744000000001,-1.4532732689016676e-15,2.132335811056436e-09
52,26,284,sex_33w,252.37312377919483,-0.49414784,1.1712626318501627e-12,1.1259554241995076e-06
52,27,292,sex_34w,258.31562377919482,0.17423313600000001,-3.0140543957889079e-13,3.4644982140157638e-07
