trial,element_order,element_index,element_name,element_type,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,244,244,d14bw_rfa1_aps,Marker,87.962000000000003,0,6.1732531217857435e-29,1.4340437027617717e-22
1,245,245,d104!s3,Drift,88.009500000000003,0,-2.0441299911031351e-16,4.7485040440395393e-10
1,246,246,d14bw_rfa2_seg,Marker,88.057000000000002,0,2.4819527051946172e-28,3.3370578961431888e-22
1,247,247,d104!s4,Drift,88.110500000000002,0,-2.3023358847199727e-16,5.3483150811991184e-10
1,248,248,d14bw_rfa3_aps,Marker,88.164000000000001,0,0,0
1,249,249,d104!s5,Drift,89.833001500000023,0,-7.1824337291684613e-15,1.6684758678481556e-08
1,250,250,det_14w,Marker,91.50200300000003,0,-3.743056739545517e-42,1.9209111764954536e-36
1,251,251,d105,Drift,91.516203000000033,0,-6.0836545006582082e-17,1.4246914706395722e-10
1,252,252,q14w,Quadrupole,91.830403000000032,0,-1.2078303265822237e-15,1.0017501056924082e-09
1,253,253,d106,Drift,92.162978000000038,0,6.1965564755960292e-17,1.8863623954916635e-11
1,254,254,sex_14w,Sextupole,92.331553000000042,0.4078490260464,-2.9311726806920255e-12,1.862516806914052e-06
1,255,255,d107,Drift,92.545880000000039,0,1.4899698513198997e-16,4.535782267159642e-11
1,256,256,b15w,SBend,95.911850000000044,0,8.1015640188326002e-15,2.4673797677265741e-09
1,257,257,d108,Drift,99.664961500000047,0,8.2277743417735948e-16,2.5045237272955841e-10
1,258,258,q15aw!s1,Quadrupole,100.22421500000002,0,1.6577745146721183e-16,5.0462438978452131e-11
1,259,259,d15w_rfa1_cvc3,Marker,100.318,0,-6.980750313561444e-42,2.450993328982578e-36
1,260,260,q15aw!s2,Quadrupole,100.5145,0,3.4733986470875701e-16,1.0572979963512202e-10
1,261,261,d15w_sp1_csp1,Marker,100.711,0,-2.3120584367974915e-42,1.4847499866929735e-36
1,262,262,q15aw!s3,Quadrupole,100.72071500000001,0,1.717255361414105e-17,5.2273028158427436e-12
1,263,263,d109!s1,Drift,100.73521500000001,0,8.4581234315109126e-18,2.5746416883435645e-12
1,264,264,d15w_sp2_csp1,Marker,100.73999999999999,0,-7.8502112611026264e-43,4.9595402086352042e-37
1,265,265,d109!s2,Drift,100.77500000000001,0,6.1867151468277593e-17,1.8832279831229576e-11
1,266,266,d15w_sp3o_csp1,Marker,100.81,0,-1.449463847996418e-28,4.4121489583556743e-23
1,267,267,d15w_sp3i_csp1,Marker,100.81,0,-1.449463847996418e-28,4.4121489583556743e-23
1,268,268,d109!s3,Drift,101.10249700000003,0,5.1702732016021798e-16,1.5738243870239442e-10
1,269,269,det_15w,Marker,101.39499400000004,0,9.3533353836492834e-45,1.0271374418058489e-37
1,270,270,d110,Drift,101.42869400000005,0,5.9430513237140034e-17,1.8004226432660874e-11
1,271,271,q15w,Quadrupole,101.76239400000004,0,1.8773170591654426e-16,3.5789126896005195e-10
1,272,272,d111,Drift,102.09484400000004,0,2.3018745281107089e-16,1.4083692141317442e-10
1,273,273,sex_15w,Sextupole,102.26329400000004,-0.94264120352000003,3.513286118513593e-12,1.2434095300432517e-06
1,274,274,d112,Drift,102.66736800000004,0,1.9968327452156084e-15,1.2217337347399405e-09
1,275,275,b16w,SBend,106.22257300000004,0,2.3929350380656596e-14,1.4594472430408034e-08
1,276,276,d113,Drift,109.58827550000005,0,5.919955916333268e-16,3.6028215211961499e-10
1,277,277,q16w,Quadrupole,109.96684700000004,0,-1.2201773889862484e-15,9.396310449031907e-10
1,278,278,d114,Drift,110.30017200000003,0,-4.1957597917492396e-16,1.4351938543090954e-10
1,279,279,sex_16w,Sextupole,110.46949700000005,0.38804889035840001,3.6342806903579544e-13,1.103124927465825e-07
1,280,280,d115,Drift,110.62437200000005,0,-2.376443092738538e-16,8.1288174039908302e-11
1,281,281,det_16w,Marker,110.64324700000004,0,1.2222739523295879e-57,5.2750693946287332e-52
1,282,282,d116,Drift,110.89156650000005,0,-3.1318813676781706e-15,1.0661781730741583e-09
1,283,283,b17w,SBend,114.42701700000005,0,-3.7100036854811836e-14,1.2634176560298245e-08
1,284,284,d117,Drift,117.79272000000006,0,-9.8554654738959205e-16,3.3575236548389879e-10
1,285,285,q17w,Quadrupole,118.17129200000005,0,-1.5411173216610519e-16,1.7500890595783798e-10
