case,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p99_2d_um,max_2d_um
bpm_gain,SEX_22W,14,4.976519497118497,3.0799547517193355,5.852509511127603,5.415061670817089,6.887642923910468,7.417617364007833,7.47650341290754
bpm_gain,SEX_23W,15,4.799658114076395,1.243153255905601,4.958038728135156,2.2105990988750186,7.317421420863367,9.129595356581767,9.330948016106035
bpm_gain,SEX_24W,16,11.612163805541881,9.056794617093265,14.726434632420249,13.580591191280952,19.52888832301961,20.569623672684664,20.68526093375856
bpm_gain,SEX_25W,17,1.7354255934713119,1.5225604406391158,2.308655947921741,2.344411837127509,2.9109776984408904,2.928153799321767,2.930062254975198
bpm_gain,SEX_26W,18,3.118024036704631,3.325677823225785,4.558750582929892,2.7233647426955176,6.694459158594538,8.047621794516202,8.1979731985075
bpm_gain,SEX_27W,19,4.24159309228039,2.1073368787290754,4.73624119750381,3.136535096909065,6.80234788889854,8.157578017352687,8.308159142736482
bpm_gain,SEX_28W,20,4.788659256537816,4.48263152549301,6.55936299259075,5.645375442529717,8.848353316705238,9.517856839803592,9.592246120147854
bpm_gain,SEX_29W,21,3.1499623899022886,4.081923502339568,5.156002573384837,4.491638107000811,6.830275734769315,7.315151846757555,7.369026970311804
bpm_gain,SEX_30W,22,7.03386001544533,1.6020970751708659,7.2140073298515315,3.2176741195763965,10.64376761393681,13.311803916714942,13.608252394801404
bpm_gain,SEX_31W,23,3.717785032325057,2.403819103252092,4.427219423943195,4.072111944664768,5.516408716315445,5.7538686816843345,5.780253122280878
bpm_gain,SEX_32W,24,2.7392692131473573,1.530757857187788,3.1379635815985965,2.8070456826700907,4.112343920362649,4.60472978960901,4.659439330636384
bpm_gain,SEX_33W,25,2.564534719246016,5.477883437383347,6.048474624215351,6.409070821812602,7.545350777461592,7.686339919459567,7.702005379681565
bpm_gain,SEX_34W,26,1.1611493065215825,2.9480878388238922,3.1685153648762503,1.7557734401128589,4.784333117435071,5.507072433012434,5.58737680140992
bpm_gain,SEX_35W,27,3.2459680297312405,3.434870564350912,4.7259543209685875,4.27561210856939,6.452895508355015,6.729385638937238,6.760106764557485
bpm_gain,SEX_36W,28,2.834031294296303,3.5384556556228275,4.5334756869161605,2.186971586058754,6.582478814267606,8.197527667872688,8.376977540495476
