target_index,target,line_index,s_m,length_m,nominal_kn2_m3,nominal_orbit_x_m,nominal_orbit_y_m
59,SEX_26E,815,575.4706000000004,0.272,1.3818696315,6.07529995327871e-14,-1.08723074273581e-28
60,SEX_25E,823,583.6744190000005,0.272,-0.8760636829,3.3121064683755085e-14,-1.1075741315908884e-28
61,SEX_24E,831,591.8780370000006,0.272,2.1794428987000005,7.664544501576365e-14,5.599658558038888e-29
62,SEX_23E,841,602.0839950000009,0.272,-2.6969806262,3.5063174981475786e-14,4.079207629506894e-28
63,SEX_22E,849,610.288114000001,0.272,3.0762602773,6.425597994829937e-14,1.9262481342061197e-28
64,SEX_21E,857,618.489572000001,0.272,-3.7749421895,2.773806202068513e-14,2.0166993012530804e-28
65,SEX_20E,865,626.693891000001,0.272,1.6952333235000001,4.240253475203343e-14,3.1419938555920476e-29
66,SEX_19E,871,634.902548000001,0.272,-1.8777195120000003,3.367118455960494e-14,-1.3331763897112245e-28
67,SEX_18E,885,641.5627330000011,0.272,0.8320886323900001,8.12555107916001e-14,-5.955846011777865e-29
68,SEX_17E,893,649.7629910000012,0.272,-2.9836407886,3.15374163733953e-14,-2.0809043848368804e-29
69,SEX_16E,901,657.9705490000013,0.272,1.4567574685,4.5507111255338955e-14,5.693234410760314e-29
70,SEX_15E,907,666.1766680000013,0.272,-1.8345079418,2.5076421623549287e-14,2.341519893551902e-28
71,SEX_14E,924,676.1065810000013,0.272,1.7693780839,6.703462723701698e-14,1.4393034233631127e-28
72,SEX_13E,942,683.0127840000011,0.272,-2.25336372,4.377979654067219e-14,2.235666752974642e-28
73,SEX_12E,948,691.3164100000012,0.272,1.7367569036,8.02579516148981e-14,7.915694474114308e-29
74,SEX_11E,960,701.3768190000012,0.272,-1.8519118023000003,2.1420617515307023e-14,4.128826980050877e-30
