source_target_index,source_target,observation_index,observation_sextupole,observation_plane,kick_px_response,kick_py_response,bump_x_response_m_per_m,bump_y_response_m_per_m,normal_source_response,skew_source_response,k2_bx_center_x_response,k2_bx_center_y_response,k2_by_center_x_response,k2_by_center_y_response
1,SEX_09AW,44,SEX_41E,x,-2.0365118705858367,4.039874351037572e-15,0.000611424273217655,-2.433147673635309e-16,0.5539312287993476,1.0988458234822196e-15,-0.5539312287993476,-1.0988458234821826e-15,-1.0988458234130113e-15,0.5539312287993475
1,SEX_09AW,44,SEX_41E,y,-3.9674004497529765e-15,12.719034945971156,1.0831888439036504e-16,0.012782069606074633,1.0791329223328097e-15,3.459577505304155,-1.0791329223330409e-15,-3.459577505304155,-3.4595775053041544,1.0791329227650487e-15
1,SEX_09AW,45,SEX_40E,x,7.246009485734707,-5.072514706552276e-14,0.001162377412129297,6.805837648691794e-16,-1.9709145801198404,-1.3797240001822192e-14,1.9709145801198404,1.379724000182206e-14,1.3797240001575944e-14,-1.9709145801198402
1,SEX_09AW,45,SEX_40E,y,4.663768044235067e-15,0.7505646482555175,2.2127563582546241e-16,-0.0049709904381228555,-1.2685449080319382e-15,0.20415358432550076,1.2685449080319246e-15,-0.20415358432550076,-0.20415358432550074,-1.2685449080064312e-15
1,SEX_09AW,46,SEX_39E,x,4.413966766879988,-2.253208078784807e-14,0.0006216819136252263,4.707512495568664e-16,-1.200598960591357,-6.128725974294675e-15,1.200598960591357,6.128725974294595e-15,6.128725974144672e-15,-1.2005989605913567
1,SEX_09AW,46,SEX_39E,y,2.1946184726460657e-14,-12.843939938220217,6.803636698242485e-16,-0.03394848285686042,-5.969362245597299e-15,-3.493551663195899,5.969362245597532e-15,3.493551663195899,3.4935516631958987,-5.969362246033782e-15
1,SEX_09AW,47,SEX_38E,x,6.161576249200428,-2.2655043990980238e-14,0.001484433194280128,7.69641002034981e-16,-1.6759487397825164,-6.162171965546625e-15,1.6759487397825164,6.162171965546513e-15,6.162171965337231e-15,-1.6759487397825161
1,SEX_09AW,47,SEX_38E,y,1.1542507727926259e-14,-8.16368288432925,2.175841759481838e-16,-0.01584362189224178,-3.1395621019959424e-15,-2.2205217445375562,3.1395621019960907e-15,2.2205217445375562,2.220521744537556,-3.1395621022733738e-15
1,SEX_09AW,48,SEX_37E,x,-0.7421769328111845,6.769981424789647e-15,0.0008352469229316549,-1.7554176924169136e-17,0.2018721257246422,1.841434947542784e-15,-0.2018721257246422,-1.8414349475427708e-15,-1.841434947517562e-15,0.20187212572464217
1,SEX_09AW,48,SEX_37E,y,1.4811282792645505e-14,-13.528273080548473,-4.6754278785506964e-17,-0.015383282212422938,-4.0286689195995776e-15,-3.679690277909185,4.028668919599824e-15,3.679690277909185,3.6796902779091845,-4.028668920059317e-15
1,SEX_09AW,49,SEX_36E,x,-9.749158418186179,4.133867740535171e-14,0.0016261367720123731,-9.706687880094179e-16,2.651771089746641,1.1244120254255666e-14,-2.651771089746641,-1.1244120254255489e-14,-1.1244120253924352e-14,2.6517710897466404
1,SEX_09AW,49,SEX_36E,y,1.6989685331237672e-15,-4.066549067018116,-2.1037987063846238e-16,0.0006266271110140252,-4.621194410096648e-16,-1.1061013462289275,4.621194410097386e-16,1.1061013462289275,1.1061013462289273,-4.621194411478608e-16
1,SEX_09AW,50,SEX_35E,x,-5.208058527535646,1.6830983429387927e-14,0.0008847798883506024,-5.668410282611564e-16,1.4165919194896957,4.578027492793516e-15,-1.4165919194896957,-4.5780274927934216e-15,-4.578027492616527e-15,1.4165919194896954
1,SEX_09AW,50,SEX_35E,y,-1.7400632999351216e-14,5.341537660149674,-7.982241912550894e-16,0.02791796179019298,4.732972175823531e-15,1.4528982435607114,-4.732972175823628e-15,-1.4528982435607114,-1.4528982435607112,4.732972176005055e-15
1,SEX_09AW,51,SEX_34E,x,-5.17127888323022,1.0058823679575757e-14,0.0016909659401250238,-6.131744144817194e-16,1.4065878562386198,2.736000040844606e-15,-1.4065878562386198,-2.736000040844512e-15,-2.7360000406688668e-15,1.4065878562386196
1,SEX_09AW,51,SEX_34E,y,-1.797088989357886e-14,7.158844287293125,-5.654100336793506e-16,0.023933947338523484,4.88808205105345e-15,1.94720564614373,-4.8880820510535805e-15,-1.94720564614373,-1.9472056461437297,4.8880820512967335e-15
1,SEX_09AW,52,SEX_33E,x,-0.8082970788777444,-2.751134051242778e-15,0.0010516492415208675,-1.2253004562395615e-16,0.21985680545474648,-7.483084619380357e-16,-0.21985680545474648,7.483084619380504e-16,7.483084619655045e-16,0.21985680545474645
1,SEX_09AW,52,SEX_33E,y,-3.388057564993876e-14,14.8385562129113,-8.416135420901455e-16,0.040779792545784996,9.215516576783342e-15,4.036087289911874,-9.215516576783612e-15,-4.036087289911874,-4.036087289911873,9.215516577287609e-15
