sample_id,scenario,rho,trial_id,active_rms_rad,global_rms_rad,maximum_abs_kick_rad,converged,newton_iterations,closure_norm,x_rmse_m,x_max_abs_m,y_rmse_m,y_max_abs_m
3007,horizontal,0.14000000000000001,7,7.0000000000000007e-07,4.886957431897323e-07,1.7804708419577479e-06,true,3,8.4226796272563472e-15,4.0238310041165438e-09,1.1825839298486643e-08,8.0333266533036732e-11,5.9775333142476905e-10
3008,horizontal,0.14000000000000001,8,7.0000000000000018e-07,4.886957431897323e-07,1.5829055160063252e-06,true,3,5.5935245731549495e-14,8.5228936263373385e-09,2.080136977132606e-08,2.0067761440226758e-10,1.4964027720935913e-09
3009,horizontal,0.14000000000000001,9,7.0000000000000007e-07,4.886957431897323e-07,1.6993248940351058e-06,true,1,5.0576133748966101e-14,1.570949418466058e-09,3.9277692365918826e-09,7.8228531890950483e-11,3.1592468994600525e-10
3010,horizontal,0.14000000000000001,10,7.0000000000000007e-07,4.886957431897322e-07,1.8034746489966153e-06,true,3,6.5736049333495344e-14,4.7363043209230137e-09,1.512110841747627e-08,5.9701908103953843e-11,4.7961562575204314e-10
3011,horizontal,0.14000000000000001,11,7.0000000000000007e-07,4.886957431897322e-07,1.5252866259452586e-06,true,2,4.353539863452655e-15,2.1467717542392764e-09,9.1302111426827537e-09,7.263077743122165e-11,2.6092625438787085e-10
3012,horizontal,0.14000000000000001,12,6.9999999999999986e-07,4.886957431897322e-07,2.0502692226240401e-06,true,4,4.8568372956579926e-14,1.8839799775382777e-09,1.3085746366700568e-08,1.7689292138164376e-11,9.740828098552673e-11
3013,horizontal,0.14000000000000001,13,7.0000000000000007e-07,4.886957431897322e-07,1.7138567180332854e-06,true,1,5.5455750297345517e-14,3.135748736495516e-09,7.3562097871460175e-09,5.5129063360633438e-11,3.8032150063808945e-10
3014,horizontal,0.14000000000000001,14,7.0000000000000007e-07,4.886957431897323e-07,2.2022093125406897e-06,true,1,9.2515628412449599e-14,1.937747227080101e-09,6.3572730985700376e-09,4.0540743915016026e-11,2.5742278913967048e-10
3015,horizontal,0.14000000000000001,15,7.0000000000000007e-07,4.886957431897323e-07,1.781455367865058e-06,true,3,6.2124875781541605e-14,1.7745418019458133e-09,5.2719593465061498e-09,1.5958010347707662e-10,4.7673711137428149e-10
3016,horizontal,0.14000000000000001,16,7.0000000000000007e-07,4.886957431897322e-07,2.0260636389853691e-06,true,2,2.0715809741557716e-14,2.3920866632693079e-09,9.9322550305841473e-09,1.2493616471338477e-10,3.3035829615917249e-10
3017,horizontal,0.14000000000000001,17,7.0000000000000007e-07,4.886957431897322e-07,1.8133415607254933e-06,true,2,9.2673110840199865e-14,3.7012853298317277e-09,1.6117049042585485e-08,8.2778194531085847e-11,2.4258672208597037e-10
3018,horizontal,0.14000000000000001,18,7.0000000000000007e-07,4.886957431897322e-07,1.8549518507878737e-06,true,3,4.6953308576264029e-14,1.8567849332400103e-09,1.1678610023491132e-08,1.1190797370819507e-10,3.4730112199749669e-10
3019,horizontal,0.14000000000000001,19,6.9999999999999976e-07,4.8869574318973209e-07,1.7303324207080785e-06,true,3,9.6076282311188266e-14,4.0339947924308779e-09,1.0884102060598755e-08,7.707656979920297e-11,2.9409285326031237e-10
3020,horizontal,0.14000000000000001,20,7.0000000000000007e-07,4.886957431897322e-07,1.8925963609135507e-06,true,2,1.22619935982528e-14,4.1020852854655027e-09,1.5534852551915557e-08,2.75563086731366e-11,1.8847252035956996e-10
3021,horizontal,0.14000000000000001,21,7.0000000000000007e-07,4.886957431897322e-07,1.844419102982434e-06,true,5,7.069661736709114e-15,1.9634075535299411e-09,5.1432023570607832e-09,8.2563787414631293e-11,5.6540242453217981e-10
3022,horizontal,0.14000000000000001,22,7.0000000000000029e-07,4.886957431897323e-07,2.0103812312407425e-06,true,3,5.1134596963121211e-15,2.1636649091722682e-09,8.3219784622473592e-09,7.6964140624532772e-11,3.1159571830304683e-10
3023,horizontal,0.14000000000000001,23,7.0000000000000029e-07,4.8869574318973241e-07,1.7429129754498952e-06,true,2,3.2875013713753051e-14,1.9701245076822075e-09,5.4000417592375838e-09,7.5628641981698234e-11,2.6293162736778521e-10
3024,horizontal,0.14000000000000001,24,7.0000000000000007e-07,4.886957431897322e-07,1.6297253187240958e-06,true,2,1.1807283453459402e-14,4.1245680162436875e-09,1.4866791693546322e-08,9.4834989881691868e-11,5.337561889869058e-10
3025,horizontal,0.14000000000000001,25,7.0000000000000029e-07,4.8869574318973241e-07,2.6376065591338415e-06,true,1,7.864242647823266e-14,1.1262646554657678e-09,2.9941769241932648e-09,2.3438216506250942e-11,1.501045348130739e-10
3026,horizontal,0.14000000000000001,26,7.0000000000000007e-07,4.886957431897323e-07,1.9724993535917938e-06,true,3,2.3851972520290237e-14,3.0024146858453441e-09,1.2595616490779227e-08,3.8289126629924646e-11,3.2129366821145172e-10
3027,horizontal,0.14000000000000001,27,7.0000000000000007e-07,4.886957431897323e-07,1.7704514976707941e-06,true,2,1.9354219976508361e-14,2.8163360221391572e-09,7.1415668448371328e-09,5.4278524976609608e-11,3.8392525270047884e-10
3028,horizontal,0.14000000000000001,28,7.0000000000000007e-07,4.886957431897323e-07,1.7188283344635511e-06,true,3,6.0709441212522366e-14,2.7815662824865127e-09,8.1408524262027715e-09,1.0630049752018077e-10,3.5471651343207261e-10
3029,horizontal,0.14000000000000001,29,7.0000000000000007e-07,4.886957431897323e-07,1.5374881573740663e-06,true,2,9.1199070226216084e-14,2.0790133123943495e-09,5.4469158129212547e-09,5.5580862077545976e-11,3.3991247934839902e-10
3030,horizontal,0.14000000000000001,30,7.0000000000000007e-07,4.886957431897322e-07,1.920479829486723e-06,true,2,7.9515281913520204e-15,3.5246990618529797e-09,1.1532056571825211e-08,1.0720225252042967e-10,3.7148950344954103e-10
