plane,element_order,element_index,element_name,s_m,k2l_m2,nominal_beta_sext_m,actual_rms_relative_magnitude,predictor_source_only_rad_rms,predictor_nominal_beta_envelope_m_rms,predictor_direction_beta_envelope_m_rms,predictor_nominal_beta_phase_m_rms,predictor_direction_beta_phase_m_rms,actual_element_magnitude_share,predictor_source_only_rad_element_share,predictor_nominal_beta_envelope_m_element_share,predictor_direction_beta_envelope_m_element_share,predictor_nominal_beta_phase_m_element_share,predictor_direction_beta_phase_m_element_share
x,56,787,sex_29e,550.5420380000003,-0.7209857810320001,3.1265694015790055,0.20496146872350818,8.586372178848804e-08,3.592913741052552e-06,3.590938729255979e-06,2.479551247550928e-06,2.4760201282464157e-06,0.02905224696715347,0.04995266494462068,0.028958769308320212,0.028872442543629983,0.028835094908510217,0.02878932446945799
x,57,797,sex_28e,558.9711820000003,0.20131291634928003,32.0153872090171,0.23655291298225747,2.8713374702499037e-08,3.844737226358902e-06,3.843218178651145e-06,2.9304058207780665e-06,2.94671776574581e-06,0.033530173703189683,0.01670448888153813,0.03098845850850329,0.030900860307558172,0.034078154281362884,0.03426224726939282
x,58,805,sex_27e,567.1762060000004,-0.6806580251744,5.081475326965272,0.023634274472931,7.553911177342348e-09,4.0296732223726673e-07,4.0387684453875734e-07,2.8167037544341496e-07,2.81114226359722e-07,0.0033500383421009756,0.004394614934031407,0.0032479036694162194,0.0032473154982134494,0.0032755894909809713,0.003268587594795702
x,59,815,sex_26e,575.6066000000005,0.37586853976800005,25.381132702801132,0.03535974833586957,5.661745682727388e-09,6.750079726699529e-07,6.764183971738342e-07,4.3610284791403606e-07,4.348975210290104e-07,0.0050120646956129675,0.003293815818834587,0.005440542570916168,0.005438647880216625,0.005071509218409306,0.005056665614723577
x,60,823,sex_25e,583.8104190000006,-0.23828932174880002,2.882312347926865,0.040288538379960104,1.5948009511036763e-08,6.407373667275479e-07,6.396299686862033e-07,4.851131466603411e-07,4.874499702256514e-07,0.005710695645624997,0.009278022883760572,0.005164322588175442,0.005142855646524117,0.005641457759396306,0.005667706492108655
x,61,831,sex_24e,592.0140370000007,0.5928084684464002,38.94995423439892,0.47178924157010815,5.449216148897529e-08,8.048047960106943e-06,8.066169826107906e-06,5.7923986664304e-06,5.796972404211926e-06,0.06687372825685031,0.03170173186380437,0.06486700796517261,0.06485491466453279,0.06736072321934054,0.06740289288502181
x,62,841,sex_23e,602.219995000001,-0.7335787303264,3.5252948661786903,0.2731966629714393,1.1530480234561112e-07,5.123280861788936e-06,5.175505191173325e-06,3.2708118172907433e-06,3.268266963225312e-06,0.03872423911030508,0.06708050895189885,0.04129347912895182,0.04161292841033003,0.038036789629821204,0.038000982699499114
x,63,849,sex_22e,610.424114000001,0.8367427954256,28.05435541146153,0.2060669282105558,2.725631721537018e-08,3.416413011695714e-06,3.3979867753615364e-06,2.5516221378468957e-06,2.55077287187938e-06,0.02920894023359964,0.01585682117108306,0.027536179100881058,0.027321039241448686,0.029673218727841514,0.02965849389456916
x,64,857,sex_21e,618.6255720000011,-1.026784275544,3.6588124952046175,0.2150295461823545,7.602073910746268e-08,3.441162720776386e-06,3.4158001209889287e-06,2.575723261467757e-06,2.563697647438379e-06,0.030479345800122,0.04422634414604,0.027735660960833877,0.027464264965114338,0.02995349451875154,0.029808773592628995
x,65,865,sex_20e,626.8298910000011,0.4611034639920001,24.636674399615664,0.05375097011504746,8.829002348447939e-09,1.0370643832775482e-06,1.041725347681138e-06,6.637895768474963e-07,6.646165633230429e-07,0.0076189269535973875,0.005136420678266234,0.008358705607113161,0.00837584751923585,0.007719314318097901,0.007727668152210973
x,66,871,sex_19e,635.0385480000011,-0.5107397072640001,7.5730265775631604,0.05188147643278898,1.414602528371236e-08,9.212387882232837e-07,9.286827485255147e-07,6.253298249217203e-07,6.276892376699595e-07,0.00735393572134888,0.008229688238253796,0.007425155032589,0.007466944250429708,0.007272059760228664,0.007298304615183153
x,67,885,sex_18e,641.6987330000012,0.22632810801008005,33.46688621115403,0.057550609007256885,7.004985310244675e-09,9.589984988537193e-07,9.554194066587257e-07,7.055038579214133e-07,7.054183148287584e-07,0.00815750646402909,0.004075268074293471,0.0077294970870061975,0.007681916625054367,0.008204416311853716,0.00820208063764265
x,68,893,sex_17e,649.8989910000013,-0.8115502944992,2.436835678385717,0.026984940868717642,1.1625895244110257e-08,4.294796323386888e-07,4.295387992576762e-07,3.1831056095049576e-07,3.180921546846803e-07,0.003824978281989153,0.0067635601825049305,0.0034615920369618345,0.0034536468697689685,0.003701684022241671,0.0036985395021372396
x,69,901,sex_16e,658.1065490000013,0.39623803143200004,36.04582740505104,0.1487984517702968,2.0029294597514526e-08,2.845746423517362e-06,2.8542329672926503e-06,1.8377068157306456e-06,1.83860472122943e-06,0.02109142462768133,0.011652379156954804,0.022936624736355233,0.02294906250638427,0.021370984164150002,0.02137793117539776
x,70,907,sex_15e,666.3126680000014,-0.49898616016960007,5.813044451820452,0.07086274591001529,2.155169542541286e-08,1.2296635726651248e-06,1.2360220544990033e-06,8.483781002425096e-07,8.503215362337384e-07,0.01004443424303137,0.012538061455408523,0.009911048885137526,0.009938063119939696,0.009865923546834016,0.009886907756011903
x,71,924,sex_14e,676.2425810000013,0.4812708388208,22.119592582098473,0.015189245597387593,2.2207035043372598e-09,2.471622753140094e-07,2.4592864464781396e-07,1.8735230762783675e-07,1.869556450891382e-07,0.0021529984005693253,0.0012919316305291671,0.001992119997414999,0.0019773550031854754,0.0021787497141319387,0.0021737814917037607
x,72,942,sex_13e,683.1487840000012,-0.61291493184,4.800020593655516,0.08129104381735684,2.730499393016195e-08,1.4156851600153489e-06,1.4213967039171758e-06,9.75098388483661e-07,9.72652508940134e-07,0.01152259249461882,0.015885139668976596,0.011410376902086955,0.011428542161190472,0.011339573886538206,0.01130928151853987
x,73,948,sex_12e,691.4524100000012,0.4723978777792,23.992392100790138,0.08249287094107573,1.3388497413416355e-08,1.5519283228721207e-06,1.5548038133840476e-06,1.0170563253374838e-06,1.0178353062194603e-06,0.011692945384006071,0.007788983653093573,0.012508492417058748,0.012501183437860788,0.011827509392021405,0.01183463355282786
x,74,960,sex_11e,701.5128190000013,-0.5037200102256001,3.6747076010532416,0.00813096364331692,2.9381640974461483e-09,1.3328782660268525e-07,1.3313924894286785e-07,1.000999775413313e-07,9.993945854589391e-08,0.0011525227903457906,0.0017093264029898942,0.001074295599722301,0.0010704875814468342,0.0011640785225128707,0.0011620218537631152
x,75,968,sex_10ae,709.7180270000014,-0.16064063487408,46.51586385059915,0.13393966599318954,1.5159881622885417e-08,2.44680523131689e-06,2.4601268799409106e-06,1.6493040675633945e-06,1.6504004984285534e-06,0.01898526722786838,0.008819516223318863,0.019721171545671264,0.019780307420018444,0.019180018710303195,0.0191896321486956
x,76,980,sex_09ae,716.1606000000014,0.18074049064512002,45.29164873215796,0.13808998123521227,1.633641551408783e-08,2.6017698772950763e-06,2.6149020169279884e-06,1.7032546924864112e-06,1.704002288471688e-06,0.019573553329415797,0.009503984611586472,0.02097018161305829,0.021024755344856122,0.019807419088321263,0.019812873982673933
y,1,180,sex_09aw,50.648999999999994,0.6125038570704001,31.20713183534471,0.2583493686334741,2.571531885448389e-08,4.007925502149215e-06,4.0137605385382134e-06,2.7955909281565767e-06,2.7993373573613984e-06,0.027364808959490058,0.024067056209956725,0.02854375925593961,0.02855037506788877,0.028254003469407814,0.02826309419296745
y,2,190,sex_10w,52.495,-0.24066952067328,47.322700286244675,0.153786766411389,1.192140778281154e-08,2.2880373077438045e-06,2.2911392839884377e-06,1.5926117221974224e-06,1.5943808864155773e-06,0.016289358497778468,0.011157286939909472,0.016295009986045373,0.016297157058220265,0.016095937596298165,0.016097430005615723
